Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
128430-146687:Hunter Brown,128430-146687,P,Hunter,Hunter Brown,Brown,45,2,11000,HOU@ATH,HOU,ATH,,,,,,P
128430-12477:Chris Sale,128430-12477,P,Chris,Chris Sale,Sale,40,2,10500,ATL@ARI,ATL,ARI,DTD,Illness,,,,P
128430-187194:Bryan Woo,128430-187194,P,Bryan,Bryan Woo,Woo,43,1,10400,SEA@LAA,SEA,LAA,,,,Yes,,P
128430-79162:Luis Castillo,128430-79162,P,Luis,Luis Castillo,Castillo,43,1,10200,SEA@LAA,SEA,LAA,,,,,,P
128430-222820:Nolan McLean,128430-222820,P,Nolan,Nolan McLean,McLean,33,1,10200,NYM@SF,NYM,SF,,,,Yes,,P
128430-102396:Logan Gilbert,128430-102396,P,Logan,Logan Gilbert,Gilbert,23.5,2,10100,SEA@LAA,SEA,LAA,,,,,,P
128430-162445:Spencer Strider,128430-162445,P,Spencer,Spencer Strider,Strider,29.08695652,23,9900,ATL@ARI,ATL,ARI,IL,Oblique,,,,P
128430-80582:Brandon Woodruff,128430-80582,P,Brandon,Brandon Woodruff,Woodruff,33,1,9900,MIL@KC,MIL,KC,,,,,,P
128430-102330:Kris Bubic,128430-102330,P,Kris,Kris Bubic,Bubic,37,1,9700,MIL@KC,KC,MIL,,,,,,P
128430-119414:George Kirby,128430-119414,P,George,George Kirby,Kirby,33.5,2,9500,SEA@LAA,SEA,LAA,,,,,,P
128430-164503:Spencer Schwellenbach,128430-164503,P,Spencer,Spencer Schwellenbach,Schwellenbach,37.41176471,17,9500,ATL@ARI,ATL,ARI,IL,Elbow,,,,P
128430-101839:Logan Webb,128430-101839,P,Logan,Logan Webb,Webb,26,2,9400,NYM@SF,SF,NYM,,,,,,P
128430-79232:Clay Holmes,128430-79232,P,Clay,Clay Holmes,Holmes,32,1,9300,NYM@SF,NYM,SF,,,,,,P
128430-197981:Jacob Misiorowski,128430-197981,P,Jacob,Jacob Misiorowski,Misiorowski,44,2,9200,MIL@KC,MIL,KC,,,,,,P
128430-82618:David Peterson,128430-82618,P,David,David Peterson,Peterson,19,2,9200,NYM@SF,NYM,SF,,,,,,P
128430-102345:Jose Soriano,128430-102345,P,Jose,Jose Soriano,Soriano,44.5,2,9200,SEA@LAA,LAA,SEA,,,,,,P
128430-82604:Corbin Burnes,128430-82604,P,Corbin,Corbin Burnes,Burnes,33.72727273,11,9000,ATL@ARI,ARI,ATL,IL,Elbow,,,,P
128430-79207:Grant Holmes,128430-79207,P,Grant,Grant Holmes,Holmes,18,1,8900,ATL@ARI,ATL,ARI,,,,Yes,,P
128430-79270:Cole Ragans,128430-79270,P,Cole,Cole Ragans,Ragans,30.5,2,8700,MIL@KC,KC,MIL,,,,,,P
128430-37999:Michael Wacha,128430-37999,P,Michael,Michael Wacha,Wacha,43,1,8600,MIL@KC,KC,MIL,DTD,Illness,,,,P
128430-146664:Bryce Elder,128430-146664,P,Bryce,Bryce Elder,Elder,43,1,8600,ATL@ARI,ATL,ARI,,,,,,P
128430-182153:Kodai Senga,128430-182153,P,Kodai,Kodai Senga,Senga,43,1,8600,NYM@SF,NYM,SF,,,,,,P
128430-102294:Grayson Rodriguez,128430-102294,P,Grayson,Grayson Rodriguez,Rodriguez,,0,8600,SEA@LAA,LAA,SEA,IL,Shoulder,,,,P
128430-83190:Freddy Peralta,128430-83190,P,Freddy,Freddy Peralta,Peralta,32,2,8500,NYM@SF,NYM,SF,,,,,,P
128430-68491:Reynaldo Lopez,128430-68491,P,Reynaldo,Reynaldo Lopez,Lopez,27.5,2,8500,ATL@ARI,ATL,ARI,,,,,,P
128430-82557:Aaron Civale,128430-82557,P,Aaron,Aaron Civale,Civale,24,1,8400,HOU@ATH,ATH,HOU,,,,,,P
128430-185701:Brandon Pfaadt,128430-185701,P,Brandon,Brandon Pfaadt,Pfaadt,12,1,8300,ATL@ARI,ARI,ATL,,,,,,P
128430-101881:Merrill Kelly,128430-101881,P,Merrill,Merrill Kelly,Kelly,30.65625,32,8300,ATL@ARI,ARI,ATL,IL,Ribs,,,,P
128430-240672:Tatsuya Imai,128430-240672,P,Tatsuya,Tatsuya Imai,Imai,8,1,8200,HOU@ATH,HOU,ATH,,,,,,P
128430-199728:Landen Roupp,128430-199728,P,Landen,Landen Roupp,Roupp,49,1,8200,NYM@SF,SF,NYM,,,,,,P
128430-79109:Tyler Mahle,128430-79109,P,Tyler,Tyler Mahle,Mahle,21,1,8100,NYM@SF,SF,NYM,,,,Yes,,P
128430-71034:Seth Lugo,128430-71034,P,Seth,Seth Lugo,Lugo,38,1,8100,MIL@KC,KC,MIL,,,,,,P
128430-193326:Jacob Lopez,128430-193326,P,Jacob,Jacob Lopez,Lopez,3,1,8100,HOU@ATH,ATH,HOU,,,,,,P
128430-198872:Hurston Waldrep,128430-198872,P,Hurston,Hurston Waldrep,Waldrep,33.2,10,8000,ATL@ARI,ATL,ARI,IL,Elbow,,,,P
128430-219653:Logan Henderson,128430-219653,P,Logan,Logan Henderson,Henderson,36.4,5,8000,MIL@KC,MIL,KC,,,,,,P
128430-164521:Brandon Walter,128430-164521,P,Brandon,Brandon Walter,Walter,31.88888889,9,8000,HOU@ATH,HOU,ATH,IL,Elbow,,,,P
128430-168872:Ronel Blanco,128430-168872,P,Ronel,Ronel Blanco,Blanco,28.55555556,9,8000,HOU@ATH,HOU,ATH,IL,Elbow,,,,P
128430-85476:Jeffrey Springs,128430-85476,P,Jeffrey,Jeffrey Springs,Springs,16,1,7900,HOU@ATH,ATH,HOU,,,,Yes,,P
128430-222822:Brandon Sproat,128430-222822,P,Brandon,Brandon Sproat,Sproat,-3,1,7800,MIL@KC,MIL,KC,,,,,,P
128430-119409:Quinn Priester,128430-119409,P,Quinn,Quinn Priester,Priester,26.32258065,31,7800,MIL@KC,MIL,KC,IL,Wrist,,,,P
128430-53029:Robbie Ray,128430-53029,P,Robbie,Robbie Ray,Ray,29.5,2,7800,NYM@SF,SF,NYM,,,,,,P
128430-52159:Lance McCullers Jr.,128430-52159,P,Lance,Lance McCullers Jr.,McCullers Jr.,55,1,7800,HOU@ATH,HOU,ATH,,,,,,P
128430-198915:Luis Morales,128430-198915,P,Luis,Luis Morales,Morales,13,1,7700,HOU@ATH,ATH,HOU,,,,,,P
128430-165689:Bryce Miller,128430-165689,P,Bryce,Bryce Miller,Miller,19.9047619,21,7700,SEA@LAA,SEA,LAA,IL,Oblique,,,,P
128430-102335:Cristian Javier,128430-102335,P,Cristian,Cristian Javier,Javier,-1,1,7700,HOU@ATH,HOU,ATH,,,,Yes,,P
128430-52142:Eduardo Rodriguez,128430-52142,P,Eduardo,Eduardo Rodriguez,Rodriguez,30,1,7600,ATL@ARI,ARI,ATL,,,,Yes,,P
