#,Team,TG,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
1,ARI,60,871,1999,2233,488,310,107,17,54,269,258,181,3,446,16,19,16,38,36,0.081,0.2,0.152,0.286,0.244,0.309,0.396,0.312,0.315,96,2.4,-7.6,3.1,6.8
2,ATH,60,905,2033,2307,507,340,94,7,66,255,246,229,12,483,23,11,11,44,31,0.099,0.209,0.151,0.295,0.249,0.331,0.4,0.325,0.326,102,-2.9,3.5,-14.7,7.1
3,ATL,61,895,2083,2323,535,344,100,7,84,322,316,193,5,476,24,21,2,28,35,0.083,0.205,0.176,0.292,0.257,0.324,0.433,0.333,0.336,111,0,29.8,-0.2,10.6
4,BAL,61,907,2048,2325,496,318,101,6,71,290,283,236,3,542,13,17,10,40,34,0.102,0.233,0.159,0.293,0.242,0.322,0.401,0.322,0.328,105,2,14.7,-16.2,8.2
5,BOS,59,835,1985,2215,491,331,103,12,45,238,229,172,2,486,34,15,8,46,42,0.078,0.219,0.132,0.304,0.247,0.316,0.379,0.311,0.307,92,2.1,-20,11.4,7.1
6,CHC,61,889,2073,2392,499,331,94,7,67,282,261,263,10,506,36,15,4,41,35,0.11,0.212,0.149,0.285,0.241,0.334,0.39,0.324,0.327,107,-1.1,19.7,15.5,11.4
7,CHW,60,916,1996,2292,483,312,84,6,81,289,273,216,10,534,42,18,18,31,47,0.094,0.233,0.17,0.287,0.242,0.326,0.412,0.327,0.329,106,-1,16.3,-6.6,9.2
8,CIN,59,903,1978,2243,456,281,95,6,74,258,243,226,5,547,17,12,9,32,42,0.101,0.244,0.166,0.279,0.231,0.313,0.397,0.316,0.328,95,0.6,-13,-3.9,5.6
9,CLE,61,895,1992,2284,466,300,103,6,57,253,243,245,8,455,18,18,11,37,61,0.107,0.199,0.144,0.273,0.234,0.321,0.378,0.312,0.313,98,1.4,-3.8,-4.5,7.3
10,COL,61,902,2070,2321,518,340,111,8,59,272,260,193,1,547,32,17,9,35,47,0.083,0.236,0.147,0.31,0.25,0.321,0.397,0.32,0.31,89,-0.6,-30.4,-11.9,3.2
11,DET,61,905,2026,2290,483,309,102,10,62,242,230,219,2,511,20,20,3,35,22,0.096,0.223,0.152,0.286,0.238,0.316,0.39,0.315,0.328,98,-3.3,-8.4,-21.4,5.2
12,HOU,61,886,2050,2298,504,328,89,5,82,272,264,192,9,495,30,17,8,46,17,0.084,0.215,0.168,0.283,0.246,0.317,0.414,0.323,0.326,105,-0.9,11.4,-7,8.7
13,KCR,61,889,2030,2304,486,320,103,6,57,243,235,215,7,491,25,26,8,37,42,0.093,0.213,0.141,0.284,0.239,0.316,0.38,0.31,0.314,92,3.8,-16.8,-2.8,6.2
14,LAA,60,894,2004,2256,463,298,96,5,64,251,241,192,7,558,40,13,6,40,31,0.085,0.247,0.149,0.286,0.231,0.309,0.38,0.307,0.318,92,-4.8,-25,-23.8,3.1
15,LAD,61,874,2044,2340,539,346,105,7,81,315,298,241,10,477,21,25,7,53,25,0.103,0.204,0.177,0.303,0.264,0.344,0.441,0.345,0.35,120,-2.6,52.9,11.8,14.2
16,MIA,61,891,2025,2285,486,328,93,13,52,258,247,208,4,511,29,17,6,38,65,0.091,0.224,0.136,0.293,0.24,0.317,0.376,0.31,0.302,95,3.8,-10.5,-8.9,5.5
17,MIL,58,851,1938,2230,468,325,97,6,40,281,265,244,11,464,14,13,16,33,56,0.109,0.208,0.118,0.296,0.241,0.329,0.36,0.31,0.31,96,0.2,-9.1,-14.1,4.9
18,MIN,62,911,2077,2340,495,324,95,8,68,290,274,205,3,531,37,17,4,30,41,0.088,0.227,0.152,0.286,0.238,0.315,0.39,0.315,0.308,98,-3.1,-9.4,-16,5.8
19,NYM,60,868,2002,2211,455,312,78,5,60,238,225,161,5,479,18,13,13,45,33,0.073,0.217,0.134,0.268,0.227,0.289,0.361,0.29,0.32,86,0.3,-37.3,-9.8,2.4
20,NYY,60,861,1973,2268,475,277,102,8,88,305,292,262,9,517,12,18,1,39,59,0.116,0.228,0.194,0.279,0.241,0.331,0.434,0.337,0.339,115,1.9,41,-4.1,11.9
21,PHI,60,852,2006,2222,462,300,77,9,76,238,231,173,5,491,23,17,2,32,48,0.078,0.221,0.161,0.265,0.23,0.297,0.391,0.304,0.319,91,4.3,-20.3,-5.6,4.6
22,PIT,61,906,2096,2389,535,373,86,6,70,315,300,242,7,560,30,16,3,54,62,0.101,0.234,0.147,0.314,0.255,0.339,0.402,0.33,0.332,108,6.2,28.4,-18.7,8.8
23,SDP,59,868,1911,2142,411,265,77,7,62,228,222,191,6,503,18,16,5,36,54,0.089,0.235,0.145,0.256,0.215,0.29,0.36,0.29,0.311,86,0.8,-33.5,7.1,4.3
24,SEA,60,867,1998,2264,473,312,81,5,75,248,242,204,3,516,39,18,4,33,46,0.09,0.228,0.158,0.279,0.237,0.317,0.395,0.317,0.325,107,-2,15.9,-21.2,7.6
