#,Team,TG,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,Barrels,Barrel%,HardHit,HardHit%,xERA
1,ARI,60,33,27,4.15,255,60,24,1,0,17,38,8,533.2,2264,506,270,246,70,175,8,22,11,5,431,7.27,2.95,2.46,1.18,0.19,0.077,0.113,0.245,1.28,0.278,0.716,100,108,104,4.15,4.31,-0.16,4.31,4.23,153,0.094,641,0.392,4.51
2,ATH,60,30,30,4.51,269,60,14,1,0,19,41,10,535.1,2335,519,287,268,78,229,6,29,10,3,490,8.24,3.85,2.14,1.31,0.21,0.098,0.112,0.25,1.4,0.292,0.734,105,109,107,4.51,4.62,-0.11,4.47,4.26,121,0.076,590,0.372,4.15
3,ATL,61,41,20,3.29,250,61,26,0,0,19,39,5,544,2249,441,217,199,64,198,2,22,13,2,539,8.92,3.28,2.72,1.06,0.24,0.088,0.152,0.217,1.17,0.264,0.777,80,96,94,3.29,3.87,-0.58,3.86,3.77,104,0.07,565,0.379,3.61
4,BAL,61,29,32,4.66,266,61,19,0,0,13,31,6,540.1,2359,551,317,280,69,215,7,19,23,1,470,7.83,3.58,2.19,1.15,0.199,0.091,0.108,0.259,1.42,0.304,0.68,114,105,105,4.66,4.33,0.33,4.38,4.27,131,0.079,645,0.39,4.34
5,BOS,59,26,33,3.91,237,59,22,0,0,13,30,3,522,2209,481,243,227,65,182,2,26,9,3,492,8.48,3.14,2.7,1.12,0.223,0.082,0.14,0.24,1.27,0.288,0.746,90,97,94,3.91,4.04,-0.13,3.9,3.85,131,0.087,592,0.392,4.28
6,CHC,61,32,29,4.35,248,61,19,0,0,10,16,7,540.1,2259,491,278,261,89,181,4,18,17,0,480,8,3.01,2.65,1.48,0.212,0.08,0.132,0.238,1.24,0.27,0.729,108,113,98,4.35,4.58,-0.23,4.04,3.96,159,0.101,667,0.422,4.44
7,CHW,60,33,27,4.06,260,60,17,0,0,18,21,9,534.2,2269,458,261,241,62,215,8,40,24,5,480,8.08,3.62,2.23,1.04,0.212,0.095,0.117,0.227,1.26,0.269,0.722,97,99,106,4.06,4.25,-0.2,4.41,4.17,117,0.076,602,0.392,4.17
8,CIN,59,29,30,4.92,273,59,20,0,0,13,36,9,525.1,2326,498,305,287,86,274,7,28,17,1,457,7.83,4.69,1.67,1.47,0.196,0.118,0.079,0.246,1.47,0.278,0.728,114,121,118,4.92,5.22,-0.31,4.86,4.68,153,0.098,611,0.39,5.23
9,CLE,61,34,27,3.63,260,61,21,0,0,22,54,4,540.1,2259,481,239,218,65,192,5,17,22,0,557,9.28,3.2,2.9,1.08,0.247,0.085,0.162,0.235,1.25,0.291,0.753,88,92,91,3.63,3.77,-0.14,3.8,3.67,129,0.086,602,0.403,3.87
10,COL,61,24,37,5.56,243,61,9,0,0,13,24,8,537.1,2401,608,354,332,81,203,12,25,21,2,443,7.42,3.4,2.18,1.36,0.185,0.085,0.1,0.28,1.51,0.32,0.667,119,108,111,5.56,4.69,0.87,4.59,4.36,171,0.099,730,0.422,5.14
11,DET,61,24,37,4.13,249,61,22,0,0,11,26,15,533.2,2259,480,269,245,59,204,3,18,15,3,489,8.25,3.44,2.4,1,0.216,0.09,0.126,0.236,1.28,0.283,0.699,99,95,99,4.13,3.96,0.17,4.14,4.04,112,0.072,633,0.409,3.82
12,HOU,61,27,34,4.88,242,61,17,0,0,15,26,3,536.1,2343,486,304,291,75,281,2,38,18,3,495,8.31,4.72,1.76,1.26,0.211,0.12,0.091,0.24,1.43,0.283,0.716,118,117,113,4.88,4.87,0.02,4.7,4.52,118,0.077,612,0.4,4.56
13,KCR,61,24,37,4.45,250,61,30,1,1,15,23,12,540,2314,510,286,267,74,239,7,14,21,0,501,8.35,3.98,2.1,1.23,0.217,0.103,0.113,0.247,1.39,0.293,0.723,104,107,103,4.45,4.44,0.01,4.27,4.24,142,0.091,627,0.402,4.57
14,LAA,60,22,38,4.88,247,60,21,0,0,5,33,12,529.1,2344,482,306,287,66,283,8,34,27,2,519,8.82,4.81,1.83,1.12,0.221,0.121,0.101,0.238,1.45,0.288,0.698,116,108,108,4.88,4.57,0.31,4.49,4.38,120,0.08,581,0.385,4.34
15,LAD,61,38,23,3.05,248,61,35,0,0,13,39,7,537.1,2178,408,189,182,57,169,8,26,13,4,542,9.08,2.83,3.21,0.95,0.249,0.078,0.171,0.206,1.07,0.254,0.791,75,84,89,3.05,3.56,-0.51,3.66,3.54,112,0.078,559,0.388,3.5
16,MIA,61,26,35,4.42,252,61,17,1,1,12,28,8,535,2288,467,285,263,60,221,5,30,22,1,507,8.53,3.72,2.29,1.01,0.222,0.097,0.125,0.229,1.29,0.277,0.683,106,99,102,4.42,4.08,0.34,4.22,4.07,136,0.089,613,0.401,4.03
17,MIL,58,35,23,3.3,233,58,16,0,0,18,30,9,518.1,2154,429,209,190,40,197,7,23,20,2,545,9.46,3.42,2.77,0.69,0.253,0.091,0.162,0.222,1.21,0.288,0.742,81,79,92,3.3,3.28,0.02,3.78,3.64,85,0.061,507,0.365,3.45
18,MIN,62,29,33,4.64,268,62,24,1,1,16,43,8,547.1,2395,527,314,282,62,226,3,37,21,2,488,8.02,3.72,2.16,1.02,0.204,0.094,0.109,0.247,1.38,0.294,0.677,111,102,110,4.64,4.24,0.4,4.58,4.3,137,0.083,636,0.387,4.21
19,NYM,60,26,34,3.81,239,60,14,0,0,10,25,8,535.2,2286,464,251,227,51,220,6,28,13,2,551,9.26,3.7,2.5,0.86,0.241,0.096,0.145,0.228,1.28,0.288,0.72,96,90,94,3.81,3.68,0.13,3.87,3.8,99,0.067,561,0.377,3.77
20,NYY,60,34,26,3.46,249,60,27,0,0,13,31,10,531.1,2211,448,226,204,55,184,5,23,14,2,512,8.67,3.12,2.78,0.93,0.232,0.083,0.148,0.224,1.19,0.273,0.742,84,87,92,3.46,3.7,-0.24,3.84,3.76,92,0.062,568,0.381,3.43
21,PHI,60,33,27,3.96,256,60,27,1,1,19,27,5,534.1,2269,528,254,235,60,162,4,23,10,0,556,9.36,2.73,3.43,1.01,0.245,0.071,0.174,0.253,1.29,0.319,0.73,95,84,85,3.96,3.53,0.43,3.51,3.45,110,0.072,551,0.361,3.59
22,PIT,61,33,28,4,256,61,21,0,0,12,34,11,549.2,2339,478,276,244,55,214,10,36,18,2,552,9.04,3.5,2.58,0.9,0.236,0.091,0.145,0.229,1.26,0.285,0.694,95,92,97,4,3.77,0.23,4.01,3.84,112,0.073,609,0.396,3.82
23,SDP,59,31,28,3.95,256,59,12,0,0,19,38,7,522,2179,462,237,229,58,196,4,24,14,2,482,8.31,3.38,2.46,1,0.221,0.09,0.131,0.236,1.26,0.285,0.741,100,97,98,3.95,3.97,-0.02,4.03,3.94,114,0.077,560,0.379,3.91
24,SEA,60,31,29,3.57,241,60,24,1,0,13,34,11,534.1,2218,495,231,212,57,149,7,30,12,2,506,8.52,2.51,3.4,0.96,0.228,0.067,0.161,0.243,1.21,0.297,0.746,92,90,90,3.57,3.61,-0.04,3.76,3.65,122,0.08,652,0.425,3.92
25,SFG,61,26,35,4.6,254,61,21,0,0,12,34,7,537.2,2339,515,303,275,63,251,7,19,23,1,471,7.88,4.2,1.88,1.05,0.201,0.107,0.094,0.249,1.42,0.294,0.692,115,110,105,4.6,4.39,0.22,4.35,4.4,100,0.063,588,0.368,4.21
26,STL,58,31,27,3.97,256,58,20,0,0,19,44,9,521.2,2226,489,249,230,60,203,5,32,26,0,453,7.82,3.5,2.23,1.04,0.204,0.091,0.112,0.246,1.33,0.29,0.742,99,104,100,3.97,4.22,-0.25,4.14,4.14,129,0.084,673,0.438,4.86
27,TBR,57,36,21,3.82,238,57,17,0,0,25,39,8,515.2,2165,457,246,219,68,177,15,17,18,2,447,7.8,3.09,2.53,1.19,0.206,0.082,0.125,0.232,1.23,0.267,0.729,91,100,101,3.82,4.22,-0.4,4.21,4.08,139,0.091,555,0.364,4.3
28,TEX,60,29,31,3.75,242,60,19,0,0,15,27,4,523.1,2206,457,230,218,68,182,7,26,18,0,499,8.58,3.13,2.74,1.17,0.226,0.083,0.144,0.229,1.22,0.272,0.763,91,97,96,3.75,4.08,-0.34,4.01,3.86,124,0.083,612,0.408,4.16
29,TOR,61,27,34,4.09,289,61,15,0,0,16,38,8,536.2,2274,501,266,244,59,198,10,20,20,3,513,8.6,3.32,2.59,0.99,0.226,0.087,0.139,0.244,1.3,0.298,0.712,99,91,95,4.09,3.85,0.25,3.94,3.87,111,0.072,561,0.364,3.83
30,WSN,61,30,31,4.66,256,61,11,0,0,18,28,16,552.2,2433,543,325,286,86,221,10,40,23,1,482,7.85,3.6,2.18,1.4,0.198,0.091,0.107,0.25,1.38,0.285,0.701,113,116,109,4.66,4.81,-0.15,4.5,4.24,169,0.1,705,0.417,4.93
