Rk.,Team,Venue,Year,Park Factor,wOBAcon,xwOBAcon,BACON,xBACON,HardHit,R,OBP,H,1B,2B,3B,HR,BB,SO,PA
1,COL,Coors Field,2023-2025,113,112,101,113,102,101,128,111,117,116,119,202,106,101,90,56288
2,BOS,Fenway Park,2023-2025,104,105,100,106,100,101,108,105,107,106,122,94,89,97,97,56227
3,ARI,Chase Field,2023-2025,103,102,100,102,101,102,106,103,105,103,115,204,88,99,94,57721
4,CIN,Great American Ball Park,2023-2025,103,103,98,101,99,94,106,101,100,96,99,76,123,103,102,55320
5,MIN,Target Field,2023-2025,102,104,101,104,100,101,104,102,102,100,111,98,102,100,103,56371
6,KCR,Kauffman Stadium,2023-2025,101,98,102,99,102,103,102,102,104,103,113,183,85,100,89,55376
7,ATL,Truist Park,2023-2025,101,103,103,103,103,103,102,100,102,103,94,91,104,99,106,56173
8,WSN,Nationals Park,2023-2025,101,99,101,100,101,101,102,102,104,108,98,99,94,94,90,54850
9,LAA,Angel Stadium,2023-2025,101,102,100,101,99,99,102,100,98,97,90,98,113,103,105,54974
10,MIA,loanDepot park,2023-2025,101,100,101,102,101,100,102,101,103,104,107,118,90,97,98,56374
11,PHI,Citizens Bank Park,2023-2025,101,103,99,101,99,100,102,99,100,99,96,100,114,96,104,56467
12,LAD,Dodger Stadium,2023-2025,101,101,102,98,101,101,102,99,97,92,96,64,127,101,100,60077
13,DET,Comerica Park,2023-2025,100,100,100,100,100,99,100,100,100,100,95,144,99,100,98,55223
14,STL,Busch Stadium,2023-2025,100,97,101,99,101,102,100,101,103,107,105,81,87,96,91,54813
15,BAL,Oriole Park at Camden Yards,2023-2025,100,101,102,101,101,105,100,99,103,103,97,120,105,91,99,55203
16,TOR,Rogers Centre,2023-2025,100,99,99,98,99,100,100,100,99,97,104,70,104,100,98,56748
17,NYY,Yankee Stadium,2023-2025,100,99,102,97,100,104,100,99,94,91,90,63,119,112,102,59150
18,HOU,Daikin Park,2023-2025,100,101,98,100,99,98,100,100,100,100,96,89,105,100,102,55530
19,PIT,PNC Park,2023-2025,99,97,101,100,101,102,98,101,101,102,115,84,76,100,96,55793
20,CWS,Rate Field,2023-2025,99,98,98,99,99,97,98,100,98,101,92,70,96,103,100,57073
21,NYM,Citi Field,2023-2025,98,97,100,96,99,101,96,99,94,93,89,72,104,110,103,56893
22,MIL,American Family Field,2023-2025,97,99,98,98,99,96,94,97,94,94,87,89,106,106,109,57290
23,SFG,Oracle Park,2023-2025,97,96,97,99,98,99,94,97,101,104,102,122,82,90,98,55020
24,CLE,Progressive Field,2023-2025,97,96,98,98,100,96,94,98,97,98,106,72,85,100,102,55642
25,CHC,Wrigley Field,2023-2025,97,97,100,97,100,100,94,97,96,98,86,116,99,100,103,55805
26,SDP,Petco Park,2023-2025,97,97,99,97,99,98,94,98,96,97,92,64,102,103,102,56903
27,TEX,Globe Life Field,2023-2025,97,97,100,96,98,102,94,97,97,97,95,74,104,100,101,56373
28,SEA,T-Mobile Park,2023-2025,91,94,99,94,99,98,83,92,89,89,89,52,93,97,117,55327
