Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
OF,Aaron Judge (42256177),Aaron Judge,42256177,OF,4500,NYY@DET 03/12/2026 01:03PM ET,NYY,11.86
SP,Tarik Skubal (42256179),Tarik Skubal,42256179,P,4500,NYY@DET 03/12/2026 01:03PM ET,DET,25.92
SP,Max Fried (42256186),Max Fried,42256186,P,4500,NYY@DET 03/12/2026 01:03PM ET,NYY,18.90
OF,Cody Bellinger (42256194),Cody Bellinger,42256194,OF,4500,NYY@DET 03/12/2026 01:03PM ET,NYY,8.58
OF,Riley Greene (42256195),Riley Greene,42256195,OF,4500,NYY@DET 03/12/2026 01:03PM ET,DET,8.07
2B,Jazz Chisholm Jr. (42256196),Jazz Chisholm Jr.,42256196,2B,4500,NYY@DET 03/12/2026 01:03PM ET,NYY,8.90
RP,Framber Valdez (42256202),Framber Valdez,42256202,P,4500,NYY@DET 03/12/2026 01:03PM ET,DET,18.04
SP,Cam Schlittler (42256206),Cam Schlittler,42256206,P,4500,NYY@DET 03/12/2026 01:03PM ET,NYY,18.52
SP,Gerrit Cole (42256209),Gerrit Cole,42256209,P,4500,NYY@DET 03/12/2026 01:03PM ET,NYY,0
1B,Ben Rice (42256210),Ben Rice,42256210,1B,4500,NYY@DET 03/12/2026 01:03PM ET,NYY,7.38
1B,Spencer Torkelson (42256215),Spencer Torkelson,42256215,1B,4500,NYY@DET 03/12/2026 01:03PM ET,DET,7.52
OF,Trent Grisham (42256216),Trent Grisham,42256216,OF,4500,NYY@DET 03/12/2026 01:03PM ET,NYY,7.69
SP,Carlos Rodon (42256219),Carlos Rodon,42256219,P,4500,NYY@DET 03/12/2026 01:03PM ET,NYY,18.90
SP,Jack Flaherty (42256222),Jack Flaherty,42256222,P,4500,NYY@DET 03/12/2026 01:03PM ET,DET,14.92
OF,Kerry Carpenter (42256225),Kerry Carpenter,42256225,OF,4500,NYY@DET 03/12/2026 01:03PM ET,DET,6.94
OF,Jasson Dominguez (42256226),Jasson Dominguez,42256226,OF,4500,NYY@DET 03/12/2026 01:03PM ET,NYY,6.65
2B,Gleyber Torres (42256231),Gleyber Torres,42256231,2B,4500,NYY@DET 03/12/2026 01:03PM ET,DET,7.30
OF,Giancarlo Stanton (42256232),Giancarlo Stanton,42256232,OF,4500,NYY@DET 03/12/2026 01:03PM ET,NYY,8.18
2B/3B,Ryan McMahon (42256247),Ryan McMahon,42256247,2B/3B,4500,NYY@DET 03/12/2026 01:03PM ET,NYY,5.86
3B/SS,Kevin McGonigle (42256253),Kevin McGonigle,42256253,3B/SS,4500,NYY@DET 03/12/2026 01:03PM ET,DET,0
RP,Paul Blackburn (42256256),Paul Blackburn,42256256,P,4500,NYY@DET 03/12/2026 01:03PM ET,NYY,3.57
SP,Casey Mize (42256257),Casey Mize,42256257,P,4500,NYY@DET 03/12/2026 01:03PM ET,DET,14.84
