#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,K%,BB%,K-BB%,AVG,WHIP,LOB%,ERA-,FIP-,xFIP-,E-F,xFIP,SIERA,Barrels,Barrel%,H,HR,EV,HBP
1,Andre Pallante,STL,6,4,0,12,12,63.2,7.21,3.25,1.13,0.277,0.752,0.508,0.123,95.1,3.96,3.83,4.41,4.25,0.5,0.186,0.084,0.102,0.243,1.3,0.752,98,109,103,-0.46,4.25,4.32,13,0.066,60,8,87.9,4
2,Andrew Abbott,CIN,4,3,0,12,12,62.2,6.18,4.31,1.29,0.271,0.74,0.388,0.106,92.8,4.45,5.11,5.04,5.12,0.4,0.157,0.109,0.047,0.25,1.45,0.74,103,116,124,-0.59,5.12,5.25,15,0.075,61,9,89.7,0
3,Bailey Ober,MIN,6,3,0,11,11,62.2,6.46,2.44,1.58,0.254,0.719,0.335,0.112,89,4.45,4.14,4.87,4.83,0.6,0.17,0.064,0.106,0.241,1.21,0.719,106,117,116,-0.41,4.83,4.69,20,0.1,59,11,87.9,2
4,Braxton Ashcraft,PIT,5,2,0,12,12,74.2,9.76,2.05,0.84,0.283,0.776,0.469,0.101,97.2,2.77,2.78,3.04,3.15,2,0.273,0.057,0.215,0.218,1.03,0.776,66,74,76,-0.27,3.15,3.14,11,0.057,60,7,89.1,5
5,Brayan Bello,BOS,2,6,0,12,8,61,6.49,3.54,1.48,0.335,0.629,0.498,0.167,94.8,6.34,6.03,5.03,4.31,-0.1,0.156,0.085,0.071,0.304,1.67,0.629,146,120,103,1.32,4.31,4.46,21,0.099,78,10,89.9,2
6,Bryan Woo,SEA,5,4,0,12,12,71,8.37,1.65,0.89,0.267,0.654,0.378,0.075,95.8,3.8,3.03,3.17,3.77,1.8,0.233,0.046,0.187,0.22,1.01,0.654,98,79,90,0.64,3.77,3.6,14,0.069,59,7,89.6,2
7,Bryce Elder,ATL,5,3,0,13,13,78.2,7.67,2.63,0.69,0.252,0.763,0.446,0.073,92.8,2.63,3.07,3.35,3.86,1.6,0.209,0.072,0.138,0.21,1.08,0.763,64,83,94,-0.72,3.86,4.02,8,0.035,62,6,89.4,10
8,Cade Cavalli,WSN,3,3,0,12,12,61,10.18,3.1,0.44,0.363,0.719,0.462,0.051,96.7,3.54,4.06,3.01,3.76,1.5,0.252,0.077,0.175,0.267,1.41,0.719,86,73,91,0.53,3.76,3.57,12,0.069,65,3,88.4,1
9,Cam Schlittler,NYY,6,3,0,12,12,71,9.63,1.65,0.51,0.261,0.778,0.438,0.058,97.8,2.03,2.86,2.29,2.96,2.5,0.273,0.047,0.227,0.197,0.92,0.778,49,54,71,-0.26,2.96,3.05,13,0.069,52,4,89.6,0
10,Chase Burns,CIN,7,1,0,12,12,70.1,10.36,2.69,1.15,0.228,0.938,0.405,0.123,98.1,2.05,2.89,3.37,3.19,1.8,0.297,0.077,0.22,0.183,0.95,0.938,47,78,77,-1.32,3.19,3.18,15,0.088,46,9,86.4,6
11,Chris Sale,ATL,7,4,0,11,11,66.2,10.8,2.16,0.81,0.288,0.826,0.44,0.098,95.9,2.43,3.22,2.87,3.01,1.7,0.295,0.059,0.236,0.213,1.04,0.826,59,71,73,-0.44,3.01,2.95,12,0.071,53,6,91.1,3
12,Colin Rea,CHC,5,3,1,13,10,64.2,7.24,3.06,1.25,0.292,0.724,0.462,0.123,93.8,4.59,5.36,4.47,4.28,0.4,0.187,0.079,0.108,0.257,1.35,0.724,114,110,104,0.12,4.28,4.28,25,0.124,65,9,90.6,5
13,Connelly Early,BOS,5,3,0,11,11,61,8.41,3.1,1.62,0.241,0.875,0.376,0.153,94,3.39,4.64,4.86,4.21,0.2,0.223,0.082,0.141,0.217,1.16,0.875,78,116,101,-1.47,4.21,4.08,21,0.121,50,11,89,1
14,Cristopher S�nchez,PHI,6,2,0,12,12,80.1,10.42,1.9,0.34,0.332,0.831,0.583,0.054,,1.57,2.98,1.95,2.47,3.2,0.284,0.052,0.232,0.239,1.13,0.831,38,47,60,-0.38,2.47,2.68,17,0.078,74,3,89.5,2
15,Davis Martin,CHW,8,2,0,12,12,72.1,9.08,2.12,0.37,0.313,0.787,0.453,0.049,94.3,2.61,3.65,2.46,3.13,2.6,0.253,0.059,0.194,0.235,1.11,0.787,63,57,75,0.15,3.13,3.33,12,0.062,63,3,86.9,1
16,Drew Rasmussen,TBR,5,2,0,11,11,61,9.15,1.77,1.03,0.244,0.726,0.494,0.132,96.2,3.1,3.06,3.21,2.96,1.5,0.261,0.05,0.21,0.2,0.93,0.726,74,76,71,-0.11,2.96,3.13,12,0.074,45,7,89.9,5
17,Dustin May,STL,3,5,0,11,11,62.2,8.19,2.59,0.72,0.302,0.671,0.463,0.079,97.1,4.02,3.47,3.43,3.84,1.2,0.222,0.07,0.152,0.244,1.2,0.671,100,85,93,0.59,3.84,3.83,13,0.073,57,5,88.6,0
18,Eduardo Rodriguez,ARI,5,1,0,11,11,67.1,6.28,3.21,0.67,0.255,0.849,0.411,0.067,92.1,2.41,4.69,3.75,4.38,1.1,0.17,0.087,0.083,0.222,1.19,0.849,58,94,106,-1.34,4.38,4.71,17,0.083,56,5,90.2,2
19,Emerson Hancock,SEA,3,2,0,11,11,64.2,8.49,1.95,1.39,0.255,0.852,0.411,0.139,95.5,3.06,4.59,3.98,3.56,0.7,0.242,0.056,0.187,0.22,1.02,0.852,79,100,86,-0.91,3.56,3.53,19,0.109,52,10,88.3,5
20,Foster Griffin,WSN,7,2,0,13,13,72,8.63,2.63,1.75,0.235,0.795,0.429,0.182,91.4,3.63,4.39,4.85,3.85,0.3,0.232,0.071,0.162,0.215,1.1,0.795,88,117,93,-1.22,3.85,3.78,25,0.124,58,14,89.9,6
21,Framber Valdez,DET,3,4,0,12,12,66.2,7.29,3.51,0.95,0.276,0.689,0.485,0.106,95.5,4.46,4.53,4.29,4.35,0.6,0.185,0.089,0.096,0.238,1.32,0.689,107,103,104,0.16,4.35,4.42,14,0.068,62,7,88.8,2
