Name,Name + ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Position
Christian McCaffrey,Christian McCaffrey (40058244),RB/FLEX,8200,ARI@SF 09/21/2025 04:25PM ET,SF,22.95,RB
Ja'Marr Chase,Ja'Marr Chase (40058534),WR/FLEX,8100,CIN@MIN 09/21/2025 01:00PM ET,CIN,22.05,WR
CeeDee Lamb,CeeDee Lamb (40058536),WR/FLEX,8000,DAL@CHI 09/21/2025 04:25PM ET,DAL,22.1,WR
Bijan Robinson,Bijan Robinson (40058246),RB/FLEX,7900,ATL@CAR 09/21/2025 01:00PM ET,ATL,25.1,RB
Saquon Barkley,Saquon Barkley (40058248),RB/FLEX,7800,LAR@PHI 09/21/2025 01:00PM ET,PHI,17.9,RB
Puka Nacua,Puka Nacua (40058538),WR/FLEX,7700,LAR@PHI 09/21/2025 01:00PM ET,LAR,26.85,WR
Justin Jefferson,Justin Jefferson (40058540),WR/FLEX,7500,CIN@MIN 09/21/2025 01:00PM ET,MIN,12.95,WR
Nico Collins,Nico Collins (40058542),WR/FLEX,7300,HOU@JAX 09/21/2025 01:00PM ET,HOU,9.85,WR
Jonathan Taylor,Jonathan Taylor (40058250),RB/FLEX,7200,IND@TEN 09/21/2025 01:00PM ET,IND,22.65,RB
Bucky Irving,Bucky Irving (40058252),RB/FLEX,7100,NYJ@TB 09/21/2025 01:00PM ET,TB,16.3,RB
Josh Jacobs,Josh Jacobs (40058254),RB/FLEX,7000,GB@CLE 09/21/2025 01:00PM ET,GB,14.2,RB
Jayden Daniels,Jayden Daniels (40058154),QB,7000,LV@WAS 09/21/2025 01:00PM ET,WAS,19.91,QB
Chase Brown,Chase Brown (40058256),RB/FLEX,6900,CIN@MIN 09/21/2025 01:00PM ET,CIN,10.8,RB
Jalen Hurts,Jalen Hurts (40058155),QB,6800,LAR@PHI 09/21/2025 01:00PM ET,PHI,17.91,QB
Ladd McConkey,Ladd McConkey (40058544),WR/FLEX,6800,DEN@LAC 09/21/2025 04:05PM ET,LAC,11.6,WR
Ashton Jeanty,Ashton Jeanty (40058258),RB/FLEX,6700,LV@WAS 09/21/2025 01:00PM ET,LV,9.7,RB
Baker Mayfield,Baker Mayfield (40058156),QB,6600,NYJ@TB 09/21/2025 01:00PM ET,TB,21.24,QB
Mike Evans,Mike Evans (40058546),WR/FLEX,6600,NYJ@TB 09/21/2025 01:00PM ET,TB,10.35,WR
Joe Burrow,Joe Burrow (40058157),QB,6500,CIN@MIN 09/21/2025 01:00PM ET,CIN,7.93,QB
Jaxon Smith-Njigba,Jaxon Smith-Njigba (40058548),WR/FLEX,6500,NO@SEA 09/21/2025 04:05PM ET,SEA,22.35,WR
James Conner,James Conner (40058260),RB/FLEX,6500,ARI@SF 09/21/2025 04:25PM ET,ARI,13.3,RB
Brian Thomas Jr.,Brian Thomas Jr. (40058550),WR/FLEX,6400,HOU@JAX 09/21/2025 01:00PM ET,JAX,8.95,WR
Kyren Williams,Kyren Williams (40058262),RB/FLEX,6400,LAR@PHI 09/21/2025 01:00PM ET,LAR,11.95,RB
Jordan Love,Jordan Love (40058158),QB,6300,GB@CLE 09/21/2025 01:00PM ET,GB,18.4,QB
A.J. Brown,A.J. Brown (40058552),WR/FLEX,6300,LAR@PHI 09/21/2025 01:00PM ET,PHI,4.75,WR
Emeka Egbuka,Emeka Egbuka (40058554),WR/FLEX,6300,NYJ@TB 09/21/2025 01:00PM ET,TB,18.25,WR
Alvin Kamara,Alvin Kamara (40058264),RB/FLEX,6300,NO@SEA 09/21/2025 04:05PM ET,NO,15.35,RB
Chuba Hubbard,Chuba Hubbard (40058266),RB/FLEX,6200,ATL@CAR 09/21/2025 01:00PM ET,CAR,18.3,RB
Davante Adams,Davante Adams (40058556),WR/FLEX,6200,LAR@PHI 09/21/2025 01:00PM ET,LAR,17.35,WR
Garrett Wilson,Garrett Wilson (40058558),WR/FLEX,6200,NYJ@TB 09/21/2025 01:00PM ET,NYJ,15.75,WR
Justin Herbert,Justin Herbert (40058159),QB,6200,DEN@LAC 09/21/2025 04:05PM ET,LAC,25.35,QB
Tee Higgins,Tee Higgins (40058566),WR/FLEX,6100,CIN@MIN 09/21/2025 01:00PM ET,CIN,10.45,WR
Deebo Samuel Sr.,Deebo Samuel Sr. (40058560),WR/FLEX,6100,LV@WAS 09/21/2025 01:00PM ET,WAS,20,WR
Javonte Williams,Javonte Williams (40058268),RB/FLEX,6100,DAL@CHI 09/21/2025 04:25PM ET,DAL,22.7,RB
Kyler Murray,Kyler Murray (40058160),QB,6100,ARI@SF 09/21/2025 04:25PM ET,ARI,16.66,QB
Drake London,Drake London (40058564),WR/FLEX,6000,ATL@CAR 09/21/2025 01:00PM ET,ATL,10.2,WR
Breece Hall,Breece Hall (40058270),RB/FLEX,6000,NYJ@TB 09/21/2025 01:00PM ET,NYJ,12.65,RB
Brock Bowers,Brock Bowers (40059020),TE/FLEX,6000,LV@WAS 09/21/2025 01:00PM ET,LV,13.55,TE
Courtland Sutton,Courtland Sutton (40058562),WR/FLEX,6000,DEN@LAC 09/21/2025 04:05PM ET,DEN,9.85,WR
Brock Purdy,Brock Purdy (40058161),QB,6000,ARI@SF 09/21/2025 04:25PM ET,SF,18.78,QB
Tetairoa McMillan,Tetairoa McMillan (40058570),WR/FLEX,5900,ATL@CAR 09/21/2025 01:00PM ET,CAR,15.4,WR
Travis Etienne Jr.,Travis Etienne Jr. (40058272),RB/FLEX,5900,HOU@JAX 09/21/2025 01:00PM ET,JAX,19.25,RB
Dak Prescott,Dak Prescott (40058162),QB,5900,DAL@CHI 09/21/2025 04:25PM ET,DAL,16.98,QB
George Pickens,George Pickens (40058568),WR/FLEX,5900,DAL@CHI 09/21/2025 04:25PM ET,DAL,11.9,WR
Terry McLaurin,Terry McLaurin (40058572),WR/FLEX,5800,LV@WAS 09/21/2025 01:00PM ET,WAS,7.25,WR
Bo Nix,Bo Nix (40058163),QB,5800,DEN@LAC 09/21/2025 04:05PM ET,DEN,15.54,QB
Kenneth Walker III,Kenneth Walker III (40058274),RB/FLEX,5800,NO@SEA 09/21/2025 04:05PM ET,SEA,13.6,RB
DK Metcalf,DK Metcalf (40058574),WR/FLEX,5700,PIT@NE 09/21/2025 01:00PM ET,PIT,11.65,WR
Matthew Stafford,Matthew Stafford (40058164),QB,5700,LAR@PHI 09/21/2025 01:00PM ET,LAR,15.96,QB
Tony Pollard,Tony Pollard (40058278),RB/FLEX,5700,IND@TEN 09/21/2025 01:00PM ET,TEN,9.05,RB
J.K. Dobbins,J.K. Dobbins (40058276),RB/FLEX,5700,DEN@LAC 09/21/2025 04:05PM ET,DEN,15.15,RB
Trey McBride,Trey McBride (40059022),TE/FLEX,5700,ARI@SF 09/21/2025 04:25PM ET,ARI,12.95,TE
Michael Penix Jr.,Michael Penix Jr. (40058166),QB,5600,ATL@CAR 09/21/2025 01:00PM ET,ATL,14.66,QB
Jakobi Meyers,Jakobi Meyers (40058578),WR/FLEX,5600,LV@WAS 09/21/2025 01:00PM ET,LV,15.25,WR
Omarion Hampton,Omarion Hampton (40058280),RB/FLEX,5600,DEN@LAC 09/21/2025 04:05PM ET,LAC,5.8,RB
Caleb Williams,Caleb Williams (40058165),QB,5600,DAL@CHI 09/21/2025 04:25PM ET,CHI,21.09,QB
D'Andre Swift,D'Andre Swift (40058282),RB/FLEX,5600,DAL@CHI 09/21/2025 04:25PM ET,CHI,12.2,RB
Marvin Harrison Jr.,Marvin Harrison Jr. (40058576),WR/FLEX,5600,ARI@SF 09/21/2025 04:25PM ET,ARI,11.4,WR
C.J. Stroud,C.J. Stroud (40058168),QB,5500,HOU@JAX 09/21/2025 01:00PM ET,HOU,12.35,QB
Jake Browning,Jake Browning (40058167),QB,5500,CIN@MIN 09/21/2025 01:00PM ET,CIN,20.74,QB
Jaylen Warren,Jaylen Warren (40058284),RB/FLEX,5500,PIT@NE 09/21/2025 01:00PM ET,PIT,15.65,RB
Chris Godwin Jr.,Chris Godwin Jr. (40058580),WR/FLEX,5500,NYJ@TB 09/21/2025 01:00PM ET,TB,0,WR
Jacory Croskey-Merritt,Jacory Croskey-Merritt (40058286),RB/FLEX,5500,LV@WAS 09/21/2025 01:00PM ET,WAS,7.95,RB
Ricky Pearsall,Ricky Pearsall (40058582),WR/FLEX,5500,ARI@SF 09/21/2025 04:25PM ET,SF,13.5,WR
Trevor Lawrence,Trevor Lawrence (40058170),QB,5400,HOU@JAX 09/21/2025 01:00PM ET,JAX,16.28,QB
Jordan Mason,Jordan Mason (40058288),RB/FLEX,5400,CIN@MIN 09/21/2025 01:00PM ET,MIN,7.15,RB
TreVeyon Henderson,TreVeyon Henderson (40058290),RB/FLEX,5400,PIT@NE 09/21/2025 01:00PM ET,NE,8.55,RB
Daniel Jones,Daniel Jones (40058169),QB,5400,IND@TEN 09/21/2025 01:00PM ET,IND,27.66,QB
