RK,NAME,TEAM,POS,GMS,YDS,TD,INT,YDS,TD,REC,YDS,TD,FPTS/G,FPTS,,Fantasy Points,,,,Top Fantasy Leaders
1,Lamar Jackson,BAL,QB,17,4172,41,4,915,4,0,0,0,26.4,448.4,,,Lamar Jackson,,,
2,Ja'Marr Chase,CIN,WR,17,0,0,0,32,0,127,1708,17,24.6,418,,,Ja'Marr Chase,,,
3,Joe Burrow,CIN,QB,17,4918,43,9,201,2,0,0,0,24,407.8,,,Joe Burrow,,,
4,Baker Mayfield,TB,QB,17,4500,41,16,378,3,0,0,0,23.6,401.8,,,Baker Mayfield,,,
5,Josh Allen,BUF,QB,17,3731,28,6,531,12,0,7,1,23.3,396,,,Josh Allen,,,
6,Saquon Barkley,PHI,RB,16,0,0,0,2005,13,33,278,2,24.3,389.3,,,Saquon Barkley,,,
7,Jahmyr Gibbs,DET,RB,17,0,0,0,1412,16,52,517,4,22.3,378.9,,,Jahmyr Gibbs,,,
8,Jayden Daniels,WAS,QB,17,3568,25,9,891,6,0,0,0,21.8,370.8,,,Jayden Daniels,,,
9,Derrick Henry,BAL,RB,17,0,0,0,1921,16,19,193,2,21.4,364.4,,,Derrick Henry,,,
10,Bijan Robinson,ATL,RB,17,0,0,0,1456,14,61,431,1,21,356.7,,,Bijan Robinson,,,
11,Jared Goff,DET,QB,17,4629,37,12,56,0,1,7,1,20.9,354.5,,,Jared Goff,,,
12,Bo Nix,DEN,QB,17,3775,29,12,430,4,1,2,1,19.7,335.2,,,Bo Nix,,,
13,Sam Darnold,MIN,QB,17,4319,35,12,212,1,0,0,0,19.6,333,,,Sam Darnold,,,
14,Justin Jefferson,MIN,WR,17,22,0,0,3,0,103,1533,10,19.6,332.5,,,Justin Jefferson,,,
15,Amon-Ra St. Brown,DET,WR,17,7,1,0,6,0,115,1263,12,19.4,329.2,,,Amon-Ra St. Brown,,,
16,Jalen Hurts,PHI,QB,15,2903,18,5,630,14,0,0,0,21.9,328.1,,,Jalen Hurts,,,
17,Kyler Murray,ARI,QB,17,3851,21,11,572,5,0,0,0,18.7,318.2,,,Kyler Murray,,,
18,De'Von Achane,MIA,RB,17,0,0,0,907,6,78,592,6,18,305.9,,,De'Von Achane,,,
19,Josh Jacobs,GB,RB,17,0,0,0,1329,15,36,342,1,17.9,305.1,,,Josh Jacobs,,,
20,Patrick Mahomes,KC,QB,16,3928,26,11,307,2,1,2,0,18.9,303,,,Patrick Mahomes,,,
21,Brock Purdy,SF,QB,15,3864,20,12,323,5,0,0,0,19.8,296.9,,,Brock Purdy,,,
22,Justin Herbert,LAC,QB,17,3870,23,3,306,2,0,0,0,17.4,296.4,,,Justin Herbert,,,
23,Brian Thomas Jr.,JAX,WR,17,0,0,0,48,0,87,1282,10,17.4,296,,,Brian Thomas Jr.,,,
24,Geno Smith,SEA,QB,17,4320,21,15,272,2,0,0,0,17.4,296,,,Geno Smith,,,
25,Drake London,ATL,WR,17,0,0,0,-3,0,100,1271,9,17,289.8,,,Drake London,,,
26,Kyren Williams,LAR,RB,16,0,0,0,1299,14,34,182,2,17.9,287.1,,,Kyren Williams,,,
27,Terry McLaurin,WAS,WR,17,0,0,0,2,0,82,1096,13,16.7,283.8,,,Terry McLaurin,,,
28,Malik Nabers,NYG,WR,15,0,0,0,2,0,109,1204,7,18.8,282.6,,,Malik Nabers,,,
29,James Cook,BUF,RB,16,0,0,0,1009,16,32,258,2,17.4,278.7,,,James Cook,,,
30,Caleb Williams,CHI,QB,17,3541,20,6,489,0,0,0,0,16.3,277.5,,,Caleb Williams,,,
31,Alvin Kamara,NO,RB,14,0,0,0,950,6,68,543,2,19.6,274.3,,,Alvin Kamara,,,
32,CeeDee Lamb,DAL,WR,15,0,0,0,70,0,101,1194,6,18.2,273.4,,,CeeDee Lamb,,,
33,James Conner,ARI,RB,16,0,0,0,1094,8,47,414,1,17.1,272.8,,,James Conner,,,
34,Aaron Rodgers,NYJ,QB,17,3897,28,11,107,0,0,0,0,16,272.6,,,Aaron Rodgers,,,
35,Jonathan Taylor,IND,RB,14,0,0,0,1431,11,18,136,1,19.3,270.7,,,Jonathan Taylor,,,
36,Brock Bowers,LV,TE,17,0,0,0,13,0,112,1194,5,15.8,268.7,,,Brock Bowers,,,
37,Garrett Wilson,NYJ,WR,17,0,0,0,5,0,101,1104,7,15.6,265.9,,,Garrett Wilson,,,
38,Jaxon Smith-Njigba,SEA,WR,17,35,0,0,26,0,100,1130,6,15.4,262,,,Jaxon Smith-Njigba,,,
39,Joe Mixon,HOU,RB,14,0,0,0,1016,11,36,309,1,18.7,261.5,,,Joe Mixon,,,
40,Chase Brown,CIN,RB,16,0,0,0,990,7,54,360,4,16.2,259,,,Chase Brown,,,
41,Trey McBride,ARI,TE,16,0,0,0,2,2,111,1146,2,16.2,258.8,,,Trey McBride,,,
42,Chuba Hubbard,CAR,RB,15,0,0,0,1195,10,43,171,1,17.1,256.6,,,Chuba Hubbard,,,
43,Bucky Irving,TB,RB,17,0,0,0,1122,8,47,392,0,15,254.4,,,Bucky Irving,,,
44,Aaron Jones,MIN,RB,17,0,0,0,1138,5,51,408,2,14.7,250.6,,,Aaron Jones,,,
45,Courtland Sutton,DEN,WR,17,30,1,0,0,0,81,1081,8,14.7,250.3,,,Courtland Sutton,,,
