Team,TeamAbbrev,,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,,,,,
Cowboys,DAL,,265,,7,,46.5,,,,Odds,
Eagles,PHI,,-315,,-6.5,,46.5,,,,,
Chiefs,KC,,-126,,-2.5,,45,,,,,
Chargers,LAC,,125,,2.5,,45.5,,,,,
Raiders,LV,,140,,3,,42.5,,,,,
Patriots,NE,,-154,,-2.5,,42.5,,,,,
Steelers,PIT,,-148,,-3,,38.5,,,,,
Jets,NYJ,,138,,3,,39,,,,,
Buccaneers,TB,,-112,,-1.5,,48.5,,,,,
Falcons,ATL,,110,,2.5,,49,,,,,
Dolphins,MIA,,-102,,1.5,,45.5,,,,,
Colts,IND,,100,,1.5,,46.5,,,,,
Cardinals,ARI,,-235,,-5.5,,41.5,,,,,
Saints,NO,,200,,6,,42.5,,,,,
Giants,NYG,,245,,7,,45.5,,,,,
Commanders,WAS,,-290,,-6.5,,45.5,,,,,
Panthers,CAR,,136,,3,,45.5,,,,,
Jaguars,JAX,,-143,,-2.5,,46.5,,,,,
Bengals,CIN,,-235,,-5.5,,44.5,,,,,
Browns,CLE,,200,,5.5,,45.5,,,,,
Titans,TEN,,310,,7.5,,41.5,,,,,
Broncos,DEN,,-375,,-7.5,,42,,,,,
49ers,SF,,-122,,-1.5,,45.5,,,,,
Seahawks,SEA,,108,,1.5,,45.5,,,,,
Lions,DET,,105,,1.5,,48.5,,,,,
Packers,GB,,-116,,-1.5,,49.5,,,,,
Texans,HOU,,136,,3,,45.5,,,,,
Rams,LAR,,-150,,-2.5,,45.5,,,,,
Ravens,BAL,,102,,1.5,,51.5,,,,,
Bills,BUF,,-116,,-1.5,,52.5,,,,,
Vikings,MIN,,-102,,1.5,,43.5,,,,,
Bears,CHI,,-108,,-1,,44.5,,,,,
