Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps,,Snap Count site,
Jahmyr Gibbs,RB,DET,17,639,38,56,39,10,47,49,362.9,56.8,,,Jahmyr Gibbs
David Montgomery,RB,DET,14,390,28,41,47,10,57,57,221.7,56.8,,,David Montgomery
James Cook,RB,BUF,16,485,30,48,43,8,49,51,266.7,55,,,James Cook
Derrick Henry,RB,BAL,17,635,37,57,51,3,54,55,336.4,53,,,Derrick Henry
Bucky Irving,RB,TB,17,516,30,45,40,10,49,50,244.4,47.4,,,Bucky Irving
Taysom Hill,TE,NO,8,225,28,42,17,14,29,33,103.3,45.9,,,Taysom Hill
Marcus Mariota,QB,WAS,3,100,33,52,18,0,62,62,45.7,45.7,,,Marcus Mariota
Saquon Barkley,RB,PHI,16,801,50,74,43,5,47,48,355.3,44.4,,,Saquon Barkley
Josh Jacobs,RB,GB,17,678,40,63,44,6,50,51,293.1,43.2,,,Josh Jacobs
Joe Mixon,RB,HOU,14,557,40,62,44,9,51,54,240.5,43.2,,,Joe Mixon
De'Von Achane,RB,MIA,17,704,41,62,29,12,40,41,299.9,42.6,,,De'Von Achane
Puka Nacua,WR,LAR,11,487,44,68,2,22,18,24,206.6,42.4,,,Puka Nacua
Nico Collins,WR,HOU,12,502,42,66,0,20,14,20,210.6,42,,,Nico Collins
Rashee Rice,WR,KC,4,155,39,61,1,19,16,19,64.9,41.9,,,Rashee Rice
Alvin Kamara,RB,NO,14,641,46,71,36,14,46,49,265.3,41.4,,,Alvin Kamara
James Conner,RB,ARI,16,619,39,60,38,9,46,47,253.8,41,,,James Conner
Joshua Dobbs,QB,SF,2,81,41,58,11,0,69,69,32.8,40.5,,,Joshua Dobbs
Lamar Jackson,QB,BAL,17,"1,074",63,97,13,0,57,57,434.4,40.4,,,Lamar Jackson
Marquise Brown,WR,KC,2,45,23,33,0,33,20,33,18.1,40.2,,,Marquise Brown
Josh Allen,QB,BUF,17,968,57,89,11,0,60,60,385.1,39.8,,,Josh Allen
Bijan Robinson,RB,ATL,17,861,51,75,35,8,42,44,341.7,39.7,,,Bijan Robinson
Kenneth Walker III,RB,SEA,11,469,43,64,33,11,42,44,181.2,38.6,,,Kenneth Walker III
Ja'Marr Chase,WR,CIN,17,"1,054",62,93,0,17,12,17,403,38.2,,,Ja'Marr Chase
Najee Harris,RB,PIT,8,295,37,54,46,9,53,55,112,38,,,Najee Harris
Chase Brown,RB,CIN,16,686,43,65,33,9,41,43,255,37.2,,,Chase Brown
Tank Bigsby,RB,JAC,15,351,23,38,48,3,50,51,129,36.8,,,Tank Bigsby
Kristian Wilkerson,WR,LV,1,27,27,43,0,11,7,11,9.8,36.3,,,Kristian Wilkerson
J.K. Dobbins,RB,LAC,13,533,41,63,37,7,43,44,191.8,36,,,J.K. Dobbins
Mike Evans,WR,TB,14,671,48,71,0,16,11,16,240.4,35.8,,,Mike Evans
Tyjae Spears,RB,TEN,12,320,27,43,26,11,36,37,113.6,35.5,,,Tyjae Spears
Jonnu Smith,TE,MIA,17,626,37,55,0,18,14,18,222.3,35.5,,,Jonnu Smith
Tee Higgins,WR,CIN,12,636,53,79,0,17,11,17,222.1,34.9,,,Tee Higgins
Jonathan Taylor,RB,IND,14,707,51,80,43,4,45,47,244.7,34.6,,,Jonathan Taylor
