Rank,TEAM,PTS,PLAYS,YDS,YDS/PLAY,1ST DWN,MADE,ATT,PCT,MADE,ATT,PCT,PEN,PEN YDS,TOP,TO DIFF,,Team Defense
1,Eagles,303,999,4732,4.7,293,75,211,35.5,24,48,50,85,694,28:37:00,11,,
2,Titans,460,1008,5291,5.2,314,88,213,41.3,36,57,63.2,120,988,30:30:00,-16,,
3,Jets,404,1068,5334,5,347,83,215,38.6,37,63,58.7,104,989,31:11:00,-2,,
4,Dolphins,364,1012,5344,5.3,314,75,209,35.9,27,55,49.1,125,1030,28:23:00,-5,,
5,Packers,338,1036,5347,5.2,327,78,208,37.5,30,50,60,114,940,29:25:00,12,,
6,Texans,372,1050,5355,5.1,313,79,220,35.9,28,44,63.6,106,798,29:06:00,10,,
7,Broncos,311,1093,5391,4.9,327,88,236,37.3,23,49,46.9,101,723,30:30:00,6,,
8,49ers,436,1029,5396,5.2,321,93,216,43.1,39,57,68.4,79,624,30:31:00,-10,,
9,Chiefs,326,1026,5451,5.3,328,93,215,43.3,28,54,51.9,107,849,29:14:00,6,,
10,Ravens,361,1062,5511,5.2,330,90,226,39.8,27,50,54,97,759,29:14:00,6,,
11,Chargers,301,1037,5514,5.3,311,80,224,35.7,18,40,45,101,869,29:20:00,12,,
12,Steelers,347,1034,5554,5.4,324,72,204,35.3,33,61,54.1,125,1039,29:12:00,16,,
13,Commanders,391,1029,5558,5.4,335,79,207,38.2,32,53,60.4,105,850,30:31:00,1,,
14,Seahawks,368,1065,5656,5.3,329,83,224,37.1,30,57,52.6,121,958,31:25:00,-6,,
15,Raiders,434,1053,5663,5.4,323,88,221,39.8,35,58,60.3,117,852,31:39:00,-16,,
16,Vikings,332,1078,5702,5.3,325,78,219,35.6,29,49,59.2,141,1185,30:53:00,12,,
17,Bills,368,1052,5806,5.5,356,88,201,43.8,35,61,57.4,127,1016,30:09:00,24,,
18,Buccaneers,385,1065,5810,5.5,336,80,210,38.1,31,57,54.4,96,897,28:23:00,-5,,
19,Browns,435,1040,5816,5.6,303,81,224,36.2,33,53,62.3,108,890,30:47:00,-22,,
20,Lions,342,1016,5820,5.7,331,60,185,32.4,28,55,50.9,114,862,28:53:00,9,,
21,Cardinals,379,1045,5823,5.6,344,91,208,43.8,30,57,52.6,100,803,31:39:00,-3,,
22,Patriots,417,1068,5829,5.5,348,93,215,43.3,36,57,63.2,100,772,31:27:00,-11,,
23,Falcons,423,1067,5868,5.5,347,96,212,45.3,37,57,64.9,122,964,31:55:00,-6,,
24,Giants,415,1051,5896,5.6,331,87,216,40.3,29,54,53.7,106,870,30:54:00,-8,,
25,Bengals,434,1088,5921,5.4,361,87,207,42,36,53,67.9,101,826,30:51:00,3,,
26,Rams,386,1057,5998,5.7,342,83,204,40.7,28,56,50,112,943,31:01:00,6,,
27,Bears,370,1028,6022,5.9,326,80,213,37.6,29,63,46,107,794,30:18:00,8,,
28,Cowboys,468,1046,6039,5.8,342,75,205,36.6,42,56,75,132,1019,31:44:00,-6,,
29,Colts,427,1112,6140,5.5,343,104,234,44.4,37,61,60.7,92,862,32:24:00,-4,,
30,Saints,398,1119,6459,5.8,354,92,224,41.1,30,54,55.6,115,959,32:52:00,-2,,
31,Jaguars,435,1125,6629,5.9,389,97,225,43.1,35,59,59.3,105,808,33:17:00,-15,,
32,Panthers,534,1154,6877,6,417,112,223,50.2,50,76,65.8,120,977,33:20:00,-5,,
