Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Rounds,Scrambling
akshay bhatia,4.8,0.61,0.18,-3.79,-2.99,1.81,1,0.8
akshay bhatia,3.13,2.56,1.84,-1.17,3.23,6.36,2,0.8571
akshay bhatia,-0.05,3.1,0.55,-0.34,3.31,3.26,3,0.75
akshay bhatia,2.72,-0.6,-0.62,0.94,-0.28,2.44,4,0.5
daniel berger,3.72,0.67,3.53,0.89,5.09,8.81,1,1.0
daniel berger,0.71,0.7,1.67,1.29,3.65,4.36,2,0.6667
daniel berger,-1.54,0.79,1.45,-1.44,0.8,-0.74,3,0.625
daniel berger,0.18,-0.7,1.26,0.7,1.26,1.44,4,0.0
cameron young,0.54,-0.17,2.15,2.29,4.27,4.81,1,0.5
cameron young,-0.23,-0.08,-1.81,1.48,-0.41,-0.64,2,0.1667
cameron young,0.94,-0.09,2.02,1.39,3.32,4.26,3,0.8
cameron young,0.41,0.42,-0.63,2.24,2.03,2.44,4,1.0
ludvig aberg,2.98,0.16,1.64,1.02,2.82,5.81,1,0.6667
ludvig aberg,-0.3,0.86,1.43,-0.63,1.66,1.36,2,0.5
ludvig aberg,-0.94,-0.94,-0.31,1.45,0.2,-0.74,3,0.5
ludvig aberg,-0.66,1.36,2.59,1.15,5.1,4.44,4,0.8
collin morikawa,2.36,-0.05,3.99,-0.5,3.45,5.81,1,0.5
collin morikawa,-0.36,0.21,1.22,0.29,1.73,1.36,2,0.7143
collin morikawa,1.57,0.14,-1.54,1.08,-0.31,1.26,3,0.75
collin morikawa,-0.79,0.32,0.38,1.53,2.23,1.44,4,0.75
russell henley,-0.59,1.06,1.07,0.26,2.4,1.81,1,0.7778
russell henley,3.65,0.14,-1.07,0.65,-0.29,3.36,2,0.5
russell henley,-0.26,0.39,-0.74,0.88,0.52,0.26,3,1.0
russell henley,2.42,1.24,-0.39,0.17,1.02,3.44,4,1.0
min woo lee,0.66,1.46,1.33,-0.64,2.15,2.81,1,0.75
min woo lee,-0.42,1.11,0.59,0.08,1.79,1.36,2,0.5714
min woo lee,-0.1,-0.32,2.49,1.19,3.36,3.26,3,0.75
min woo lee,0.6,0.27,0.18,0.39,0.84,1.44,4,0.4286
sahith theegala,-0.47,1.17,1.29,-0.19,2.27,1.81,1,1.0
sahith theegala,1.9,2.19,1.59,-0.32,3.46,5.36,2,1.0
sahith theegala,-2.68,0.49,-2,0.45,-1.06,-3.74,3,0.4
sahith theegala,0.64,1.05,3.15,0.61,4.8,5.44,4,0.8
rickie fowler,1.18,0.46,0.2,0.97,1.63,2.81,1,1.0
rickie fowler,0.77,-0.08,2.71,-0.04,2.6,3.36,2,0.8
rickie fowler,-0.81,-0.02,-0.22,0.31,0.07,-0.74,3,0.8
rickie fowler,3.57,-0.3,-3,1.17,-2.13,1.44,4,0.75
harry hall,0.8,-1.13,-0.94,0.07,-1.99,-1.19,1,0.3333
harry hall,2.45,0.04,0.83,0.04,0.91,3.36,2,0.5714
harry hall,0.07,2.28,0.73,0.19,3.19,3.26,3,0.8889
harry hall,0.38,0.58,0.83,-0.35,1.06,1.44,4,0.5
jordan spieth,0.33,-0.59,-0.13,0.2,-0.52,-0.19,1,0.25
jordan spieth,-0.83,-0.06,2.32,-0.07,2.19,1.36,2,0.4
jordan spieth,2.91,0.72,-0.98,0.61,0.35,3.26,3,0.8889
jordan spieth,-0.17,0.09,1.13,-0.61,0.61,0.44,4,0.8571
adam scott,1.87,0.05,1.81,0.08,1.94,3.81,1,0.8333
adam scott,-2.47,0.45,0.94,0.46,1.84,-0.64,2,0.625
adam scott,2.06,-0.48,-0.75,-0.57,-1.8,0.26,3,0.7273
adam scott,1.62,0.19,0.81,-1.18,-0.18,1.44,4,0.6
si woo kim,-1.03,0.12,0.69,1.02,1.84,0.81,1,0.5
si woo kim,-1.77,0.43,1.35,1.35,3.13,1.36,2,0.6667
si woo kim,0.71,0.85,-1.01,-0.29,-0.45,0.26,3,0.7
si woo kim,0.51,-0.19,1.34,-0.22,0.93,1.44,4,0.6
sepp straka,-1.48,-0.8,1.24,0.84,1.29,-0.19,1,0.4
sepp straka,1.8,-0.52,1.81,0.27,1.56,3.36,2,0.6667
sepp straka,2.98,-0.15,1.25,1.18,2.28,5.26,3,0.75
sepp straka,-3.1,-0.2,0.22,-1.48,-1.46,-4.56,4,0.4444
maverick mcnealy,0.98,0.32,-0.55,1.05,0.82,1.81,1,0.8571
maverick mcnealy,0.08,-0.04,-1.05,-0.63,-1.71,-1.64,2,0.8182
maverick mcnealy,1.12,0.29,-0.2,1.05,1.14,2.26,3,0.5
maverick mcnealy,-2.31,1.71,0.78,1.26,3.75,1.44,4,0.6667
viktor hovland,-0.79,0.84,0.79,-1.03,0.6,-0.19,1,0.5
viktor hovland,-0.02,0.55,0.41,-0.58,0.39,0.36,2,0.5714
viktor hovland,5.05,-0.23,0.28,-0.84,-0.79,4.26,3,0.6667
viktor hovland,-0.25,-1.74,1.05,0.37,-0.31,-0.56,4,0.6
billy horschel,1.1,0.27,2.25,-0.82,1.71,2.81,1,1.0
billy horschel,0.61,-0.63,-1.94,0.32,-2.25,-1.64,2,0.6364
billy horschel,1.68,-0.76,0.05,-1.71,-2.42,-0.74,3,0.5556
billy horschel,3.73,2.73,-2.6,-0.41,-0.29,3.44,4,0.7
kurt kitayama,0.73,0.25,0.73,1.09,2.08,2.81,1,0.8571
