Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Rounds,Scrambling
cameron young,2.81,2.24,2.03,0.56,4.83,7.64,1,1
cameron young,2.69,-1.05,1.53,0.86,1.34,4.03,2,0.8
cameron young,-0.01,1.2,-0.93,1.38,1.65,1.64,3,0.6
cameron young,1.58,0.18,-1.64,0.99,-0.47,1.11,4,0.6667
scottie scheffler,-0.49,0,0.74,0.4,1.14,0.64,1,0.5
scottie scheffler,0.52,-0.17,2.54,1.13,3.51,4.03,2,1
scottie scheffler,-0.48,0.47,1.82,0.82,3.12,2.64,3,0.6667
scottie scheffler,0.35,-0.21,0.21,0.76,0.76,1.11,4,0.3333
ben griffin,1.81,0.46,0.54,-1.18,-0.17,1.64,1,0.6
ben griffin,0.81,1.5,-3.63,2.35,0.22,1.03,2,0.6667
ben griffin,1.04,0.95,1.01,0.64,2.6,3.64,3,1
ben griffin,1.7,-0.15,0.61,-1.05,-0.59,1.11,4,0.6667
si woo kim,-3.33,2.78,2.27,-0.09,4.97,1.64,1,0.4
si woo kim,0.63,1.54,1.24,-0.39,2.39,3.03,2,0.75
si woo kim,-0.29,1.23,1.77,-0.07,2.93,2.64,3,0.7143
si woo kim,-0.96,-0.78,0.33,0.53,0.08,-0.89,4,0.6667
sepp straka,0.72,0.88,0.36,-0.31,0.92,1.64,1,0.5
sepp straka,-2.5,0.41,1.17,-1.05,0.53,-1.97,2,0.2
sepp straka,3.16,0.8,-1.03,0.71,0.48,3.64,3,0.8
sepp straka,1.18,-0.72,2.25,0.41,1.93,3.11,4,0.6667
adam scott,-2.38,-0.36,2.01,-3.63,-1.98,-4.36,1,0
adam scott,-2.42,1.73,0.24,0.48,2.44,0.03,2,0.6
adam scott,0.73,0.66,2.84,1.41,4.91,5.64,3,1
adam scott,2.08,1.14,1.39,0.51,3.04,5.11,4,1
alex noren,0.09,-1.7,-0.9,0.15,-2.45,-2.36,1,0.2
alex noren,0.76,0.98,1.29,-1,1.27,2.03,2,0.8
alex noren,1.62,0.4,2.26,1.36,4.02,5.64,3,1
alex noren,0.6,-0.41,0.36,-0.44,-0.49,0.11,4,0.6667
alex smalley,0.81,1,4.44,0.39,5.83,6.64,1,0.5
alex smalley,1.26,-0.7,-0.46,-0.07,-1.23,0.03,2,0.3333
alex smalley,-1,-0.61,0.86,-0.61,-0.36,-1.36,3,0.4
alex smalley,-0.55,-0.33,0.8,0.18,0.66,0.11,4,1
rickie fowler,2.32,-0.84,0.36,0.8,0.32,2.64,1,0.5714
rickie fowler,2.06,0.09,-0.52,-0.6,-1.04,1.03,2,1
rickie fowler,-1.46,-0.03,0.97,0.16,1.1,-0.36,3,0.6
rickie fowler,-2,-0.04,2.87,0.28,3.11,1.11,4,0
kurt kitayama,-3.18,-0.74,-1.7,1.27,-1.18,-4.36,1,0.5714
kurt kitayama,2.09,0.33,4,0.6,4.94,7.03,2,0.5
kurt kitayama,0.5,-2.69,1.02,0.81,-0.86,-0.36,3,0.4
kurt kitayama,1.29,-0.2,0.06,0.95,0.82,2.11,4,1
nick taylor,3.41,0.6,1.46,0.16,2.23,5.64,1,1
nick taylor,0.9,2.34,-0.44,-1.77,0.13,1.03,2,0.7778
nick taylor,-1.95,-0.57,1.85,0.31,1.59,-0.36,3,0.4286
nick taylor,-3.54,1.11,0.73,-0.18,1.65,-1.89,4,0.3333
matthew mccarty,1.12,0.3,1.98,-0.76,1.52,2.64,1,0.6667
matthew mccarty,-0.82,1.37,0.19,0.29,1.84,1.03,2,0.6
matthew mccarty,0.6,-0.71,3.08,-0.34,2.04,2.64,3,0.2
matthew mccarty,-0.51,-0.67,0.45,-1.16,-1.38,-1.89,4,0.5
alex fitzpatrick,0.07,0.11,-1.73,1.2,-0.43,-0.36,1,0.5714
alex fitzpatrick,-0.2,0.69,3.04,1.5,5.23,5.03,2,1
alex fitzpatrick,-1.13,-1.8,0.17,0.4,-1.24,-2.36,3,0.5714
alex fitzpatrick,-2.12,1.7,1.48,1.05,4.24,2.11,4,1
j.j. spaun,-2.2,0.92,0.69,0.24,1.84,-0.36,1,0.6
j.j. spaun,0.38,-0.26,0.66,1.25,1.65,2.03,2,0.6667
j.j. spaun,-0.3,-0.04,0.55,-0.58,-0.07,-0.36,3,0.7143
j.j. spaun,0.46,1.43,0.57,-0.35,1.65,2.11,4,1
lucas glover,-2.21,0.97,1.22,-0.35,1.85,-0.36,1,0.6667
lucas glover,1.58,-0.34,0.9,-1.11,-0.55,1.03,2,0.5
lucas glover,-1.79,0.3,1.69,0.43,2.43,0.64,3,0.5
lucas glover,1.65,-0.42,1.09,-0.21,0.46,2.11,4,0.6667
aldrich potgieter,0.98,0.85,-0.71,1.52,1.66,2.64,1,0.7143
aldrich potgieter,-0.47,-0.28,1.46,-0.68,0.5,0.03,2,0.5
aldrich potgieter,-0.52,-1.33,0.37,1.12,0.16,-0.36,3,0.5
aldrich potgieter,1.19,-0.49,1.43,-1.02,-0.08,1.11,4,0.6667
kristoffer reitan,-0.36,0.89,0.18,0.93,2,1.64,1,0.6
kristoffer reitan,0.53,1.07,0.78,0.65,2.5,3.03,2,1
kristoffer reitan,-1.22,0.12,3.16,0.59,3.86,2.64,3,0.3333
kristoffer reitan,0.23,0.35,-3.57,-0.9,-4.12,-3.89,4,0.3333
jordan spieth,0.99,2.12,3.07,0.47,5.65,6.64,1,0.6667
jordan spieth,-1.82,-0.74,1.27,1.32,1.85,0.03,2,0.4
jordan spieth,0.68,-0.83,-3.04,-0.16,-4.04,-3.36,3,0.3333
jordan spieth,1.55,-0.76,-2.72,1.03,-2.44,-0.89,4,0.6667
sam stevens,1.68,0.73,-0.77,-1.01,-1.04,0.64,1,0.1667
sam stevens,-0.79,-1.2,0.36,1.66,0.82,0.03,2,0.6667
sam stevens,-0.77,-0.28,-1.29,0.99,-0.59,-1.36,3,0.3333
sam stevens,1.38,0.75,-0.08,1.07,1.73,3.11,4,1
michael kim,1.31,-0.47,-3.46,0.25,-3.67,-2.36,1,0.8
michael kim,0.62,-0.8,1.08,-0.87,-0.6,0.03,2,0.5714
michael kim,4.63,1.21,0.13,0.67,2.01,6.64,3,0.8571
michael kim,-0.68,1.79,-0.29,-2.71,-1.2,-1.89,4,0.5
min woo lee,1.31,1.34,-0.28,-0.73,0.33,1.64,1,0.7143
min woo lee,0.19,-0.86,-0.14,-0.16,-1.16,-0.97,2,0.5714
min woo lee,-0.75,1.28,0.14,-0.03,1.39,0.64,3,1
min woo lee,2.92,-0.71,-1.87,0.77,-1.81,1.11,4,0.75
andrew putnam,3.48,1.06,-0.47,-0.43,0.16,3.64,1,0.8571
andrew putnam,1.24,0.27,-0.94,-0.54,-1.21,0.03,2,0.5
andrew putnam,-0.01,0.2,-0.61,0.06,-0.35,-0.36,3,0.8
andrew putnam,-2.39,1.22,3.14,-2.86,1.5,-0.89,4,0.5
justin thomas,-0.47,0.46,0.3,1.34,2.1,1.64,1,0.8333
justin thomas,-0.81,0.61,-1.29,-0.48,-1.16,-1.97,2,0.375
justin thomas,-2.77,1.64,0.87,1.9,4.41,1.64,3,0.3333
justin thomas,-1.71,-0.1,0.9,1.02,1.82,0.11,4,0.5
tommy fleetwood,-0.44,0.57,0.06,1.45,2.08,1.64,1,1
tommy fleetwood,0.1,0.25,0.17,0.52,0.93,1.03,2,0.6
tommy fleetwood,0.34,-0.22,-3.4,-0.08,-3.7,-3.36,3,0.5
tommy fleetwood,0.97,0.39,0.8,-0.05,1.14,2.11,4,0.5
akshay bhatia,2.01,2,-0.37,-2,-0.37,1.64,1,0.875
akshay bhatia,1.01,-0.67,-0.13,-1.19,-1.99,-0.97,2,0.3333
akshay bhatia,0.65,3.44,0.36,0.19,3.99,4.64,3,0.8571
akshay bhatia,1.19,-0.29,-2.74,-2.05,-5.07,-3.89,4,0.1667
shane lowry,0.46,-0.3,-1.62,1.1,-0.82,-0.36,1,0.5
shane lowry,0.1,-0.61,-3.04,-0.42,-4.08,-3.97,2,0.2
shane lowry,-0.03,-0.89,2.9,-0.35,1.66,1.64,3,0.5
shane lowry,2.54,-0.21,0.79,1,1.57,4.11,4,1
daniel berger,-0.44,1.15,-2.89,-2.18,-3.92,-4.36,1,0.6
daniel berger,-0.53,0.18,3.12,0.25,3.56,3.03,2,0.6667
daniel berger,1.98,-1.59,2.55,0.69,1.66,3.64,3,0.6667
daniel berger,0.62,-0.7,-0.96,0.15,-1.5,-0.89,4,0.4
matt wallace,-1.07,-0.3,-0.63,-0.36,-1.29,-2.36,1,0.5714
matt wallace,0.48,-1.05,0.64,-0.04,-0.46,0.03,2,0.8333
matt wallace,2.38,0.5,-3.31,1.07,-1.74,0.64,3,0.5556
matt wallace,4.9,-0.37,-2.34,0.92,-1.79,3.11,4,1
nicolai hojgaard,-1.99,-2.76,1.25,0.13,-1.37,-3.36,1,0.3333
nicolai hojgaard,0.44,0.79,0.94,0.86,2.59,3.03,2,0.8333
nicolai hojgaard,-1.04,2.05,-3.04,0.67,-0.32,-1.36,3,0.625
nicolai hojgaard,1.21,0.04,-0.03,1.88,1.9,3.11,4,1
harry hall,-0.01,0.23,0.44,-0.02,0.65,0.64,1,0.6
harry hall,1.21,2.19,-1.08,-0.29,0.82,2.03,2,0.7143
harry hall,0.26,0.07,-0.57,-0.13,-0.63,-0.36,3,0.7
harry hall,-1.1,-0.54,1.46,-1.71,-0.79,-1.89,4,0.5
maverick mcnealy,0.48,-0.14,0.34,-0.04,0.16,0.64,1,0.5
maverick mcnealy,2.53,-2.36,-1.37,-1.77,-5.5,-2.97,2,0.4286
maverick mcnealy,0.65,0.49,0.27,-0.77,-0.01,0.64,3,0.5
maverick mcnealy,1.32,1.51,-2.28,1.56,0.79,2.11,4,0.7143
denny mccarthy,2.24,0.41,-0.77,-1.25,-1.6,0.64,1,0.8333
denny mccarthy,1.82,-0.07,0.26,-1.98,-1.79,0.03,2,0.6
denny mccarthy,0.1,0.93,0.46,-0.85,0.54,0.64,3,0.8889
denny mccarthy,0.55,-0.35,-0.45,-0.63,-1.43,-0.89,4,0.8333
ryan gerard,-0.63,-0.54,1.11,-0.3,0.27,-0.36,1,0.5
ryan gerard,-1.28,-1.8,1.71,0.4,0.31,-0.97,2,0.75
ryan gerard,3.27,-0.93,-0.12,0.41,-0.64,2.64,3,0.1667
ryan gerard,-0.29,0.51,-1.32,0.21,-0.59,-0.89,4,0.4
ryan fox,-3,2.08,-0.36,0.92,2.64,-0.36,1,0.8571
ryan fox,-0.34,-0.45,0.84,-0.02,0.37,0.03,2,0.7143
ryan fox,0.7,-1.38,0.5,-0.18,-1.06,-0.36,3,0.4286
ryan fox,-0.65,-1.17,1.51,1.41,1.76,1.11,4,1
corey conners,0.07,-1.39,0.9,-0.94,-1.44,-1.36,1,0.4286
corey conners,1.97,0.24,0.4,-0.57,0.06,2.03,2,0.2
corey conners,-0.6,-1.04,-1.58,0.86,-1.76,-2.36,3,0.4286
corey conners,1.24,0.24,1.94,-1.31,0.87,2.11,4,0.6667
sahith theegala,1.36,1.4,-0.49,0.36,1.28,2.64,1,0.6667
sahith theegala,-0.77,-1.92,0.01,-2.29,-4.2,-4.97,2,0.5
sahith theegala,-1.3,0.55,-0.3,-1.31,-1.06,-2.36,3,0.75
sahith theegala,0.57,1.68,1.73,1.12,4.54,5.11,4,1
sudarshan yellamaraju,0.03,-0.41,-2.17,0.19,-2.39,-2.36,1,0.5
sudarshan yellamaraju,0.86,1.46,2.33,0.37,4.17,5.03,2,0.5
sudarshan yellamaraju,-0.95,0.05,-1.53,-0.93,-2.41,-3.36,3,0.3333
sudarshan yellamaraju,0.58,0.57,-0.59,0.55,0.53,1.11,4,1
jason day,0.84,0.41,-6.41,-0.19,-6.2,-5.36,1,0.4
jason day,0.78,0.08,-0.36,0.52,0.24,1.03,2,0.8
jason day,0.1,0.55,1.36,0.63,2.54,2.64,3,0.8
jason day,-0.11,0.43,0.1,0.69,1.22,1.11,4,0.75
gary woodland,1.53,-0.36,2.41,0.06,2.1,3.64,1,1
gary woodland,-0.71,-0.06,3.19,-0.39,2.74,2.03,2,0.5
gary woodland,-0.79,-0.96,-4.63,1.02,-4.57,-5.36,3,0.375
gary woodland,0.88,-0.08,-1.67,-0.03,-1.77,-0.89,4,0.6
bud cauley,-2.43,-0.4,4.6,0.86,5.07,2.64,1,1
bud cauley,-3.5,0.91,1.16,1.46,3.53,0.03,2,0.3333
bud cauley,-3.3,0.76,-2.89,0.07,-2.06,-5.36,3,0.5
bud cauley,-1.6,1.17,2.87,-0.33,3.71,2.11,4,1
brian harman,2.22,0.8,0.65,-0.03,1.42,3.64,1,1
brian harman,0.25,0.95,-0.14,-0.03,0.77,1.03,2,0.8
brian harman,-0.43,-1.24,-0.2,-0.5,-1.93,-2.36,3,0.5556
brian harman,-2.88,0.53,0.49,-1.04,-0.01,-2.89,4,0.6
sam burns,-1.56,-1.26,-1.82,0.28,-2.79,-4.36,1,0.1667
sam burns,1.62,0.39,1.45,-0.43,1.4,3.03,2,0.5
sam burns,0.02,-0.64,0.05,0.21,-0.38,-0.36,3,0
sam burns,-0.16,-0.58,0.87,0.98,1.27,1.11,4,0.6
taylor pendrith,-1.2,-0.84,1.14,1.54,1.84,0.64,1,0
taylor pendrith,0.01,-0.53,2.27,2.28,4.02,4.03,2,0
taylor pendrith,-0.7,-2.76,0.03,-0.93,-3.66,-4.36,3,0.2222
taylor pendrith,0.11,-0.12,-1.05,0.17,-1,-0.89,4,0.75
viktor hovland,-0.83,-2.07,-1.26,0.8,-2.53,-3.36,1,0.5
viktor hovland,2.74,-1.22,-0.55,-0.94,-2.71,0.03,2,0.6
viktor hovland,-0.27,0.01,-0.32,0.22,-0.1,-0.36,3,0.7143
viktor hovland,-0.17,1.18,1.83,0.27,3.28,3.11,4,1
max greyserman,0.65,-0.19,0.34,-1.16,-1,-0.36,1,0.5714
max greyserman,-1.49,-0.44,-0.29,1.24,0.52,-0.97,2,0.5
max greyserman,-0.02,1.05,-1.44,0.05,-0.34,-0.36,3,0.5556
max greyserman,0.53,0.66,0.5,-0.57,0.59,1.11,4,0.6667
chris gotterup,0.78,0.37,-3.55,1.04,-2.14,-1.36,1,0.6
chris gotterup,2.75,-0.78,-2.33,0.39,-2.72,0.03,2,0.75
chris gotterup,1,0.23,0.75,0.65,1.63,2.64,3,0.8
chris gotterup,-0.57,0.13,-1.05,-0.39,-1.32,-1.89,4,0.6
max homa,2.09,0.98,-2.1,0.67,-0.45,1.64,1,0.8571
max homa,-1.77,0.08,-0.85,1.57,0.8,-0.97,2,0.6
max homa,0.96,1.28,-1.18,-1.43,-1.32,-0.36,3,0.6
max homa,-0.24,-0.69,-1.8,1.84,-0.65,-0.89,4,0.5
pierceson coody,0.85,-2.27,-0.25,1.31,-1.22,-0.36,1,0.4
