Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Rounds,Scrambling
henley r.,-0.81,-0.02,2.82,0.78,3.58,2.77,1,0
henley r.,1.41,-0.03,2.09,0.05,2.11,3.52,2,0
henley r.,-0.96,0.08,1.67,1.39,3.14,2.17,3,0
henley r.,2.51,-1.51,1.68,0.87,1.04,3.55,4,0
cole e.,0.7,-0.04,0.36,0.74,1.06,1.76,1,0
cole e.,0.28,1.39,-0.12,-0.03,1.24,1.52,2,0
cole e.,2.34,1.13,4.23,0.47,5.83,8.17,3,0
cole e.,1.7,0.04,-2.13,0.93,-1.16,0.55,4,0
griffin b.,-0.2,0.46,0.44,0.06,0.96,0.77,1,0
griffin b.,1.23,1.21,-1.12,0.2,0.28,1.52,2,0
griffin b.,0.24,0.67,1.2,1.06,2.93,3.17,3,0
griffin b.,2.64,0.59,1.83,0.48,2.91,5.55,4,0
smalley a.,0.49,-0.07,2.27,1.07,3.27,3.77,1,0
smalley a.,2.57,-0.12,0.93,-0.86,-0.05,2.52,2,0
smalley a.,0.13,0.1,1,0.95,2.05,2.17,3,0
smalley a.,-0.11,1.1,0.7,0.86,2.65,2.55,4,0
meissner m.,-0.59,0.87,2.84,-0.35,3.36,2.77,1,0
meissner m.,1.1,0.68,1.03,-0.3,1.42,2.52,2,0
meissner m.,1.58,1.53,0.69,0.38,2.59,4.17,3,0
meissner m.,2.43,0.02,-0.78,-0.13,-0.88,1.55,4,0
woodland g.,0.91,0.19,0.8,1.86,2.85,3.77,1,0
woodland g.,0.78,-0.91,-1.16,1.81,-0.26,0.52,2,0
woodland g.,1.65,-0.1,-1.45,2.07,0.52,2.17,3,0
woodland g.,3.79,0.16,1.34,-1.74,-0.24,3.55,4,0
spaun j.,1.77,0.3,1.6,1.1,2.99,4.76,1,0
spaun j.,-0.37,0.43,1.63,-0.17,1.89,1.52,2,0
spaun j.,-0.34,0.95,1.26,1.3,3.52,3.17,3,0
spaun j.,-0.15,1.03,-0.97,0.63,0.7,0.55,4,0
echavarria n.,-1.2,-0.55,4.2,0.3,3.96,2.77,1,0
echavarria n.,0.46,-1.37,0.83,-1.41,-1.94,-1.48,2,0
echavarria n.,2.06,1.53,1.33,1.25,4.11,6.17,3,0
echavarria n.,0.28,1.76,0.43,0.09,2.27,2.55,4,0
brennan m.,0.95,-0.19,-0.43,1.43,0.81,1.76,1,0
brennan m.,2.13,-0.59,1.37,0.61,1.39,3.52,2,0
brennan m.,0.1,-0.54,0.95,1.65,2.07,2.17,3,0
brennan m.,2.34,-0.91,0.49,0.62,0.21,2.55,4,0
hughes m.,1.32,1.05,0.46,-0.07,1.44,2.77,1,0
hughes m.,1.94,1.11,-0.18,-0.35,0.58,2.52,2,0
hughes m.,1.69,0.79,0.28,-0.59,0.48,2.17,3,0
hughes m.,0.68,1.02,-1.36,1.21,0.87,1.55,4,0
gerard r.,4.22,-1.14,2.92,-1.24,0.55,4.76,1,0
gerard r.,0.05,-0.03,3.13,-0.63,2.47,2.52,2,0
gerard r.,3.37,-0.5,-0.19,0.49,-0.2,3.17,3,0
gerard r.,0.78,0.74,-1.5,-1.47,-2.23,-1.45,4,0
fisk s.,1.13,-0.63,-1.21,1.48,-0.36,0.77,1,0
fisk s.,0.21,0.33,-1.18,1.16,0.31,0.52,2,0
fisk s.,1.32,-1.08,1.86,0.08,0.85,2.17,3,0
fisk s.,4.4,0.29,0.17,0.69,1.14,5.55,4,0
thomas j.,-1.92,0.56,0.33,0.8,1.69,-0.23,1,0
thomas j.,0.25,0.41,0.27,1.59,2.27,2.52,2,0
thomas j.,-0.53,0.66,2.49,1.56,4.71,4.17,3,0
thomas j.,1.1,0.07,0.29,0.09,0.45,1.55,4,0
matsuyama h.,2.32,-0.94,2.45,-1.06,0.45,2.77,1,0
matsuyama h.,0.63,1.6,1.25,1.03,3.88,4.52,2,0
matsuyama h.,-0.4,-0.97,1.78,0.76,1.57,1.17,3,0
matsuyama h.,-0.78,0.57,0,-0.24,0.33,-0.45,4,0
smith j.,1.47,0.19,0.74,1.36,2.29,3.77,1,0
smith j.,1.24,0.73,1.43,1.12,3.28,4.52,2,0
smith j.,-4.18,0.48,0.24,0.63,1.35,-2.83,3,0
smith j.,0.6,0.54,0.31,1.09,1.94,2.55,4,0
thorbjornsen m.,1.51,1.22,-0.99,1.02,1.25,2.77,1,0
thorbjornsen m.,0.89,-0.22,3.01,0.84,3.63,4.52,2,0
thorbjornsen m.,-0.89,1.04,0.07,-0.06,1.06,0.17,3,0
thorbjornsen m.,-0.19,-0.11,1.06,-1.21,-0.26,-0.45,4,0
aberg l.,2.08,-1.08,1.1,0.67,0.69,2.77,1,0
aberg l.,1.28,-0.15,-0.51,0.9,0.24,1.52,2,0
aberg l.,0.08,0.63,0.09,1.37,2.09,2.17,3,0
aberg l.,-0.74,0.06,-0.32,0.54,0.29,-0.45,4,0
kim m.,-0.11,0.78,-1.34,-0.57,-1.13,-1.24,1,0
kim m.,1.33,0.33,0.44,0.42,1.19,2.52,2,0
kim m.,1.29,-0.81,1.74,-0.06,0.88,2.17,3,0
kim m.,-0.1,0.24,1.77,0.63,2.65,2.55,4,0
putnam a.,3.1,3.4,0.49,-2.22,1.67,4.76,1,0
putnam a.,-0.53,0.87,-0.36,-0.46,0.04,-0.48,2,0
putnam a.,0.15,1,0.9,-0.87,1.02,1.17,3,0
putnam a.,0.36,1.55,-0.37,-0.99,0.18,0.55,4,0
ewart a.,-0.74,0.07,-0.15,-0.41,-0.5,-1.24,1,0
ewart a.,2.64,0.08,3.85,-0.05,3.88,6.52,2,0
ewart a.,2.27,-1.17,-0.79,-0.14,-2.1,0.17,3,0
ewart a.,2.49,-0.54,-1.34,-0.06,-1.94,0.55,4,0
hoey r.,1.16,-0.14,-1.31,1.05,-0.4,0.77,1,0
hoey r.,-0.05,-0.19,-0.54,1.29,0.57,0.52,2,0
hoey r.,-2.67,0.78,0.9,1.17,2.85,0.17,3,0
hoey r.,2,1.41,-0.15,1.3,2.55,4.55,4,0
kuchar m.,1.02,0.23,-0.01,0.53,0.74,1.76,1,0
kuchar m.,1.85,-0.14,0.93,-1.12,-0.33,1.52,2,0
kuchar m.,1.92,0.04,1.47,-2.25,-0.74,1.17,3,0
kuchar m.,0.24,-0.59,0.48,0.43,0.31,0.55,4,0
harman b.,0.52,0.31,2.42,0.51,3.25,3.77,1,0
harman b.,0.65,-0.05,2.96,-0.05,2.87,3.52,2,0
harman b.,-0.57,-0.13,-0.29,0.16,-0.25,-0.83,3,0
harman b.,0.28,-1.43,-0.06,-0.25,-1.73,-1.45,4,0
homa m.,0.73,-0.1,1.35,0.78,2.03,2.77,1,0
homa m.,-0.55,-0.42,-0.69,0.18,-0.94,-1.48,2,0
homa m.,3.18,-1.58,-1.28,-0.14,-3,0.17,3,0
homa m.,1.92,0.13,0.62,0.87,1.63,3.55,4,0
garnett b.,1.61,0.62,-0.39,0.92,1.15,2.77,1,0
garnett b.,0.75,-0.67,2.36,1.08,2.77,3.52,2,0
garnett b.,-0.07,-0.48,-2.09,-0.18,-2.75,-2.83,3,0
garnett b.,0.67,0.05,0.55,0.28,0.88,1.55,4,0
bauchou z.,-1.12,-0.55,-0.36,-0.2,-1.12,-2.23,1,0
bauchou z.,1.07,0.29,1.29,0.87,2.45,3.52,2,0
bauchou z.,-1.49,0.92,3.41,-0.67,3.67,2.17,3,0
bauchou z.,-0.72,0.23,1.85,0.18,2.27,1.55,4,0
coody p.,2.05,-1.36,-2.02,-0.91,-4.29,-2.23,1,0
coody p.,-0.18,-0.57,1.47,1.8,2.7,2.52,2,0
coody p.,0.09,0.99,0.32,1.77,3.08,3.17,3,0
coody p.,2.46,-0.02,0.16,-1.05,-0.91,1.55,4,0
snedeker b.,-2.32,-0.93,2.49,-0.47,1.08,-1.24,1,0
snedeker b.,-0.67,-0.08,2.8,-0.54,2.19,1.52,2,0
snedeker b.,2.17,1.07,0.78,-2.85,-1,1.17,3,0
snedeker b.,0.22,0.88,3.22,-1.78,2.32,2.55,4,0
bhatia a.,1.54,-0.37,1.07,-0.48,0.22,1.76,1,0
bhatia a.,2.44,0.74,1.54,-0.2,2.08,4.52,2,0
bhatia a.,1.68,1.03,-1.21,-1.33,-1.51,0.17,3,0
bhatia a.,-1.91,-0.58,-0.57,0.61,-0.54,-2.45,4,0
ghim d.,0.68,-0.04,2.78,0.34,3.08,3.77,1,0
ghim d.,-0.61,-0.92,1.83,0.21,1.13,0.52,2,0
ghim d.,-0.98,2.06,-0.03,1.12,3.15,2.17,3,0
ghim d.,-1.96,-0.14,-1.04,0.68,-0.49,-2.45,4,0
nakajima k.,-1.4,0.94,0.3,-0.08,1.16,-0.23,1,0
nakajima k.,1.02,0.01,0.84,1.65,2.5,3.52,2,0
nakajima k.,1.22,-2.24,0.9,0.3,-1.04,0.17,3,0
nakajima k.,2.96,-0.05,-2,-0.36,-2.41,0.55,4,0
bezuidenhout c.,-0.35,-0.3,0.56,0.86,1.12,0.77,1,0
bezuidenhout c.,-0.15,0.48,0.59,0.6,1.67,1.52,2,0
bezuidenhout c.,1.02,2.29,0.43,0.43,3.15,4.17,3,0
bezuidenhout c.,-2.78,0.98,-2.08,0.43,-0.67,-3.45,4,0
higgo g.,0.95,-0.86,-0.78,0.46,-1.19,-0.23,1,0
higgo g.,1.82,0.04,2.63,0.02,2.69,4.52,2,0
higgo g.,0.28,-0.03,-2.84,-1.23,-4.1,-3.83,3,0
higgo g.,1.91,0.9,0.36,-0.63,0.64,2.55,4,0
griffin l.,0.71,-0.28,-1.6,-1.07,-2.94,-2.23,1,0
griffin l.,1.03,2.63,-0.19,-0.95,1.49,2.52,2,0
griffin l.,2.37,-0.55,-1.43,-1.23,-3.2,-0.83,3,0
griffin l.,1.31,0.11,1.85,0.28,2.23,3.55,4,0
bradley k.,2.45,-0.38,0.36,1.33,1.31,3.77,1,0
bradley k.,0.5,0.74,0.6,-1.32,0.02,0.52,2,0
bradley k.,-1.13,-0.58,0.61,-0.73,-0.7,-1.83,3,0
bradley k.,0.07,-0.24,1.21,-1.49,-0.53,-0.45,4,0
poston j.,-1.81,0.63,1.21,-0.27,1.57,-0.23,1,0
poston j.,0.66,0.35,1.06,0.45,1.86,2.52,2,0
poston j.,1.25,-1.1,-1.91,-0.07,-3.07,-1.83,3,0
poston j.,1.33,-0.88,1.05,0.04,0.22,1.55,4,0
thompson d.,-1.66,-0.39,0.96,0.85,1.42,-0.23,1,0
thompson d.,0.63,2.39,-0.72,0.21,1.89,2.52,2,0
thompson d.,1.16,-0.11,-0.41,0.53,0.01,1.17,3,0
thompson d.,-0.79,2.14,-1.01,-1.78,-0.66,-1.45,4,0
yu k.,0.74,-0.19,2.33,0.88,3.02,3.77,1,0
yu k.,-1.35,0.32,0.53,0.03,0.87,-0.48,2,0
yu k.,-0.3,1.56,-2.38,0.29,-0.53,-0.83,3,0
yu k.,0.05,-0.52,0.36,-0.35,-0.5,-0.45,4,0
hodges l.,3.66,0.4,1.44,-0.72,1.11,4.76,1,0
hodges l.,1.92,-2.66,-0.67,-0.07,-3.4,-1.48,2,0
hodges l.,1.56,-0.34,0.03,-0.08,-0.38,1.17,3,0
hodges l.,0.38,0.79,-4.36,0.74,-2.83,-2.45,4,0
mcgreevy m.,0.05,0.65,0.33,0.73,1.72,1.76,1,0
mcgreevy m.,-0.97,0.2,1.51,-1.22,0.49,-0.48,2,0
mcgreevy m.,-2.37,1.09,2.24,0.21,3.54,1.17,3,0
mcgreevy m.,-1.68,0.58,0.57,0.07,1.23,-0.45,4,0
keefer j.,0.17,-1.03,-2.91,1.54,-2.4,-2.23,1,0
keefer j.,1,-1.14,2.25,0.41,1.52,2.52,2,0
keefer j.,1.42,-0.75,3.59,-0.08,2.76,4.17,3,0
keefer j.,-2.27,-1.12,-0.49,1.43,-0.18,-2.45,4,0
streelman k.,-1.06,-1.34,2.02,1.15,1.82,0.77,1,0
streelman k.,-1.38,2.31,0.98,-1.39,1.9,0.52,2,0
streelman k.,-0.67,-0.71,-2.45,1.01,-2.16,-2.83,3,0
streelman k.,-0.41,0.58,2.39,-0.01,2.96,2.55,4,0
macintyre r.,2.17,1.07,-1.39,-1.09,-1.41,0.77,1,0
macintyre r.,1.65,0.24,-1.15,0.78,-0.14,1.52,2,0
macintyre r.,0.19,-0.16,0.12,1.02,0.98,1.17,3,0
macintyre r.,-2.01,-1.54,1.03,0.06,-0.44,-2.45,4,0
horschel b.,1.88,-0.58,1.6,0.87,1.89,3.77,1,0
horschel b.,-2.06,0.94,-0.85,0.48,0.58,-1.48,2,0
horschel b.,-1.19,1.67,0.96,-0.26,2.37,1.17,3,0
horschel b.,-1.17,-1.4,-0.12,0.24,-1.28,-2.45,4,0
grillo e.,-1.16,-0.86,1.26,-0.47,-0.07,-1.24,1,0
grillo e.,0.26,0.24,1.92,1.09,3.26,3.52,2,0
grillo e.,-0.39,0.18,-1,-0.62,-1.44,-1.83,3,0
grillo e.,-0.9,1.56,-1.29,1.19,1.45,0.55,4,0
stevens s.,0.51,0.88,0.85,-1.48,0.25,0.77,1,0
stevens s.,-0.06,-1.81,1.53,-0.14,-0.42,-0.48,2,0
stevens s.,0.69,0.4,1.34,-0.26,1.48,2.17,3,0
stevens s.,-4.02,0.42,1.29,0.86,2.57,-1.45,4,0
dahmen j.,-0.98,0.37,-0.67,1.04,0.75,-0.23,1,0
dahmen j.,2.59,1.47,0.18,-0.71,0.93,3.52,2,0
dahmen j.,-3,-1.43,-0.28,0.88,-0.82,-3.83,3,0
dahmen j.,-2.08,1.94,1.81,-0.13,3.63,1.55,4,0
smotherman a.,-2.37,-0.27,2.62,0.78,3.13,0.77,1,0
smotherman a.,0.26,0.09,2.1,-0.92,1.26,1.52,2,0
smotherman a.,0.37,-0.8,0.96,-0.36,-0.2,0.17,3,0
smotherman a.,-0.81,-1.56,0.69,0.22,-0.65,-1.45,4,0
kang j.,-0.26,0.53,1.54,-1.04,1.03,0.77,1,0
kang j.,-0.27,-0.09,0.71,0.16,0.78,0.52,2,0
kang j.,0.52,0.01,0.12,-0.47,-0.35,0.17,3,0
kang j.,-0.6,1.25,-1.17,0.07,0.15,-0.45,4,0
blanchet c.,1.14,-1.84,0.81,0.65,-0.38,0.77,1,0
blanchet c.,-1.53,0.33,2.18,0.54,3.04,1.52,2,0
blanchet c.,0.51,0.86,1.47,-0.67,1.67,2.17,3,0
blanchet c.,-0.94,-0.12,-2.17,-0.23,-2.52,-3.45,4,0
saddier a.,-0.48,0.4,0.11,-0.26,0.25,-0.23,1,0
saddier a.,0.89,-0.12,0.61,1.14,1.63,2.52,2,0
saddier a.,0.28,1.12,-0.6,-1.63,-1.11,-0.83,3,0
saddier a.,0.85,-0.83,-0.61,0.14,-1.3,-0.45,4,0
castillo r.,-0.18,-0.32,4.27,0,3.95,3.77,1,0
castillo r.,-0.96,0.53,0.35,0.59,1.48,0.52,2,0
castillo r.,-0.9,-0.64,-0.72,-0.57,-1.93,-2.83,3,0
castillo r.,-1.03,0.34,0.51,-0.28,0.58,-0.45,4,0
neergaard-petersen r.,1.59,0.02,1.77,0.38,2.17,3.77,1,0
neergaard-petersen r.,2.94,-1.01,-1.58,0.17,-2.42,0.52,2,0
neergaard-petersen r.,-0.83,-0.09,-0.4,-0.51,-0.99,-1.83,3,0
neergaard-petersen r.,-2.02,0.17,-1.25,1.65,0.57,-1.45,4,0
power s.,-1.8,0.65,0.05,0.87,1.56,-0.23,1,0
power s.,0.82,-0.09,-0.04,-0.17,-0.31,0.52,2,0
power s.,-0.01,-0.47,-0.96,-1.38,-2.81,-2.83,3,0
power s.,0.23,-0.06,1.82,0.56,2.31,2.55,4,0
kim t.,3.26,-0.34,1.67,0.18,1.5,4.76,1,0
kim t.,-2.04,-0.55,0.29,-0.18,-0.44,-2.48,2,0
kim t.,0.13,0.84,0.45,-0.25,1.04,1.17,3,0
kim t.,-0.58,-1.19,-1.04,-0.64,-2.87,-3.45,4,0
novak a.,-0.69,0.54,0.09,-0.18,0.46,-0.23,1,0
novak a.,1.88,0.04,2.09,0.5,2.64,4.52,2,0
novak a.,-2.73,0.37,0.7,-0.16,0.9,-1.83,3,0
novak a.,-2.56,-0.97,1.29,-0.21,0.11,-2.45,4,0
kanaya t.,-0.82,0.96,-0.68,0.3,0.58,-0.23,1,0
kanaya t.,0.32,0.59,0.31,-0.7,0.19,0.52,2,0
kanaya t.,-2.36,-0.3,0.31,0.53,0.53,-1.83,3,0
kanaya t.,0.84,1.59,-0.58,-0.3,0.71,1.55,4,0
clanton l.,2.42,0.28,0.31,0.75,1.34,3.77,1,0
clanton l.,0.64,0.15,-0.31,-0.96,-1.12,-0.48,2,0
clanton l.,-3.25,-1.34,-1.88,0.64,-2.58,-5.83,3,0
clanton l.,2.73,0.27,-0.16,-0.29,-0.18,2.55,4,0
fishburn p.,-0.12,1.46,-1.39,-1.19,-1.12,-1.24,1,0
fishburn p.,0.3,-0.93,1.27,0.87,1.22,1.52,2,0
fishburn p.,0.31,-0.56,-0.63,1.05,-0.14,0.17,3,0
fishburn p.,-2.85,-1.84,2.96,1.27,2.4,-0.45,4,0
dunlap n.,-1,-0.13,-0.6,0.5,-0.23,-1.24,1,0
dunlap n.,0.86,1.46,1.54,-1.34,1.66,2.52,2,0
dunlap n.,-1.21,2.44,-2.5,-0.55,-0.62,-1.83,3,0
dunlap n.,-1.71,0.56,2.92,-2.22,1.25,-0.45,4,0
rodgers p.,0.53,0,-0.42,-0.34,-0.76,-0.23,1,0
rodgers p.,2.9,-0.29,-2.83,0.75,-2.38,0.52,2,0
rodgers p.,0.56,-0.68,-1.31,-0.4,-2.38,-1.83,3,0
rodgers p.,1.27,-0.05,-2.05,1.39,-0.72,0.55,4,0
theegala s.,0.97,0.92,-1.56,1.44,0.8,1.76,1,0
theegala s.,-0.79,-0.24,1,-0.45,0.3,-0.48,2,0
theegala s.,-0.18,-1.19,0.28,1.27,0.36,0.17,3,0
theegala s.,-0.9,-0.8,-1.86,1.11,-1.55,-2.45,4,0
hubbard m.,0.62,0.07,-0.27,0.34,0.14,0.77,1,0
hubbard m.,-2.13,0.42,2.22,0.01,2.65,0.52,2,0
hubbard m.,1.27,-0.4,-2.73,-0.97,-4.1,-2.83,3,0
hubbard m.,-0.47,0.22,0.22,0.58,1.02,0.55,4,0
moore t.,-1.51,1.55,-0.92,0.64,1.27,-0.23,1,0
moore t.,0.42,-0.23,0.88,0.44,1.09,1.52,2,0
moore t.,-0.62,-0.28,0.05,1.02,0.79,0.17,3,0
moore t.,-0.13,-0.14,-1.97,-0.22,-2.33,-2.45,4,0
mccarty m.,2.26,0.24,1.52,0.74,2.5,4.76,1,0
mccarty m.,0.16,0.06,-0.06,-1.64,-1.64,-1.48,2,0
mccarty m.,-2.27,-0.04,-2.07,0.55,-1.56,-3.83,3,0
mccarty m.,-1.27,-2.02,2.46,0.38,0.82,-0.45,4,0
hisatsune r.,-0.51,0.56,2.54,0.17,3.27,2.77,1,0
hisatsune r.,0.04,0.52,0.51,0.45,1.48,1.52,2,0
hisatsune r.,-1.83,-2.86,-3.17,0.03,-6,-7.83,3,0
hisatsune r.,-0.87,0.58,0.54,1.3,2.42,1.55,4,0
eckroat a.,-0.7,-1.02,1.4,1.09,1.47,0.77,1,0
eckroat a.,2.63,-1.17,0.4,-1.34,-2.11,0.52,2,0
eckroat a.,1.96,-1.93,2.27,-1.12,-0.79,1.17,3,0
eckroat a.,-2.63,1.1,-1.76,-2.16,-2.82,-5.45,4,0
olesen t.,-0.68,0.1,0.21,0.14,0.45,-0.23,1,0
olesen t.,0.8,0.04,1.54,0.14,1.72,2.52,2,0
olesen t.,-4.05,-3.12,-1.28,-0.38,-4.78,-8.83,3,0
olesen t.,2.84,0.53,0.95,-0.78,0.7,3.55,4,0
suber j.,1.86,-0.56,-1.23,-0.31,-2.1,-0.23,1,0
suber j.,-1.06,-0.17,1.79,-0.03,1.58,0.52,2,0
suber j.,-0.73,0.18,1.5,0.22,1.9,1.17,3,0
suber j.,-1.56,-1.45,-2.08,0.63,-2.89,-4.45,4,0
van e.,4.66,-1.39,0.02,0.48,-0.89,3.77,1,0
van e.,1.24,-0.56,-2.38,-0.78,-3.72,-2.48,2,0
van e.,-0.69,1.48,-0.5,-3.12,-2.14,-2.83,3,0
van e.,-1.71,-0.67,0.47,-0.54,-0.74,-2.45,4,0
hoge t.,-1.33,-0.76,2.77,0.09,2.09,0.77,1,0
hoge t.,1.56,-1.46,1.23,1.19,0.96,2.52,2,0
hoge t.,-2.54,-1.37,-2.98,-0.93,-5.29,-7.83,3,0
hoge t.,0.8,-0.22,-1.2,0.17,-1.25,-0.45,4,0
riley d.,2.59,0.26,3.57,-3.66,0.17,2.77,1,0
riley d.,-0.39,1.51,-2,-0.6,-1.09,-1.48,2,0
riley d.,0.9,-2.38,0.38,-0.73,-2.73,-1.83,3,0
riley d.,1.13,-2.03,-2.29,-1.26,-5.58,-4.45,4,0
glover l.,-1.65,0.08,-0.34,0.68,0.41,-1.24,1,0
glover l.,-1.22,0.87,1.67,0.2,2.74,1.52,2,0
glover l.,-1.56,0.06,-1.42,-0.9,-2.26,-3.83,3,0
glover l.,-1.02,-0.25,0.36,-0.55,-0.44,-1.45,4,0
schenk a.,2.56,0.07,0.08,0.05,0.21,2.77,1,0
schenk a.,-0.53,0.39,-1.14,-0.19,-0.95,-1.48,2,0
schenk a.,2.34,0.18,-1.9,0.56,-1.17,1.17,3,0
schenk a.,-1.79,-1.97,-1.79,-2.9,-6.67,-8.45,4,0
roy k.,0.86,0.66,-0.53,0.78,0.9,1.76,1,0
roy k.,0.02,0.88,-0.67,-0.71,-0.51,-0.48,2,0
roy k.,0.24,1.62,-2.3,-1.39,-2.06,-1.83,3,0
roy k.,-2.35,-1.32,-0.14,-1.63,-3.1,-5.45,4,0
pavon m.,-1.92,-0.2,-0.63,0.51,-0.32,-2.23,1,0
pavon m.,-0.35,-0.47,1.78,0.56,1.87,1.52,2,0
pavon m.,0,0,0,0,0,0,3,0
pavon m.,0,0,0,0,0,0,4,0
ramey c.,0.99,1.65,-1.69,-1.19,-1.23,-0.23,1,0
ramey c.,0.3,0.4,-1.41,0.22,-0.78,-0.48,2,0
ramey c.,0,0,0,0,0,0,3,0
ramey c.,0,0,0,0,0,0,4,0
blair z.,-0.96,-0.82,-0.47,0.02,-1.27,-2.23,1,0
blair z.,-0.15,0.22,1.46,-0.01,1.66,1.52,2,0
blair z.,0,0,0,0,0,0,3,0
blair z.,0,0,0,0,0,0,4,0
yellamaraju s.,1.08,0.03,-3.45,0.1,-3.32,-2.23,1,0
yellamaraju s.,0.15,-0.01,0.17,1.21,1.37,1.52,2,0
yellamaraju s.,0,0,0,0,0,0,3,0
yellamaraju s.,0,0,0,0,0,0,4,0
vanderlaan j.,-0.23,0.15,0.04,0.81,1,0.77,1,0
vanderlaan j.,0.42,-1.14,-0.6,-0.17,-1.91,-1.48,2,0
vanderlaan j.,0,0,0,0,0,0,3,0
vanderlaan j.,0,0,0,0,0,0,4,0
mouw w.,-0.6,-1.24,0.06,-0.46,-1.64,-2.23,1,0
mouw w.,0.56,0.43,0.06,0.46,0.96,1.52,2,0
mouw w.,0,0,0,0,0,0,3,0
mouw w.,0,0,0,0,0,0,4,0
rozo m.,-2.8,-0.55,1.77,0.34,1.56,-1.24,1,0
rozo m.,0.29,1.25,-1.04,0.03,0.23,0.52,2,0
rozo m.,0,0,0,0,0,0,3,0
rozo m.,0,0,0,0,0,0,4,0
ventura k.,0.88,0.2,-1.11,-0.2,-1.11,-0.23,1,0
ventura k.,0.28,-0.5,-0.29,0.03,-0.77,-0.48,2,0
ventura k.,0,0,0,0,0,0,3,0
ventura k.,0,0,0,0,0,0,4,0
villegas c.,0.05,-0.08,-0.76,0.55,-0.29,-0.23,1,0
villegas c.,0.71,0.89,-1.3,-1.79,-2.2,-1.48,2,0
