Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Rounds,Scrambling
wyndham clark,2.87,-0.85,-0.29,1.21,0.08,2.95,1,0
wyndham clark,2.08,0.08,2.3,0.7,3.08,5.16,2,0
wyndham clark,3.23,-0.53,0.2,0.78,0.46,3.69,3,0
wyndham clark,4.39,0.28,2.34,1.4,4.02,8.41,4,0
si woo kim,1.89,0.77,0.75,1.55,3.06,4.95,1,0
si woo kim,3.49,1.36,2.25,1.05,4.67,8.16,2,0
si woo kim,0.18,0.57,-0.33,0.26,0.51,0.69,3,0
si woo kim,2.59,1.15,-1.43,1.1,0.82,3.41,4,0
scottie scheffler,1.24,-0.34,1.47,0.58,1.71,2.95,1,0
scottie scheffler,1.94,0.07,2.58,0.57,3.22,5.16,2,0
scottie scheffler,1.24,0.54,1.19,0.72,2.45,3.69,3,0
scottie scheffler,0.84,0.77,0.68,1.13,2.58,3.41,4,0
jackson suber,-0.46,-0.15,1.53,0.03,1.42,0.95,1,0
jackson suber,2.94,0.78,2.25,1.19,4.22,7.16,2,0
jackson suber,-1.45,-1.05,2.93,-0.74,1.14,-0.31,3,0
jackson suber,1.04,1.89,1.46,1.02,4.38,5.41,4,0
keith mitchell,1.49,0.95,1.47,1.04,3.46,4.95,1,0
keith mitchell,-0.67,1.32,0.3,1.21,2.83,2.16,2,0
keith mitchell,-0.69,2.02,-2.31,1.67,1.37,0.69,3,0
keith mitchell,0.36,-1.01,2.6,2.46,4.05,4.41,4,0
tom hoge,0.04,-0.43,0.63,0.71,0.91,0.95,1,0
tom hoge,1.42,0.86,3.2,0.67,4.73,6.16,2,0
tom hoge,2.82,-1.24,1.81,-0.7,-0.13,2.69,3,0
tom hoge,-0.09,-0.43,1.61,-0.67,0.51,0.41,4,0
tony finau,-0.34,0.92,-0.11,1.48,2.29,1.95,1,0
tony finau,0.43,1.36,1.96,1.41,4.73,5.16,2,0
tony finau,-1.04,-0.18,0.27,0.63,0.72,-0.31,3,0
tony finau,0.75,0.47,1.18,1.02,2.67,3.41,4,0
zach bauchou,0.41,1.53,-0.98,0.99,1.54,1.95,1,0
zach bauchou,-0.11,0.54,2.99,0.73,4.26,4.16,2,0
zach bauchou,1.83,0.04,-0.12,0.93,0.86,2.69,3,0
zach bauchou,0.19,0.08,0.25,0.89,1.22,1.41,4,0
sungjae im,2.56,-0.34,0.16,-1.43,-1.61,0.95,1,0
sungjae im,1.98,0.94,2.98,1.25,5.18,7.16,2,0
sungjae im,0.77,1.74,-0.62,-0.21,0.91,1.69,3,0
sungjae im,0.02,1.49,-3.17,1.08,-0.6,-0.59,4,0
max greyserman,-1.64,-1.41,1.51,-0.51,-0.4,-2.05,1,0
max greyserman,-0.21,0.88,3.34,2.15,6.37,6.16,2,0
max greyserman,0.78,-0.01,2.03,0.89,2.91,3.69,3,0
max greyserman,-1.45,-1.32,4.32,-0.13,2.87,1.41,4,0
stephan jaeger,0.64,0.22,1.63,2.47,4.32,4.95,1,0
stephan jaeger,2.07,0.26,0.28,-2.45,-1.91,0.16,2,0
stephan jaeger,1.15,1.59,2.13,-0.2,3.53,4.69,3,0
stephan jaeger,-2.29,-0.02,1.69,0.04,1.7,-0.59,4,0
jesper svensson,2.93,0.49,1.1,1.42,3.02,5.95,1,0
jesper svensson,-0.72,-0.12,-2.32,-0.69,-3.13,-3.84,2,0
jesper svensson,0.49,3.72,-1.51,0.98,3.19,3.69,3,0
jesper svensson,0.95,0.51,-0.17,2.12,2.46,3.41,4,0
john keefer,0.99,0.27,0.93,0.77,1.96,2.95,1,0
john keefer,-0.63,-0.6,0.53,-0.14,-0.21,-0.84,2,0
john keefer,0.67,-0.58,0.83,0.77,1.02,1.69,3,0
john keefer,1.91,-2.26,4.68,1.09,3.5,5.41,4,0
brooks koepka,2.56,1.3,2.68,-0.59,3.39,5.95,1,0
brooks koepka,-2.42,0.32,-0.25,1.52,1.58,-0.84,2,0
brooks koepka,1.53,-0.71,1.42,0.46,1.16,2.69,3,0
brooks koepka,-0.23,0.56,-1.17,1.25,0.64,0.41,4,0
taylor moore,2.66,0.86,2.65,0.78,4.29,6.95,1,0
