Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Rounds,Scrambling
nicolas echavarria,3.44,1.17,2.68,1.01,4.86,8.3,1,1.0
nicolas echavarria,-2.51,1.1,0.65,-0.06,1.69,-0.82,2,0.625
nicolas echavarria,1.15,0.52,1.28,-0.12,1.68,2.84,3,1.0
nicolas echavarria,2.19,-0.13,1.37,0.29,1.53,3.72,4,1.0
shane lowry,-2.34,-0.43,4.13,-0.06,3.64,1.3,1,0.25
shane lowry,1.54,1.46,-0.48,1.67,2.64,4.18,2,0.7143
shane lowry,3.02,0.16,1.89,0.76,2.81,5.84,3,1.0
shane lowry,2.84,0.31,-0.79,-1.64,-2.12,0.72,4,0.6667
taylor moore,0.62,4.12,-0.14,-0.3,3.68,4.3,1,0.875
taylor moore,1.08,0.82,1.67,0.61,3.1,4.18,2,0.7143
taylor moore,0.21,1.16,0.64,-0.18,1.62,1.84,3,0.8
taylor moore,2.37,0.24,-1.25,0.35,-0.66,1.72,4,0.5
austin smotherman,3.05,1.17,3.93,1.16,6.25,9.3,1,1.0
austin smotherman,1.84,-0.32,-0.14,0.81,0.34,2.18,2,0.6
austin smotherman,-1.4,-0.87,1.05,1.06,1.23,-0.16,3,0.5
austin smotherman,-0.93,1.28,0.19,0.17,1.65,0.72,4,0.8
ricky castillo,1.73,0.1,-0.38,0.86,0.57,2.3,1,0.7143
ricky castillo,0.04,-0.26,1.16,0.24,1.14,1.18,2,0.3333
ricky castillo,1.82,1.31,0.53,1.19,3.02,4.84,3,0.8
ricky castillo,-1.63,0.23,2.78,0.34,3.35,1.72,4,0.75
keith mitchell,-0.06,-0.63,3.68,0.31,3.36,3.3,1,0.6667
keith mitchell,-1.57,-0.85,-0.39,0.99,-0.25,-1.82,2,0.25
keith mitchell,2.48,1.19,1.46,-0.3,2.35,4.84,3,1.0
keith mitchell,1.14,-0.38,-0.31,1.27,0.58,1.72,4,0.8
nicolai hojgaard,-3.2,1.1,3.11,0.29,4.5,1.3,1,0.75
nicolai hojgaard,0.14,-1.05,0.61,-0.52,-0.96,-0.82,2,57.14
nicolai hojgaard,3.51,0.55,-1.45,0.22,-0.68,2.84,3,0.6667
nicolai hojgaard,0.58,0.31,2.42,1.41,4.14,4.72,4,0.6667
william mouw,2.24,0.33,-0.65,1.38,1.06,3.3,1,1.0
william mouw,-0.47,-0.72,0.82,1.56,1.66,1.18,2,0.5
william mouw,0.73,0.13,-0.26,0.23,0.1,0.84,3,0.75
william mouw,1.63,-0.28,0.49,0.87,1.08,2.72,4,0.6667
brooks koepka,-2.17,-2.3,1.08,0.68,-0.54,-2.7,1,0.0
brooks koepka,3.94,-0.19,1.6,-0.17,1.24,5.18,2,0.75
brooks koepka,1.16,-0.35,-1.44,0.45,-1.33,-0.16,3,0.6
brooks koepka,-0.2,2.27,1.68,0.97,4.92,4.72,4,0.75
matti schmid,-0.57,0.02,1.4,1.46,2.88,2.3,1,0.6
matti schmid,1.59,-0.48,1.43,-1.36,-0.41,1.18,2,0.4
matti schmid,-0.61,0.43,1.04,0.97,2.44,1.84,3,0.6667
matti schmid,1.27,0.15,-0.55,0.84,0.45,1.72,4,0.8
joel dahmen,-0.53,0.76,2.11,0.96,3.83,3.3,1,0.8
joel dahmen,-0.52,-0.02,2.46,1.27,3.7,3.18,2,0.3333
joel dahmen,1.49,-1.3,-0.07,0.71,-0.66,0.84,3,0.8333
joel dahmen,-1.06,-0.99,0.96,0.81,0.78,-0.28,4,1.0
rasmus hojgaard,1.23,0.05,0.64,0.39,1.07,2.3,1,0.6667
rasmus hojgaard,-1.87,0.05,2.36,-1.36,1.05,-0.82,2,0.5
rasmus hojgaard,1.67,0.29,-0.29,1.16,1.17,2.84,3,0.6667
rasmus hojgaard,1.89,-0.67,2.75,-1.25,0.83,2.72,4,0.5714
max homa,-1.03,-1.03,-0.94,1.3,-0.67,-1.7,1,0.2857
max homa,1.05,1.26,3.42,-0.55,4.13,5.18,2,1.0
max homa,1.08,-1.27,-0.96,0.98,-1.25,-0.16,3,0.2857
max homa,0.5,2.09,-0.69,0.82,2.21,2.72,4,0.8333
patton kizzire,-0.24,0.27,1.82,-0.54,1.54,1.3,1,0.6
patton kizzire,0.55,1.24,-1.62,-0.99,-1.37,-0.82,2,0.6364
patton kizzire,0.31,0.27,4.08,1.18,5.53,5.84,3,1.0
patton kizzire,-0.12,0.5,0.77,-1.44,-0.17,-0.28,4,0.8
a.j. ewart,-0.84,0.08,0.86,0.2,1.14,0.3,1,0.8
a.j. ewart,3.9,-0.45,3.99,-0.27,3.28,7.18,2,0.75
a.j. ewart,2.95,-0.22,-1.22,-0.68,-2.11,0.84,3,0.6
a.j. ewart,-0.92,-0.62,-0.52,-0.23,-1.37,-2.28,4,0.5
pontus nyholm,3.63,0.16,-0.76,1.26,0.67,4.3,1,0.8
pontus nyholm,-0.94,-0.15,1.91,0.36,2.12,1.18,2,0.3333
pontus nyholm,-0.27,0.03,-1.77,-1.16,-2.9,-3.16,3,0.375
pontus nyholm,1.73,-0.86,2.65,0.19,1.98,3.72,4,0.8333
matthieu pavon,1.96,-1.27,-1.29,0.9,-1.66,0.3,1,0.6
