Position,Name + ID,Player,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Scottie Scheffler (42074361),Scottie Scheffler,42074361,G,13500,The Genesis Invitational,Golf,133.33
G,Rory McIlroy (42074362),Rory McIlroy,42074362,G,11700,The Genesis Invitational,Golf,88.5
G,Tommy Fleetwood (42074363),Tommy Fleetwood,42074363,G,10500,The Genesis Invitational,Golf,82.17
G,Xander Schauffele (42074364),Xander Schauffele,42074364,G,10000,The Genesis Invitational,Golf,67.83
G,Hideki Matsuyama (42074365),Hideki Matsuyama,42074365,G,9700,The Genesis Invitational,Golf,96.12
G,Collin Morikawa (42074366),Collin Morikawa,42074366,G,9600,The Genesis Invitational,Golf,75.67
G,Matt Fitzpatrick (42074367),Matt Fitzpatrick,42074367,G,9400,The Genesis Invitational,Golf,96
G,Si Woo Kim (42074368),Si Woo Kim,42074368,G,9300,The Genesis Invitational,Golf,103.58
G,Jake Knapp (42074369),Jake Knapp,42074369,G,9100,The Genesis Invitational,Golf,100.38
G,Min Woo Lee (42074370),Min Woo Lee,42074370,G,9000,The Genesis Invitational,Golf,97
G,Patrick Cantlay (42074371),Patrick Cantlay,42074371,G,8900,The Genesis Invitational,Golf,83.33
G,Cameron Young (42074372),Cameron Young,42074372,G,8800,The Genesis Invitational,Golf,76.83
G,Jacob Bridgeman (42074373),Jacob Bridgeman,42074373,G,8700,The Genesis Invitational,Golf,100.25
G,Viktor Hovland (42074374),Viktor Hovland,42074374,G,8600,The Genesis Invitational,Golf,77.5
G,Pierceson Coody (42074375),Pierceson Coody,42074375,G,8500,The Genesis Invitational,Golf,95.6
G,Adam Scott (42074376),Adam Scott,42074376,G,8400,The Genesis Invitational,Golf,86.7
G,Sepp Straka (42074377),Sepp Straka,42074377,G,8300,The Genesis Invitational,Golf,92.67
G,Akshay Bhatia (42074378),Akshay Bhatia,42074378,G,8200,The Genesis Invitational,Golf,80.5
G,Ben Griffin (42074379),Ben Griffin,42074379,G,8100,The Genesis Invitational,Golf,85.62
G,Ludvig Aberg (42074380),Ludvig Aberg,42074380,G,8000,The Genesis Invitational,Golf,56
G,Kurt Kitayama (42074381),Kurt Kitayama,42074381,G,7900,The Genesis Invitational,Golf,70.88
G,Robert MacIntyre (42074382),Robert MacIntyre,42074382,G,7800,The Genesis Invitational,Golf,96.17
G,Rickie Fowler (42074383),Rickie Fowler,42074383,G,7700,The Genesis Invitational,Golf,97.67
G,Harris English (42074384),Harris English,42074384,G,7600,The Genesis Invitational,Golf,88.38
G,Shane Lowry (42074385),Shane Lowry,42074385,G,7500,The Genesis Invitational,Golf,89.5
G,Jordan Spieth (42074386),Jordan Spieth,42074386,G,7400,The Genesis Invitational,Golf,68
G,Marco Penge (42074387),Marco Penge,42074387,G,7300,The Genesis Invitational,Golf,51.1
G,Wyndham Clark (42074388),Wyndham Clark,42074388,G,7200,The Genesis Invitational,Golf,80.75
G,Max Greyserman (42074389),Max Greyserman,42074389,G,7100,The Genesis Invitational,Golf,58.25
G,Ryan Gerard (42074390),Ryan Gerard,42074390,G,7000,The Genesis Invitational,Golf,107
G,Max Homa (42074391),Max Homa,42074391,G,7000,The Genesis Invitational,Golf,59.83
G,Ryo Hisatsune (42074392),Ryo Hisatsune,42074392,G,6900,The Genesis Invitational,Golf,83.58
G,Sahith Theegala (42074393),Sahith Theegala,42074393,G,6900,The Genesis Invitational,Golf,89.3
G,Ryan Fox (42074394),Ryan Fox,42074394,G,6800,The Genesis Invitational,Golf,73.58
G,Taylor Pendrith (42074395),Taylor Pendrith,42074395,G,6800,The Genesis Invitational,Golf,71
G,Nick Taylor (42074396),Nick Taylor,42074396,G,6700,The Genesis Invitational,Golf,83.3
G,Aldrich Potgieter (42074397),Aldrich Potgieter,42074397,G,6700,The Genesis Invitational,Golf,56.17
G,Aaron Rai (42074398),Aaron Rai,42074398,G,6600,The Genesis Invitational,Golf,60.25
G,Matthew McCarty (42074399),Matthew McCarty,42074399,G,6600,The Genesis Invitational,Golf,74.83
G,Alex Noren (42074400),Alex Noren,42074400,G,6500,The Genesis Invitational,Golf,57.33
G,Corey Conners (42074401),Corey Conners,42074401,G,6500,The Genesis Invitational,Golf,54.83
G,Jhonattan Vegas (42074402),Jhonattan Vegas,42074402,G,6400,The Genesis Invitational,Golf,36
G,Sam Stevens (42074403),Sam Stevens,42074403,G,6400,The Genesis Invitational,Golf,83.2
G,Patrick Rodgers (42074404),Patrick Rodgers,42074404,G,6300,The Genesis Invitational,Golf,88.4
G,Tony Finau (42074405),Tony Finau,42074405,G,6300,The Genesis Invitational,Golf,60.4
G,Sami Valimaki (42074406),Sami Valimaki,42074406,G,6200,The Genesis Invitational,Golf,60.12
G,Andrew Novak (42074407),Andrew Novak,42074407,G,6200,The Genesis Invitational,Golf,68.88
G,Denny McCarthy (42074408),Denny McCarthy,42074408,G,6100,The Genesis Invitational,Golf,74.62
G,Tom Kim (42074409),Tom Kim,42074409,G,6100,The Genesis Invitational,Golf,68.5
G,Brian Harman (42074410),Brian Harman,42074410,G,6000,The Genesis Invitational,Golf,61.62
G,Matti Schmid (42074411),Matti Schmid,42074411,G,6000,The Genesis Invitational,Golf,49
