Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Rounds,Scrambling
jacob bridgeman,3.85,-1.49,2.16,0.37,1.04,4.89,1,0.6667
jacob bridgeman,3.65,2.61,-1.01,0.19,1.79,5.43,2,0.6667
jacob bridgeman,1.23,-0.82,6.01,-0.55,4.63,5.86,3,0.7778
jacob bridgeman,-1.42,-2.01,-1.17,1.03,-2.15,-3.57,4,0.0
rory mcilroy,1.81,0.49,1.67,0.92,3.08,4.89,1,0.8
rory mcilroy,2.89,-0.5,1.16,0.89,1.54,4.43,2,1.0
rory mcilroy,-1.28,-0.68,1.75,1.08,2.15,0.86,3,0.5
rory mcilroy,-1.88,2.62,0.32,0.38,3.32,1.43,4,1.0
kurt kitayama,-1.91,0.71,0.4,0.69,1.8,-0.11,1,0.8571
kurt kitayama,1.78,-0.89,2.91,1.62,3.65,5.43,2,1.0
kurt kitayama,1.58,-0.54,0.71,0.12,0.28,1.86,3,0.7143
kurt kitayama,1.66,-0.13,1.34,1.55,2.77,4.43,4,0.6667
adam scott,-0.16,0.19,-0.2,1.06,1.05,0.89,1,0.4
adam scott,2.97,0.95,1.58,0.92,3.46,6.43,2,0.8333
adam scott,-2.66,-0.53,0.47,0.58,0.52,-2.14,3,0.25
adam scott,4.48,-0.01,0.8,0.16,0.96,5.43,4,1.0
aldrich potgieter,3.29,-0.61,-0.99,1.21,-0.4,2.89,1,0.6667
aldrich potgieter,-0.72,-0.15,1.53,0.77,2.15,1.43,2,1.0
aldrich potgieter,3.91,-1.08,1.47,0.57,0.95,4.86,3,0.5
aldrich potgieter,-1.56,0.12,0.45,1.43,2.0,0.43,4,0.5
jake knapp,0.6,-1.03,0.38,-2.06,-2.71,-2.11,1,0.5714
jake knapp,2.95,0.22,0.94,0.32,1.49,4.43,2,0.6667
jake knapp,0.75,-0.5,2.23,0.38,2.11,2.86,3,0.75
jake knapp,0.81,0.45,0.18,0.99,1.63,2.43,4,0.75
tommy fleetwood,0.07,0.63,0.76,0.43,1.82,1.89,1,0.75
tommy fleetwood,0.74,0.69,0.22,1.78,2.69,3.43,2,1.0
tommy fleetwood,-0.71,2.91,-2.69,0.35,0.57,-0.14,3,0.8333
tommy fleetwood,1.42,0.19,0.3,-0.48,0.01,1.43,4,0.4
xander schauffele,2.98,0.66,-0.85,0.09,-0.09,2.89,1,0.5714
xander schauffele,1.57,0.81,1.31,0.74,2.86,4.43,2,1.0
xander schauffele,-2.11,0.2,0.47,1.3,1.97,-0.14,3,0.6667
xander schauffele,-2.16,0.78,1.24,-0.43,1.59,-0.57,4,0.6667
cameron young,-1.01,-0.81,-0.35,1.06,-0.1,-1.11,1,0.5
cameron young,0.96,-0.03,0.11,0.39,0.47,1.43,2,0.6
cameron young,0.79,1.51,1.65,-0.08,3.08,3.86,3,0.8
cameron young,0.09,-1.29,3.03,0.6,2.34,2.43,4,0.5
collin morikawa,0.6,-0.37,2.08,0.58,2.29,2.89,1,0.5714
collin morikawa,-0.4,0.05,0.9,-0.11,0.83,0.43,2,0.6667
collin morikawa,-1.01,0.59,0.16,0.13,0.88,-0.14,3,0.3333
collin morikawa,1.97,-0.27,0.28,1.45,1.46,3.43,4,0.75
ryan fox,3.21,1.08,-0.53,0.13,0.68,3.89,1,0.75
ryan fox,-0.23,1.38,-0.76,0.03,0.66,0.43,2,0.6
ryan fox,1.28,0.57,0.07,-1.06,-0.42,0.86,3,0.5
ryan fox,-0.44,-0.43,2.22,0.09,1.88,1.43,4,0.6
alex noren,-1.33,-0.33,-0.93,-0.53,-1.78,-3.11,1,0.4444
alex noren,1.85,0.32,1.62,-0.37,1.58,3.43,2,0.75
alex noren,2.2,2.39,-0.41,-1.32,0.66,2.86,3,1.0
alex noren,1.25,0.83,0.47,-0.11,1.18,2.43,4,1.0
scottie scheffler,-1.73,-0.53,-1.21,0.36,-1.38,-3.11,1,0.4286
scottie scheffler,0.46,0.78,0.39,-0.19,0.97,1.43,2,0.6
scottie scheffler,2.56,0.48,0.28,0.54,1.3,3.86,3,0.8
scottie scheffler,2.07,0.45,-0.2,1.11,1.36,3.43,4,0.6667
jordan spieth,-0.53,1.58,-0.14,-0.02,1.42,0.89,1,0.8333
jordan spieth,2.85,-0.3,1.54,-1.65,-0.42,2.43,2,0.6667
jordan spieth,0.73,0.63,-2.12,0.62,-0.86,-0.14,3,0.75
jordan spieth,3.11,-0.17,0.91,-1.42,-0.68,2.43,4,1.0
min woo lee,0.86,1.49,-1.84,1.38,1.02,1.89,1,0.875
min woo lee,2.97,0.73,-0.36,1.09,1.46,4.43,2,0.6
min woo lee,-0.83,0.06,-4.21,0.84,-3.31,-4.14,3,0.5
min woo lee,0.05,0.96,0.42,2,3.38,3.43,4,0.75
akshay bhatia,2.39,-1.04,0.91,0.63,0.5,2.89,1,0.5
akshay bhatia,-0.4,-0.64,-1.22,0.69,-1.17,-1.57,2,0.625
akshay bhatia,0.28,1.08,1.54,-0.04,2.58,2.86,3,0.75
akshay bhatia,0.08,-0.21,1.61,-1.05,0.35,0.43,4,0.7143
sam stevens,-0.13,-1.06,-1.68,-0.24,-2.98,-3.11,1,0.5556
sam stevens,0.18,0.43,0.49,0.32,1.25,1.43,2,0.75
sam stevens,1.96,0.22,0.69,-0.01,0.9,2.86,3,0.75
sam stevens,1.79,-0.19,1.42,0.4,1.64,3.43,4,1.0
pierceson coody,-0.1,1.01,2.58,-0.6,2.99,2.89,1,0.75
pierceson coody,-0.98,-0.91,0.11,0.21,-0.59,-1.57,2,0.7143
pierceson coody,1.16,-0.21,0.08,0.83,0.71,1.86,3,0.8
pierceson coody,0.7,0.46,-0.27,0.54,0.73,1.43,4,0.8333
marco penge,3.13,0.09,0.16,1.5,1.76,4.89,1,0.8333
marco penge,3.31,1.86,-1.35,1.61,2.12,5.43,2,1.0
marco penge,-3.25,0.4,-0.63,-0.66,-0.89,-4.14,3,0.5714
marco penge,-0.78,-0.36,-0.08,-0.35,-0.79,-1.57,4,0.7143
ludvig aberg,0.25,-0.2,-1.48,0.33,-1.36,-1.11,1,0.4
ludvig aberg,0.26,0.1,1.67,-0.59,1.18,1.43,2,0.5
ludvig aberg,0.3,0.19,0.3,0.08,0.57,0.86,3,0.5714
ludvig aberg,-0.19,1.25,0.84,0.54,2.62,2.43,4,0.75
robert macintyre,-1.72,0.91,-1.24,-0.07,-0.39,-2.11,1,0.3333
