Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Rounds,Scrambling
chris gotterup,0.28,2.86,-0.78,1.44,3.52,3.8,1,0
chris gotterup,-1.15,0.6,-0.39,2.3,2.51,1.36,2,0
chris gotterup,2.76,-1.06,-1.33,0.69,-1.7,1.06,3,0
chris gotterup,3.5,-0.27,2.45,1,3.18,6.68,4,0
max homa,0.91,0.1,1.84,-0.06,1.89,2.8,1,0
max homa,1.35,0.51,1.18,0.33,2.01,3.36,2,0
max homa,-0.93,0.63,1.2,0.17,1.99,1.06,3,0
max homa,1.72,2.59,-0.79,1.16,2.97,4.68,4,0
lucas glover,2.31,0.16,3.94,0.39,4.49,6.8,1,0
lucas glover,0.19,0.86,3.53,-0.21,4.17,4.36,2,0
lucas glover,-1.54,1.09,1.37,-0.86,1.6,0.06,3,0
lucas glover,-0.85,-0.1,0.21,0.43,0.53,-0.32,4,0
lee hodges,2.75,1.43,0.02,1.6,3.05,5.8,1,0
lee hodges,4.75,-0.26,-0.68,-0.46,-1.39,3.36,2,0
lee hodges,1.09,0.17,-0.07,0.87,0.97,2.06,3,0
lee hodges,0.33,-0.94,0.01,0.28,-0.65,-0.32,4,0
ben kohles,0.56,0.78,1.98,1.48,4.24,4.8,1,0
ben kohles,1.02,0.21,0.95,0.18,1.34,2.36,2,0
ben kohles,0.26,0.9,1.44,0.47,2.81,3.06,3,0
ben kohles,0.52,1.01,-0.7,-0.14,0.17,0.68,4,0
doug ghim,0.14,-0.16,1.08,-0.26,0.66,0.8,1,0
doug ghim,2.58,-0.04,1.46,0.37,1.79,4.36,2,0
doug ghim,1.34,0.35,1.25,1.12,2.72,4.06,3,0
doug ghim,0.2,1.05,-1.47,0.9,0.49,0.68,4,0
mac meissner,-0.25,0.9,0.56,1.58,3.05,2.8,1,0
mac meissner,3.31,-1.51,-1.54,-0.89,-3.94,-0.64,2,0
mac meissner,4.39,0.32,-0.64,-1,-1.32,3.06,3,0
mac meissner,0.96,0.48,2.64,0.6,3.73,4.68,4,0
jackson suber,-2.24,0.94,2.49,0.61,4.04,1.8,1,0
jackson suber,2.01,1.16,1.25,0.94,3.35,5.36,2,0
jackson suber,2.26,0.09,0.6,0.12,0.8,3.06,3,0
jackson suber,-1.45,0.32,-0.62,1.44,1.14,-0.32,4,0
zac blair,2.54,0.73,4.04,-0.51,4.26,6.8,1,0
zac blair,3.25,-1.21,-0.45,-0.23,-1.88,1.36,2,0
zac blair,2.74,-0.46,1.38,-1.6,-0.68,2.06,3,0
zac blair,-3.17,0.99,0.63,0.22,1.85,-1.32,4,0
zach johnson,1.11,2.26,2.09,0.34,4.69,5.8,1,0
