Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Rounds
rory mcilroy,2.33,1.3,2.98,1.03,5.32,7.65,1
rory mcilroy,2.31,3.1,2.5,-0.05,5.54,7.85,2
rory mcilroy,-0.95,0.79,-3.97,1.75,-1.42,-2.37,3
rory mcilroy,-1.35,0.38,1.14,0.93,2.44,1.09,4
scottie scheffler,-0.34,0.97,1.27,2.75,4.99,4.65,1
scottie scheffler,-2.07,0.39,-0.61,1.14,0.91,-1.15,2
scottie scheffler,0.54,0,5.48,-0.39,5.09,5.63,3
scottie scheffler,2.44,1.04,0.53,0.08,1.65,4.09,4
justin rose,1.44,1.39,0.59,1.22,3.21,4.65,1
justin rose,-1.08,-0.3,4.88,0.34,4.92,3.85,2
justin rose,-0.39,0.68,-0.17,1.51,2.02,1.63,3
justin rose,0.27,0.09,0.94,0.79,1.82,2.09,4
cameron young,0.5,-0.17,-0.31,1.62,1.14,1.65,1
cameron young,-0.05,0.52,3.08,2.3,5.89,5.85,2
cameron young,1.7,2.27,-0.17,1.83,3.93,5.63,3
cameron young,-0.19,-1.05,0.6,-0.27,-0.72,-0.91,4
russell henley,1.01,-0.4,0.08,0.95,0.63,1.65,1
russell henley,0.08,-0.91,2.71,-0.03,1.77,1.85,2
russell henley,0.39,1.75,3.55,-1.06,4.24,4.63,3
russell henley,-0.94,0.99,3.27,0.78,5.04,4.09,4
tyrrell hatton,-2.27,2.05,-0.79,1.66,2.92,0.65,1
tyrrell hatton,1.4,0.65,3.71,1.08,5.44,6.85,2
tyrrell hatton,-0.19,-1.23,-1.22,1.27,-1.18,-1.37,3
tyrrell hatton,2.16,1.1,1.98,0.85,3.93,6.09,4
collin morikawa,1.94,-0.76,-0.26,-0.28,-1.29,0.65,1
collin morikawa,2.4,1,1.01,-0.56,1.45,3.85,2
collin morikawa,1.21,-0.14,1.01,0.55,1.42,2.63,3
collin morikawa,3.02,1.48,1.92,-2.32,1.08,4.09,4
sam burns,1.52,1.9,2.9,1.33,6.13,7.65,1
sam burns,0.6,-0.59,0.89,0.95,1.24,1.85,2
sam burns,1.03,-1.23,1.89,0.93,1.6,2.63,3
sam burns,2.87,-0.21,-1.24,-2.33,-3.78,-0.91,4
xander schauffele,1.14,-0.39,1.93,1.97,3.51,4.65,1
xander schauffele,-1.22,-1.66,2.57,1.16,2.06,0.85,2
xander schauffele,-1.36,0.7,1.77,-0.48,1.99,0.63,3
xander schauffele,1.01,0,1.26,1.82,3.08,4.09,4
max homa,1.04,1.41,-0.59,0.79,1.61,2.65,1
max homa,1.23,0.53,0.81,0.27,1.61,2.85,2
max homa,0.64,-0.5,0.78,-1.29,-1.01,-0.37,3
max homa,2.57,-0.24,3.4,-0.63,2.53,5.09,4
jake knapp,1.33,-0.55,0.58,0.28,0.31,1.65,1
jake knapp,1,1.16,-1,2.69,2.85,3.85,2
jake knapp,-0.24,-1.01,0.67,2.21,1.87,1.63,3
jake knapp,-0.03,-0.44,0.51,2.05,2.13,2.09,4
jason day,3.25,0.86,0.66,0.87,2.4,5.65,1
jason day,1.64,1.22,-0.2,-0.81,0.21,1.85,2
jason day,-0.32,0.07,1.75,1.14,2.95,2.63,3
jason day,-0.99,-0.58,-0.91,-0.43,-1.92,-2.91,4
brooks koepka,-0.61,0.67,2.99,-0.41,3.25,2.65,1
