Rank,Player,Percentage,Par 5 Birdies or Better,Par 5 Holes
1,Jake Knapp,0.6129,76,124
2,Collin Morikawa,0.6029,82,136
3,Scottie Scheffler,0.587,108,184
4,Brooks Koepka,0.5615,73,130
5,Ludvig Aberg,0.5556,100,180
5,Tony Finau,0.5556,110,198
7,William Mouw,0.5547,71,128
8,Keith Mitchell,0.5459,107,196
9,Xander Schauffele,0.5455,96,176
10,Michael Brennan,0.5432,88,162
11,Eric Cole,0.5345,93,174
12,Pierceson Coody,0.5333,104,195
13,Wyndham Clark,0.5323,99,186
14,Jackson Suber,0.5313,68,128
15,Matti Schmid,0.5301,88,166
16,Max Homa,0.5298,89,168
17,Taylor Moore,0.5274,77,146
18,Matt Fitzpatrick,0.526,101,192
19,Sudarshan Yellamaraju,0.5255,103,196
20,Maverick McNealy,0.5248,106,202
21,Adam Scott,0.5233,90,172
22,Nicolai Hojgaard,0.5222,94,180
23,Stephan Jaeger,0.5195,80,154
24,Akshay Bhatia,0.517,91,176
24,Min Woo Lee,0.517,91,176
26,Daniel Berger,0.5169,92,178
26,Kristoffer Reitan,0.5169,92,178
28,Lee Hodges,0.5164,63,122
29,Ryan Gerard,0.5143,108,210
30,Aldrich Potgieter,0.5137,75,146
31,Sahith Theegala,0.5132,117,228
32,Ricky Castillo,0.5116,88,172
33,Tommy Fleetwood,0.5114,90,176
34,Sam Burns,0.5109,94,184
35,Jordan Spieth,0.5097,105,206
36,Si Woo Kim,0.5086,118,232
37,Kevin Yu,0.5078,65,128
38,Kevin Roy,0.5067,76,150
39,Joe Highsmith,0.5063,81,160
39,Tom Kim,0.5063,81,160
41,Mac Meissner,0.5062,82,162
42,Hideki Matsuyama,0.5049,103,204
43,Adrien Dumont de Chassart,0.5,72,144
43,Austin Eckroat,0.5,71,142
43,A.J. Ewart,0.5,78,156
43,Shane Lowry,0.5,78,156
43,Robert MacIntyre,0.5,88,176
43,Peter Malnati,0.5,58,116
43,Max McGreevy,0.5,83,166
43,Pontus Nyholm,0.5,56,112
43,Justin Rose,0.5,81,162
43,Jimmy Stanger,0.5,55,110
43,Alejandro Tosti,0.5,51,102
54,Jacob Bridgeman,0.4953,105,212
55,Harry Hall,0.4944,89,180
56,Rickie Fowler,0.4943,86,174
57,Rico Hoey,0.4942,85,172
58,Austin Smotherman,0.4933,74,150
59,Matt McCarty,0.4905,103,210
60,Keegan Bradley,0.489,89,182
61,Zach Bauchou,0.4877,79,162
62,Jordan Smith,0.4872,76,156
63,Doug Ghim,0.4853,66,136
64,Harris English,0.485,97,200
65,Chris Gotterup,0.4848,96,198
66,Ben Griffin,0.4847,95,196
66,Alex Smalley,0.4847,95,196
68,Davis Riley,0.4846,63,130
69,Rasmus Neergaard-Petersen,0.4844,62,128
70,Max Greyserman,0.4813,77,160
71,Patrick Rodgers,0.4783,110,230
72,Haotong Li,0.4779,65,136
72,Matt Wallace,0.4779,65,136
74,Andrew Putnam,0.477,83,174
75,David Lipsky,0.4766,61,128
76,Michael Thorbjornsen,0.4762,80,168
77,Dylan Wu,0.4754,58,122
78,J.T. Poston,0.4722,85,180
78,Justin Thomas,0.4722,68,144
80,Seamus Power,0.4718,67,142
81,Christo Lamprecht,0.4717,50,106
82,John VanDerLaan,0.4688,60,128
83,Ryo Hisatsune,0.4667,112,240
84,Beau Hossler,0.4661,55,118
85,Bud Cauley,0.466,96,206
85,Michael Kim,0.466,96,206
87,Russell Henley,0.4655,81,174
88,Zecheng Dou,0.4648,66,142
89,Patrick Cantlay,0.4643,78,168
90,Chris Kirk,0.4632,63,136
91,Viktor Hovland,0.4625,74,160
92,Billy Horschel,0.4615,84,182
93,Sepp Straka,0.4611,83,180
94,Karl Vilips,0.4603,58,126
95,J.J. Spaun,0.4598,80,174
96,Adam Schenk,0.4583,66,144
97,Cameron Young,0.4565,84,184
98,Gary Woodland,0.456,83,182
99,Aaron Rai,0.4559,62,136
100,Nick Taylor,0.4545,100,220
101,Sungjae Im,0.4539,69,152
102,Chandler Phillips,0.4538,59,130
103,Jason Day,0.4529,77,170
104,Christiaan Bezuidenhout,0.45,72,160
104,Denny McCarthy,0.45,90,200
106,Chad Ramey,0.4494,71,158
107,Brice Garnett,0.4492,53,118
108,Alex Noren,0.4479,86,192
109,Dan Brown,0.4455,49,110
110,Erik van Rooyen,0.4453,57,128
111,Tom Hoge,0.445,89,200
112,Mackenzie Hughes,0.4437,63,142
113,Taylor Pendrith,0.4433,86,194
114,Chandler Blanchet,0.4408,67,152
115,Andrew Novak,0.4406,89,202
116,Brandt Snedeker,0.4386,50,114
117,Steven Fisk,0.4359,68,156
118,Nico Echavarria,0.4355,81,186
118,Sami Valimaki,0.4355,54,124
120,Brian Harman,0.4343,86,198
121,Rasmus Hojgaard,0.4342,66,152
122,Kurt Kitayama,0.4323,83,192
123,Adrien Saddier,0.431,50,116
124,Emiliano Grillo,0.4295,67,156
125,Johnny Keefer,0.4294,73,170
126,Sam Stevens,0.4292,91,212
127,John Parry,0.4244,73,172
128,Vince Whaley,0.4242,56,132
129,Sam Ryder,0.4206,53,126
130,Marco Penge,0.4167,50,120
131,Corey Conners,0.4158,79,190
132,Danny Walker,0.4145,63,152
133,Adam Svensson,0.4138,48,116
134,Mark Hubbard,0.4103,64,156
135,Jhonattan Vegas,0.4096,68,166
136,Takumi Kanaya,0.4091,63,154
137,Davis Thompson,0.4079,62,152
138,Jeffrey Kang,0.4057,43,106
138,Marcelo Rozo,0.4057,43,106
140,Ryan Fox,0.3987,63,158
141,Kensei Hirata,0.3906,50,128
142,Neal Shipley,0.3879,45,116
143,Matthieu Pavon,0.3851,57,148
144,Patrick Fishburn,0.3818,42,110
145,Joel Dahmen,0.3769,49,130
146,Garrick Higgo,0.375,51,136
147,Brian Campbell,0.372,61,164
148,Luke Clanton,0.3684,42,114
149,Davis Chatfield,0.3585,38,106
150,Lucas Glover,0.3264,47,144
151,Hank Lebioda,0.306,41,134
