Player,Scores,Scrambling,Rounds,Unnamed: 4,Unnamed: 5,Considering_Slope_Round_One,Considering_Slope_Round_Two
Chris Gotterup,7.886,1.0,1,,,60.61607079646019,
Chris Gotterup,-0.713,0.62,2,,,,73.753203539823
Chris Gotterup,-0.164,0.8,3,,,,
Chris Gotterup,5.685,0.75,4,,,,
Hideki Matsuyama,2.886,1.0,1,,,66.9877522123894,
Hideki Matsuyama,6.287,0.6667,2,,,,64.56504778761061
Hideki Matsuyama,1.836,0.6667,3,,,,
Hideki Matsuyama,1.685,0.6667,4,,,,
Michael Thorbjornen,4.886,1.0,1,,,64.43907964601772,
Michael Thorbjornen,-0.713,1.0,2,,,,71.57408849557523
Michael Thorbjornen,4.836,0.5,3,,,,
Michael Thorbjornen,2.685,0.6667,4,,,,
Nicolai H�jgaard,4.886,1.0,1,,,64.43907964601772,
Nicolai H�jgaard,0.287,0.7143,2,,,,71.93810265486727
Nicolai H�jgaard,4.836,1.0,3,,,,
Nicolai H�jgaard,1.685,0.875,4,,,,
Jake Knapp,3.886,0.6,1,,,68.00722123893806,
Jake Knapp,1.287,0.4,2,,,,72.46612389380532
Jake Knapp,3.836,1.0,3,,,,
Jake Knapp,1.685,0.0,4,,,,
Matt Fitzpatrick,5.886,0.6,1,,,65.45854867256638,
Matt Fitzpatrick,0.287,0.4,2,,,,73.74046017699115
Matt Fitzpatrick,2.836,0.5,3,,,,
Matt Fitzpatrick,0.685,0.6,4,,,,
Pierceson Coody,4.886,0.6667,1,,,66.35039292035398,
Pierceson Coody,2.287,0.0,2,,,,73.48559292035398
Pierceson Coody,-0.164,1.0,3,,,,
Pierceson Coody,1.685,0.5,4,,,,
Viktor Hovland,1.886,0.7143,1,,,69.90043893805311,
Viktor Hovland,0.287,0.5714,2,,,,72.75756460176991
Viktor Hovland,4.836,0.6667,3,,,,
Viktor Hovland,1.685,0.6667,4,,,,
Ryo Hisatsune,2.886,0.3333,1,,,70.8109522123894,
Ryo Hisatsune,7.287,1.0,2,,,,61.3793982300885
Ryo Hisatsune,-0.164,0.6,3,,,,
Ryo Hisatsune,-1.315,0.5,4,,,,
Zecheng Dou,-1.114,0.5714,1,,,74.54290973451329,
Zecheng Dou,4.287,0.5,2,,,,68.06966371681416
Zecheng Dou,-2.164,0.5714,3,,,,
Zecheng Dou,6.685,1.0,4,,,,
Kevin Roy,3.886,0.6667,1,,,67.62472920353983,
Kevin Roy,1.287,0.6667,2,,,,70.93672920353981
Kevin Roy,0.836,0.75,3,,,,
Kevin Roy,1.685,0.8333,4,,,,
Maverick McNealy,3.886,0.5,1,,,68.58067256637169,
Maverick McNealy,1.287,0.75,2,,,,70.4590442477876
Maverick McNealy,4.836,0.75,3,,,,
Maverick McNealy,-2.315,0.2857,4,,,,
Daniel Berger,3.886,0.75,1,,,67.14704424778762,
Daniel Berger,-0.713,0.6,2,,,,73.86789380530973
Daniel Berger,-1.164,0.7143,3,,,,
Daniel Berger,4.685,1.0,4,,,,
Jordan Smith,0.886,0.5,1,,,72.40368141592921,
Jordan Smith,0.287,0.4,2,,,,73.74046017699115
Jordan Smith,1.836,0.5,3,,,,
Jordan Smith,3.685,0.5,4,,,,
Michael Kim,-0.114,0.8333,1,,,71.76670442477878,
Michael Kim,5.287,0.5,2,,,,66.79532743362832
Michael Kim,-2.164,0.7143,3,,,,
Michael Kim,2.685,0.3333,4,,,,
Jacob Bridgeman,-0.114,0.6667,1,,,72.72207433628319,
Jacob Bridgeman,2.287,0.6,2,,,,70.04488495575221
Jacob Bridgeman,0.836,0.75,3,,,,
Jacob Bridgeman,2.685,0.75,4,,,,
Rickie Fowler,-0.114,0.625,1,,,72.96120353982302,
Rickie Fowler,2.287,0.75,2,,,,69.18470796460177
Rickie Fowler,0.836,0.5714,3,,,,
Rickie Fowler,2.685,0.8333,4,,,,
Mac Meissner,-0.114,0.625,1,,,72.96120353982302,
Mac Meissner,2.287,0.75,2,,,,69.18470796460177
Mac Meissner,0.836,0.6,3,,,,
Mac Meissner,2.685,0.8571,4,,,,
Sepp Straka,-0.114,0.6667,1,,,72.72207433628319,
Sepp Straka,1.287,0.8889,2,,,,69.6625203539823
Sepp Straka,2.836,0.5,3,,,,
Sepp Straka,1.685,0.8,4,,,,
Sahith Theegala,0.886,0.2,1,,,74.12403539823009,
Sahith Theegala,5.287,0.75,2,,,,65.36169911504425
Sahith Theegala,-0.164,0.5714,3,,,,
Sahith Theegala,-0.315,0.6,4,,,,
Ryan Fox,1.886,0.5714,1,,,70.71990088495578,
Ryan Fox,1.287,0.5,2,,,,71.89267256637169
Ryan Fox,-0.164,0.6667,3,,,,
Ryan Fox,1.685,0.4,4,,,,
Rico Hoey,-0.114,0.7143,1,,,72.44911150442479,
Rico Hoey,1.287,0.4,2,,,,72.46612389380532
Rico Hoey,-0.164,0.6,3,,,,
Rico Hoey,3.685,0.8,4,,,,
Kurt Kitayama,1.886,1.0,1,,,68.26208849557523,
Kurt Kitayama,-0.713,0.5714,2,,,,74.03190088495576
Kurt Kitayama,-0.164,0.4,3,,,,
Kurt Kitayama,3.685,1.0,4,,,,
Rasmus H�jgaard,2.886,0.6,1,,,69.2815575221239,
Rasmus H�jgaard,0.287,0.5,2,,,,73.16700884955752
Rasmus H�jgaard,3.836,1.0,3,,,,
Rasmus H�jgaard,-2.315,0.4,4,,,,
Harry English,0.886,0.75,1,,,70.97005309734514,
Harry English,1.287,0.3333,2,,,,72.84861592920355
Harry English,-0.164,0.6667,3,,,,
Harry English,1.685,0.75,4,,,,
A.J. Ewart,1.886,0.5,1,,,71.12934513274337,
A.J. Ewart,2.287,0.3333,2,,,,71.5742796460177
A.J. Ewart,-2.164,0.7143,3,,,,
A.J. Ewart,1.685,1.0,4,,,,
Nick Taylor,-0.114,0.625,1,,,72.96120353982302,
Nick Taylor,2.287,0.7143,2,,,,69.38943008849557
Nick Taylor,-1.164,0.7143,3,,,,
Nick Taylor,2.685,0.5,4,,,,
Ben Griffin,-0.114,0.7143,1,,,72.44911150442479,
Ben Griffin,3.287,0.5,2,,,,69.344
Ben Griffin,0.836,0.6667,3,,,,
Ben Griffin,-0.315,0.6667,4,,,,
Mackenzie Hughes,2.886,0.8333,1,,,67.94369557522126,
Mackenzie Hughes,1.287,0.4,2,,,,72.46612389380532
Mackenzie Hughes,0.836,0.5714,3,,,,
Mackenzie Hughes,-1.315,0.7143,4,,,,
Stephan Jaeger,0.886,0.8,1,,,70.68332743362834,
Stephan Jaeger,4.287,1.0,2,,,,65.20240707964601
Stephan Jaeger,0.836,0.3333,3,,,,
Stephan Jaeger,-2.315,0.5714,4,,,,
Min Woo Lee,-0.114,0.8182,1,,,71.85329557522125,
Min Woo Lee,5.287,1.0,2,,,,63.928070796460176
Min Woo Lee,1.836,0.4,3,,,,
Min Woo Lee,-3.315,0.4286,4,,,,
Sam Stevens,4.886,1.0,1,,,64.43907964601772,
Sam Stevens,0.287,0.6667,2,,,,72.21106548672566
Sam Stevens,-2.164,0.6667,3,,,,
Sam Stevens,-0.315,0.375,4,,,,
Wyndham Clark,-2.114,0.5,1,,,76.22669026548674,
Wyndham Clark,2.287,0.5,2,,,,70.61833628318584
Wyndham Clark,1.836,0.75,3,,,,
Wyndham Clark,0.685,0.7143,4,,,,
Alex Smalley,-3.114,0.7273,1,,,76.19757168141594,
Alex Smalley,3.287,0.6667,2,,,,68.38805663716813
Alex Smalley,1.836,0.5,3,,,,
Alex Smalley,0.685,0.5,4,,,,
Tom Kim,-2.114,0.6667,1,,,75.27074690265488,
Tom Kim,4.287,0.5,2,,,,68.06966371681416
Tom Kim,-1.164,0.4,3,,,,
Tom Kim,1.685,0.8333,4,,,,
J.T. Poston,-3.114,0.4,1,,,78.07447787610622,
J.T. Poston,3.287,0.6,2,,,,68.77054867256636
J.T. Poston,-0.164,0.5,3,,,,
J.T. Poston,2.685,0.25,4,,,,
