Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Rounds,Scrambling
collin morikawa,-1.08,-0.62,2.7,-0.27,1.8,0.72,1,0.5714
collin morikawa,-0.6,1.12,-0.3,0.88,1.7,1.1,2,0.6667
collin morikawa,0.02,0.3,6.47,1.15,7.92,7.94,3,0.0
collin morikawa,1.62,-0.43,0.79,0.81,1.17,2.79,4,0.6
sepp straka,-1.3,-0.53,3.53,0.55,3.55,2.25,1,1.0
sepp straka,1.73,0.24,1.5,0.05,1.79,3.52,2,0.8
sepp straka,1.09,1.52,-0.9,1.23,1.85,2.94,3,0.5
sepp straka,2.06,0.99,-1.85,0.59,-0.27,1.79,4,0.5
min woo lee,0.49,-0.53,2.09,0.67,2.23,2.73,1,1.0
min woo lee,2.41,-0.4,1.17,0.92,1.69,4.1,2,0.5
min woo lee,0.82,-1.55,0.92,-0.26,-0.88,-0.06,3,0.4
min woo lee,3.79,0.76,0.5,-0.26,1.0,4.79,4,0.8333
tommy fleetwood,0.78,1.75,-0.48,0.67,1.94,2.73,1,0.6667
tommy fleetwood,-0.76,1.07,1.06,-0.28,1.86,1.1,2,0.8333
tommy fleetwood,-0.91,1.9,1.82,0.12,3.84,2.94,3,1.0
tommy fleetwood,2.5,-0.29,0.69,0.89,1.29,3.79,4,0.6667
scottie scheffler,-2.34,0.47,-2.15,0.27,-1.41,-3.75,1,0.5714
scottie scheffler,-0.54,2.89,0.03,1.15,4.07,3.52,2,0.8
scottie scheffler,0.57,1.04,0.11,1.21,2.37,2.94,3,1.0
scottie scheffler,4.17,-1.54,2.76,1.4,2.62,6.79,4,0.4
akshay bhatia,-0.05,1.0,2.42,-0.12,3.3,3.25,1,1.0
akshay bhatia,1.53,2.21,1.77,0.02,4.0,5.53,2,1.0
akshay bhatia,1.1,0.17,-0.65,1.32,0.84,1.94,3,0.3333
akshay bhatia,-1.25,-0.32,-0.26,-0.4,-0.97,-2.21,4,0.6
sam burns,5.2,-0.54,-0.15,0.74,0.05,5.25,1,1.0
sam burns,1.49,0.62,0.1,0.32,1.03,2.52,2,0.8333
sam burns,-1.31,-1.01,-0.76,1.01,-0.76,-2.06,3,0.5714
sam burns,0.03,-0.39,3.73,-0.58,2.76,2.79,4,0.6667
hideki matsuyama,1.86,0.17,-0.86,0.07,-0.61,1.25,1,1.0
hideki matsuyama,0.42,1.01,1.6,-0.52,2.1,2.52,2,0.8333
hideki matsuyama,1.77,1.42,1.25,-1.51,1.16,2.94,3,1.0
hideki matsuyama,-0.14,0.52,0.3,0.1,0.93,0.79,4,0.5
jacob bridgeman,1.12,-0.22,1.13,-0.79,0.13,1.25,1,0.5
jacob bridgeman,0.73,1.75,2.39,-0.34,3.8,4.53,2,1.0
jacob bridgeman,-0.32,0.17,2.95,-0.86,2.25,1.94,3,0.8
jacob bridgeman,1.16,0.35,-1.23,-0.5,-1.38,-0.21,4,0.4286
nicolas echavarria,0.07,-0.22,1.84,-0.97,0.66,0.72,1,0.8
nicolas echavarria,-0.32,-0.06,0.8,-0.32,0.42,0.1,2,0.6
nicolas echavarria,1.36,0.61,2.42,0.55,3.58,4.94,3,0.75
nicolas echavarria,-0.23,0.39,2.94,-0.31,3.02,2.79,4,0.8
shane lowry,-1.57,0.06,3.13,-0.38,2.82,1.25,1,0.75
shane lowry,2.02,-1.28,-1.11,0.89,-1.5,0.53,2,0.8571
shane lowry,1.53,0.07,0.87,0.48,1.41,2.94,3,0.0
shane lowry,1.67,0.41,0.38,0.33,1.12,2.79,4,1.0
jake knapp,2.39,-0.7,1,1.03,1.34,3.73,1,1.0
jake knapp,1.18,0.76,0.21,-0.04,0.92,2.1,2,0.5
jake knapp,3.07,-0.44,2.13,-0.82,0.86,3.94,3,0.8333
jake knapp,-1.19,1.99,-2.25,0.23,-0.02,-1.21,4,0.7778
ryo hisatsune,5.13,1.7,-0.18,-0.4,1.12,6.25,1,1.0
ryo hisatsune,0.42,-1.82,3.12,0.81,2.1,2.52,2,0.3333
ryo hisatsune,-3.83,-0.11,-1.74,1.61,-0.23,-4.06,3,0.3333
ryo hisatsune,2.17,1.01,-1.25,0.85,0.61,2.79,4,0.4
rory mcilroy,-2.27,1.82,0.85,1.33,4.0,1.73,1,0.0
rory mcilroy,0.24,-1.38,2.94,0.3,1.86,2.1,2,0.6667
rory mcilroy,-0.88,-1.43,3.28,-3.03,-1.18,-2.06,3,0.5
rory mcilroy,2.53,2.21,-0.26,1.31,3.26,5.79,4,1.0
patrick cantlay,0.34,0.91,0.01,1,1.92,2.25,1,1.0
patrick cantlay,0.38,-0.53,-0.33,-0.99,-1.86,-1.48,2,0.6
patrick cantlay,0.76,0.55,0.04,-0.41,0.17,0.94,3,0.6
patrick cantlay,0.57,-0.38,4.5,0.09,4.22,4.79,4,0.0
matt fitzpatrick,1.81,-0.6,2.15,0.36,1.91,3.73,1,0.3333
matt fitzpatrick,-1.03,-0.72,1.65,1.2,2.13,1.1,2,1.0
matt fitzpatrick,-1.15,-0.03,0.88,0.23,1.09,-0.06,3,0.0
matt fitzpatrick,0.31,-1.6,3.1,0.98,2.48,2.79,4,0.75
tom hoge,1.37,-0.94,3.08,-0.26,1.88,3.25,1,1.0
tom hoge,0.3,0.81,0.14,0.28,1.23,1.52,2,0.75
tom hoge,-0.12,-0.34,-0.29,0.69,0.06,-0.06,3,0.5
tom hoge,0.02,0.38,1.77,-0.38,1.77,1.79,4,0.5
tony finau,4.76,1.0,1.27,-1.31,0.96,5.72,1,1.0
tony finau,-0.46,-1.31,-0.74,-0.38,-2.44,-2.9,2,0.6
tony finau,0.7,-0.71,0.42,-0.47,-0.76,-0.06,3,0.5
tony finau,3.26,-0.5,2.34,-1.31,0.53,3.79,4,0.5
rickie fowler,1.18,-0.19,0.13,1.13,1.07,2.25,1,0.75
rickie fowler,0.13,0.84,4.78,-0.23,5.4,5.53,2,0.5
rickie fowler,2.0,-1.59,-2.1,-1.38,-5.07,-3.06,3,0.4286
rickie fowler,0.03,-0.38,-0.38,0.52,-0.24,-0.21,4,0.6667
russell henley,1.5,0.44,-0.14,0.45,0.75,2.25,1,0.75
russell henley,3.15,-0.68,-1.42,-0.52,-2.62,0.53,2,1.0
russell henley,-1.44,-0.14,-0.15,0.67,0.38,-1.06,3,0.5
russell henley,0.17,1.91,0.29,0.41,2.61,2.79,4,0.7143
brian harman,-1.53,0.36,0.86,0.57,1.78,0.25,1,0.5
brian harman,0.65,0.37,-0.24,-0.26,-0.13,0.53,2,0.6667
brian harman,0.38,0.26,3.11,-0.81,2.56,2.94,3,0.6667
brian harman,-0.44,0.48,-0.04,0.78,1.23,0.79,4,0.75
xander schauffele,0.18,-0.42,0.84,0.12,0.54,0.72,1,0.6
xander schauffele,2.42,0.37,0.2,1.11,1.68,4.1,2,1.0
xander schauffele,0.14,0.24,-1.01,1.57,0.8,0.94,3,0.8
xander schauffele,0.77,-0.93,-1.13,1.08,-0.98,-0.21,4,0.6667
alex smalley,0.46,-0.04,-0.38,0.22,-0.2,0.25,1,0.75
alex smalley,-1.04,0.71,0.24,0.62,1.57,0.53,2,0.5
alex smalley,0.31,0.65,-0.47,0.45,0.62,0.94,3,0.7143
alex smalley,0.58,-0.72,1.33,1.6,2.21,2.79,4,0.8
jason day,0.86,-0.87,-0.85,0.58,-1.14,-0.28,1,0.8
jason day,0.38,1.15,-1.58,1.16,0.72,1.1,2,0.8
jason day,2.6,0.68,-1.71,0.38,-0.66,1.94,3,0.75
jason day,0.35,1.03,0.51,-0.1,1.44,1.79,4,0.8
harry hall,-0.93,2.53,1.37,-1.25,2.65,1.73,1,0.6667
harry hall,-1.08,1.0,-2.22,0.4,-0.82,-1.9,2,0.6
harry hall,2.68,1.36,-1.3,0.2,0.26,2.94,3,1.0
harry hall,2.19,-0.5,1.41,-1.31,-0.41,1.79,4,0.8
nick taylor,4.82,0.81,-0.36,-0.54,-0.09,4.72,1,0.8
nick taylor,-1.77,-1.08,2.37,0.59,1.87,0.1,2,0.75
nick taylor,-1.65,-0.58,0.63,0.54,0.59,-1.06,3,0.5
nick taylor,-1.01,-0.25,2.28,-0.23,1.8,0.79,4,1.0
harris english,-0.93,0.26,-3.64,1.03,-2.34,-3.27,1,0.6667
harris english,3.54,-0.18,2.7,0.04,2.56,6.1,2,1.0
harris english,-1.22,-0.92,1.24,1.84,2.15,0.94,3,0.6667
harris english,2.13,-0.83,-1.63,1.12,-1.34,0.79,4,0.3333
ryan fox,-2.44,-1.01,0.87,0.31,0.17,-2.27,1,0.6
