Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Scrambling,Rounds
aaron rai,2.6,-0.29,-0.23,0.19,-0.34,2.26,0.375,1
aaron rai,0.2,0.13,2.23,1.05,3.41,3.61,0.5,2
aaron rai,0.12,0.36,3.61,-1.1,2.88,3,0.3333,3
aaron rai,3.93,-0.31,1.32,0.67,1.68,5.61,0.5,4
jon rahm,-1.05,2.58,0.99,0.74,4.32,3.26,0.625,1
jon rahm,1.15,1.21,0.04,0.21,1.46,2.61,0.6,2
jon rahm,0.38,0.74,0.32,1.56,2.62,3,0.6667,3
jon rahm,1.47,0,-0.28,1.42,1.14,2.61,0,4
alex smalley,3.34,0.46,1.62,-0.15,1.93,5.26,0.25,1
alex smalley,2.49,-0.14,0.95,0.32,1.12,3.61,0.625,2
alex smalley,1.25,0.75,-0.06,0.06,0.75,2,0.5,3
alex smalley,0.32,-0.85,0.19,0.94,0.29,0.61,0.5,4
justin thomas,2.57,-1.09,0.91,0.88,0.69,3.26,0.6,1
justin thomas,0.48,0.66,2.39,0.08,3.13,3.61,0.625,2
justin thomas,0.06,0.17,-1.11,-1.12,-2.06,-2,0.3,3
justin thomas,3.81,0.08,1.47,0.25,1.8,5.61,0.75,4
ludvig aberg,-1.01,0.77,0.68,-0.17,1.28,0.26,0.7143,1
ludvig aberg,1.62,0.31,3.46,1.22,4.99,6.61,1,2
ludvig aberg,-1.74,0.39,1.15,2.2,3.74,2,0.8,3
ludvig aberg,0.23,0.81,-0.17,0.74,1.38,1.61,0.4,4
matti schmid,1.04,-0.23,2.5,-0.05,2.22,3.26,0.5,1
matti schmid,0.19,1.41,-0.28,-0.71,0.42,0.61,0.6667,2
matti schmid,4.15,-0.22,1.02,0.05,0.85,5,0.8,3
matti schmid,2.33,1.35,-2.14,0.08,-0.72,1.61,0.6,4
cameron smith,3.85,-0.46,0.51,-0.63,-0.58,3.26,0.2,1
cameron smith,0.04,1.22,1.52,-1.16,1.57,1.61,0.4286,2
cameron smith,0.32,0.79,1.41,-0.51,1.69,2,0.6667,3
cameron smith,0.26,1.2,2.37,-1.23,2.35,2.61,1,4
rory mcilroy,-0.76,-0.13,-0.94,0.1,-0.98,-1.74,0.1667,1
rory mcilroy,2.18,0.73,1.34,1.36,3.43,5.61,1,2
rory mcilroy,1.6,-0.1,0.73,1.77,2.4,4,0.6,3
rory mcilroy,2.29,-0.65,-0.35,0.33,-0.68,1.61,0.75,4
xander schauffele,1.45,0.93,0.33,1.55,2.81,4.26,0.4,1
xander schauffele,1.29,-1.01,-1.81,1.14,-1.68,-0.39,0.375,2
xander schauffele,2.88,0.76,-1.02,1.39,1.12,4,0.6667,3
xander schauffele,1.87,-0.45,0.78,-0.59,-0.26,1.61,0.5,4
patrick reed,0.65,0.15,3.75,-0.29,3.61,4.26,1,1
patrick reed,-0.08,0.81,0.09,-0.21,0.69,0.61,0.6667,2
patrick reed,0.8,1.47,1.48,-0.74,2.21,3,0.7143,3
patrick reed,-0.79,0.45,0.63,0.32,1.4,0.61,0.6667,4
