Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Rounds,Scrambling
bud cauley,-0.3,-0.03,-1.02,0.85,-0.2,-0.49,1,0
bud cauley,1.5,1.76,2.69,1.1,5.56,7.05,2,0
bud cauley,3.41,-0.73,0.25,0.51,0.03,3.44,3,0
bud cauley,2.07,1.96,-0.11,0.06,1.92,3.99,4,0
matt fitzpatrick,0.65,-0.42,0.93,0.35,0.85,1.51,1,0
matt fitzpatrick,0.56,0.13,1.48,-0.11,1.5,2.06,2,0
matt fitzpatrick,0.53,0.62,1.64,0.65,2.91,3.44,3,0
matt fitzpatrick,2.99,0.19,0.71,1.09,2,4.99,4,0
viktor hovland,-0.89,-0.04,1.86,-0.43,1.39,0.51,1,0
viktor hovland,1.97,-2.04,1.12,0.01,-0.91,1.05,2,0
viktor hovland,4.04,-1.02,0.11,2.31,1.4,5.44,3,0
viktor hovland,-0.34,1.53,3.62,-0.83,4.33,3.99,4,0
brice garnett,1.37,1.05,0.73,0.35,2.13,3.51,1,0
brice garnett,1.95,-0.28,1.72,-0.34,1.11,3.06,2,0
brice garnett,1.48,-1.87,1.57,1.26,0.96,2.44,3,0
brice garnett,1.36,-0.22,-1.16,1,-0.38,0.99,4,0
jimmy stanger,4.03,0.14,-1.64,0.97,-0.52,3.51,1,0
jimmy stanger,0.99,0.8,0.15,1.11,2.06,3.06,2,0
jimmy stanger,0.72,-0.12,0.46,0.38,0.72,1.44,3,0
jimmy stanger,3.99,-0.64,-1.28,-0.09,-2.01,1.99,4,0
jackson suber,-0.93,0.83,1.78,0.83,3.44,2.51,1,0
jackson suber,0.9,0.77,2.21,1.18,4.16,5.05,2,0
jackson suber,-0.09,0.4,0.86,2.27,3.53,3.44,3,0
jackson suber,-1.26,-1.43,-0.52,2.2,0.25,-1.01,4,0
jesper svensson,1.2,0.36,-1.17,2.11,1.31,2.51,1,0
jesper svensson,2.89,1.14,-0.61,1.64,2.17,5.05,2,0
jesper svensson,-0.84,-0.16,2.73,-0.29,2.28,1.44,3,0
jesper svensson,-0.97,1.25,0.1,0.6,1.95,0.99,4,0
ryan fox,0.35,-0.13,0.81,1.48,2.15,2.51,1,0
ryan fox,4.23,-0.46,-0.21,0.51,-0.17,4.05,2,0
ryan fox,0.6,0.14,1.28,-0.58,0.83,1.44,3,0
ryan fox,-1.57,-0.47,2.08,0.95,2.56,0.99,4,0
aldrich potgieter,-0.18,0.65,-0.14,2.18,2.69,2.51,1,0
aldrich potgieter,1.53,-0.89,1.44,0.97,1.52,3.06,2,0
aldrich potgieter,1.4,1.63,-0.94,-2.64,-1.96,-0.56,3,0
aldrich potgieter,1.6,1.27,0.98,0.13,2.38,3.99,4,0
sudarshan yellamaraju,-1.27,0.27,0.65,-0.15,0.77,-0.49,1,0
sudarshan yellamaraju,0.17,-0.01,1.84,2.05,3.88,4.05,2,0
sudarshan yellamaraju,1.45,-1.02,2.76,1.25,2.99,4.44,3,0
sudarshan yellamaraju,0.53,0.01,0.56,-0.11,0.46,0.99,4,0
tommy fleetwood,1.72,-1.53,0.95,0.37,-0.21,1.51,1,0
tommy fleetwood,1.33,-0.18,2.77,1.14,3.73,5.05,2,0
tommy fleetwood,0.43,0.61,0.51,0.9,2.01,2.44,3,0
tommy fleetwood,-1.98,0.55,-0.24,0.65,0.96,-1.01,4,0
jacob bridgeman,-2.48,-0.7,1.41,0.28,0.99,-1.49,1,0
jacob bridgeman,2.21,-0.15,0.11,0.88,0.84,3.06,2,0
jacob bridgeman,3.49,1,2.34,-1.39,1.95,5.44,3,0
jacob bridgeman,0.05,-0.05,0.88,0.11,0.94,0.99,4,0
wyndham clark,0.76,1.87,-2.06,-0.06,-0.25,0.51,1,0
wyndham clark,0.51,1.56,0.35,-0.37,1.55,2.06,2,0
wyndham clark,1.42,2.4,1.97,0.66,5.02,6.44,3,0
wyndham clark,0.55,-0.69,-1.23,0.35,-1.56,-1.01,4,0
matthew anderson,3.42,0.19,2.41,-1.51,1.09,4.51,1,0
matthew anderson,0.25,0.31,-0.52,1.02,0.8,1.05,2,0
matthew anderson,1.2,0.63,-1.17,-0.22,-0.76,0.44,3,0
matthew anderson,2.36,-0.37,2.78,-2.79,-0.38,1.99,4,0
robert macintyre,-1.13,0.34,0.99,0.3,1.64,0.51,1,0
