Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Scrambling,Rounds
matt fitzpatrick,2.67,0.15,1.26,0.63,2.05,4.72,0.8889,1
matt fitzpatrick,2.39,0.88,2.87,0.23,3.98,6.37,1,2
matt fitzpatrick,-1.38,2.07,-1.37,1.55,2.24,0.87,0.5714,3
matt fitzpatrick,0.1,-0.46,-0.07,0.66,0.12,0.22,0.8571,4
scottie scheffler,1.34,0.63,0.67,-0.93,0.38,1.72,0.6667,1
scottie scheffler,0.47,-0.38,0.47,1.81,1.9,2.37,1,2
scottie scheffler,2.04,0.84,1.32,0.66,2.82,4.87,0.8571,3
scottie scheffler,-0.13,2.78,-0.82,1.4,3.35,3.22,1,4
si woo kim,1.87,1.42,0.37,0.06,1.85,3.72,0.8,1
si woo kim,-0.29,-0.13,1.31,0.48,1.66,1.37,1,2
si woo kim,1.33,0.3,-0.36,1.6,1.54,2.87,0.75,3
si woo kim,1.56,0.49,-1.2,1.37,0.66,2.22,0.875,4
ludvig aberg,2.73,0.76,3.14,0.09,3.98,6.72,1,1
ludvig aberg,-0.22,-0.16,-1.14,0.88,-0.42,-0.63,0.8571,2
ludvig aberg,0.66,-0.62,1.71,-0.88,0.2,0.87,0.7143,3
ludvig aberg,0.52,0.11,0.1,-0.52,-0.3,0.22,0.7143,4
collin morikawa,-0.54,1.24,0.88,1.14,3.25,2.72,1,1
collin morikawa,-1.27,1.28,0.75,0.59,2.63,1.37,0.6667,2
collin morikawa,0.44,-0.81,1.04,-0.8,-0.57,-0.13,0.75,3
collin morikawa,-1.13,0,3.14,1.21,4.35,3.22,0.75,4
harris english,4.8,0.15,0.16,0.61,0.92,5.72,1,1
harris english,2.91,0.28,-1.02,-0.8,-1.54,1.37,0.7778,2
harris english,0.06,-0.03,-0.43,-0.74,-1.19,-1.13,0.7143,3
harris english,-1.8,1.31,0.7,1.01,3.02,1.22,0.8333,4
bud cauley,0.31,-0.64,1.26,0.79,1.41,1.72,1,1
bud cauley,-0.15,-1.1,1.23,0.39,0.52,0.37,0.4,2
bud cauley,1.02,2.5,-0.08,0.43,2.85,3.87,1,3
bud cauley,1.63,0.78,-2.78,0.59,-1.41,0.22,0.9167,4
gary woodland,1.59,0.4,1.72,1,3.12,4.72,1,1
gary woodland,-1.61,-0.43,1.83,-0.42,0.98,-0.63,0.6,2
gary woodland,2.22,0.68,0.29,-0.33,0.64,2.87,1,3
gary woodland,-1.03,-2.29,0.87,0.67,-0.75,-1.78,0.75,4
rickie fowler,1.39,0.3,2.85,0.17,3.33,4.72,0.8333,1
rickie fowler,-2.1,0.3,1.72,0.45,2.46,0.37,0.8,2
rickie fowler,0.48,1.35,-0.97,-1,-0.61,-0.13,0.875,3
rickie fowler,0.44,-0.07,-0.4,0.24,-0.22,0.22,0.6667,4
kurt kitayama,-1.62,0.16,0.51,1.67,2.33,0.72,0.5,1
kurt kitayama,1.33,-0.46,2.87,0.62,3.03,4.37,1,2
kurt kitayama,0.28,1.53,-0.85,-0.1,0.58,0.87,0.8889,3
kurt kitayama,-0.96,3.29,-1.52,-1.59,0.18,-0.78,0.5,4
patrick cantlay,0.22,-0.03,-0.86,1.39,0.5,0.72,0.7143,1
patrick cantlay,0.57,0.42,3.99,0.39,4.8,5.37,1,2
patrick cantlay,-2.04,2.36,-0.45,1,2.91,0.87,0.6,3
patrick cantlay,-2.98,1.46,-0.56,0.3,1.2,-1.78,0.5556,4
xander schauffele,0.01,-0.84,0.61,0.94,0.71,0.72,0.8571,1
xander schauffele,-0.33,-0.13,0.95,0.88,1.7,1.37,0.8333,2
xander schauffele,0.92,0.4,-1.29,0.84,-0.05,0.87,0.875,3
xander schauffele,-1.07,-0.02,1.26,1.06,2.29,1.22,0.5,4
keegan bradley,1.79,1.53,-0.13,-0.47,0.93,2.72,0.75,1
keegan bradley,1.38,-0.17,1.04,0.11,0.98,2.37,0.8571,2
keegan bradley,-2.39,-0.18,-0.32,-0.24,-0.74,-3.13,0.5,3
keegan bradley,0.79,1.88,-0.81,0.36,1.43,2.22,0.7778,4
matthew mccarty,-0.77,-0.5,1.05,0.94,1.49,0.72,0.6,1
matthew mccarty,-1.3,-0.11,-0.72,0.5,-0.33,-1.63,0.625,2
matthew mccarty,2.27,0.25,0.5,-0.15,0.6,2.87,0.875,3
matthew mccarty,0.52,0.85,-0.6,1.45,1.7,2.22,0.5714,4
