Rank,Player,Season_Average_SG_Total,Total SG:T,Total SG:T2G,Total SG:P,Measured Rounds
1,Rory McIlroy,2.333,23.331,20.032,3.298,10
2,Jake Knapp,2.183,41.474,20.673,20.8,19
3,Scottie Scheffler,1.914,34.445,24.599,9.845,18
4,Jacob Bridgeman,1.869,41.127,14.255,26.872,22
5,Nicolai Hojgaard,1.628,24.426,19.549,4.877,15
6,Akshay Bhatia,1.586,28.554,13.253,15.3,18
7,Min Woo Lee,1.573,28.307,20.9,7.406,18
8,Collin Morikawa,1.53,27.542,29.626,-2.085,18
9,Rasmus Hojgaard,1.395,18.141,8.245,9.897,13
10,Chris Gotterup,1.381,28.997,31.701,-2.706,21
11,Adam Scott,1.334,22.68,18.413,4.267,17
12,Si Woo Kim,1.318,32.96,48.674,-15.716,25
13,Shane Lowry,1.308,18.313,12.01,6.301,14
14,Russell Henley,1.208,19.327,8.774,10.552,16
15,Hideki Matsuyama,1.187,27.291,21.17,6.12,23
16,Cameron Young,1.135,21.556,19.162,2.392,19
17,Rickie Fowler,1.08,19.444,4.919,14.524,18
18,Christiaan Bezuidenhout,1.056,11.62,4.212,7.408,11
19,Ryan Gerard,1.049,24.128,20.135,3.992,23
19,Kevin Roy,1.049,14.684,2.322,12.363,14
21,Ryan Fox,1.045,16.724,10.727,5.996,16
22,Sahith Theegala,1.014,25.353,13.343,12.009,25
23,Ryo Hisatsune,1.013,23.299,25.274,-1.976,23
24,Pierceson Coody,1.008,23.173,21.956,1.216,23
25,Beau Hossler,0.992,7.936,2.893,5.044,8
26,David Lipsky,0.985,6.895,2.088,4.808,7
27,Maverick McNealy,0.952,19.998,20.495,-0.498,21
28,Ricky Castillo,0.941,12.232,6.451,5.782,13
29,Harris English,0.873,18.326,8.741,9.583,21
30,Kurt Kitayama,0.868,18.237,15.65,2.586,21
31,Matt Fitzpatrick,0.85,15.306,19.555,-4.25,18
32,Sam Ryder,0.842,5.895,-1.05,6.946,7
33,Tommy Fleetwood,0.836,10.03,12.232,-2.203,12
33,Xander Schauffele,0.836,14.204,10.879,3.324,17
35,David Ford,0.824,9.068,11.378,-2.309,11
36,Austin Smotherman,0.819,10.646,16.247,-5.6,13
37,Ludvig Aberg,0.808,10.51,10.324,0.184,13
38,Zecheng Dou,0.789,13.406,13.087,0.32,17
39,Jordan Spieth,0.782,14.074,-0.22,14.292,18
40,Sepp Straka,0.769,13.074,16.884,-3.811,17
41,Haotong Li,0.751,12.76,15.392,-2.631,17
42,Alex Noren,0.729,10.202,6.401,3.799,14
43,Daniel Berger,0.713,17.104,20.609,-3.504,24
43,Harry Hall,0.713,12.842,2.788,10.054,18
45,Robert MacIntyre,0.694,12.483,-2.413,14.896,18
46,Seamus Power,0.677,8.798,-3.839,12.638,13
47,Taylor Moore,0.67,8.708,3.634,5.075,13
48,Sudarshan Yellamaraju,0.665,10.642,4.891,5.752,16
49,Joel Dahmen,0.636,8.267,12.271,-4.004,13
50,Patrick Rodgers,0.616,15.403,8.938,6.464,25
51,Nick Taylor,0.608,13.365,10.099,3.265,22
52,Jason Day,0.603,7.844,1.067,6.776,13
53,Jordan Smith,0.577,8.66,8.544,0.117,15
54,Alex Smalley,0.54,10.261,10.782,-0.52,19
55,Mackenzie Hughes,0.52,8.32,8.42,-0.101,16
56,Carson Young,0.516,3.095,1.854,1.242,6
57,Dan Brown,0.509,7.121,2.236,4.885,14
58,Kris Ventura,0.487,2.919,-4.166,7.086,6
59,Keith Mitchell,0.461,11.53,22.717,-11.187,25
60,Mac Meissner,0.457,6.854,9.951,-3.096,15
61,Sam Stevens,0.453,10.411,14.817,-4.407,23
62,Taylor Pendrith,0.432,7.781,10.378,-2.599,18
63,Lee Hodges,0.399,3.99,-0.485,4.476,10
64,A.J. Ewart,0.363,5.438,1.296,4.143,15
65,Viktor Hovland,0.355,5.674,3.718,1.955,16
66,Brooks Koepka,0.338,3.038,10.884,-7.846,9
67,Patrick Cantlay,0.334,4.343,9.671,-5.331,13
68,Patton Kizzire,0.33,4.29,-0.928,5.219,13
69,Max Homa,0.326,4.883,2.661,2.223,15
70,Takumi Kanaya,0.306,4.29,-5.001,9.291,14
71,Jesper Svensson,0.293,1.173,2.392,-1.218,4
72,Ben Griffin,0.271,5.428,1.044,4.383,20
73,Ben Silverman,0.258,1.033,2.88,-1.846,4
74,Max McGreevy,0.236,4.965,17.036,-12.072,21
75,Doug Ghim,0.231,2.31,0.409,1.902,10
76,Zac Blair,0.218,0.871,2.755,-1.884,4
77,Johnny Keefer,0.177,2.648,9.411,-6.763,15
78,Matthieu Pavon,0.16,2.405,-12.668,15.073,15
79,Tony Finau,0.149,2.385,-2.628,5.011,16
80,Chan Kim,0.145,0.725,2.054,-1.328,5
81,Rasmus Neergaard-Petersen,0.142,1.559,1.886,-0.327,11
82,John Parry,0.113,1.926,2.537,-0.611,17
83,Justin Rose,0.099,1.182,1.579,-0.399,12
84,Thorbjorn Olesen,0.098,0.686,4.18,-3.494,7
85,Stephan Jaeger,0.079,1.112,-0.517,1.629,14
86,Camilo Villegas,0.069,0.275,-0.897,1.173,4
87,Zach Bauchou,0.054,0.926,-0.472,1.398,17
88,Adrien Dumont de Chassart,0.041,0.533,3.768,-3.234,13
89,Matt McCarty,0.029,0.676,-11.476,12.151,23
90,Chad Ramey,0.001,0.012,-12.444,12.456,17
91,Kevin Streelman,-0.015,-0.087,-3.599,3.513,6
92,S.H. Kim,-0.029,-0.438,-6.985,6.548,15
93,Zach Johnson,-0.06,-0.359,-7.752,7.394,6
94,Matt Kuchar,-0.071,-0.355,-4.459,4.105,5
95,Sam Burns,-0.173,-2.071,-4.128,2.055,12
96,Tom Kim,-0.185,-3.894,1.315,-5.208,21
97,Karl Vilips,-0.203,-1.83,-9.609,7.78,9
98,Max Greyserman,-0.217,-3.683,-9.786,6.103,17
99,Wyndham Clark,-0.227,-3.865,7.619,-11.484,17
100,Bud Cauley,-0.282,-5.349,4.195,-9.545,19
101,Chandler Phillips,-0.289,-4.34,-16.316,11.976,15
102,Nico Echavarria,-0.307,-5.84,-4.008,-1.832,19
103,Aaron Rai,-0.308,-4.933,1.805,-6.738,16
104,Davis Thompson,-0.32,-3.835,7.348,-11.182,12
105,Adrien Saddier,-0.324,-4.206,-6.14,1.935,13
106,Brice Garnett,-0.36,-3.595,-6.091,2.497,10
107,Michael Brennan,-0.366,-4.394,7.403,-11.796,12
107,Denny McCarthy,-0.366,-6.955,-8.247,1.291,19
109,Tom Hoge,-0.398,-7.556,-14.053,6.494,19
110,Lanto Griffin,-0.41,-1.639,1.067,-2.706,4
111,Keegan Bradley,-0.415,-5.401,3.658,-9.061,13
112,Michael Kim,-0.424,-8.057,-11.099,3.041,19
113,Sami Valimaki,-0.441,-7.056,-9.506,2.45,16
114,Dylan Wu,-0.458,-5.034,-2.737,-2.297,11
115,Andrew Novak,-0.479,-8.615,-10.842,2.226,18
116,Corey Conners,-0.499,-8.976,4.542,-13.52,18
117,Billy Horschel,-0.504,-10.581,-12.313,1.732,21
118,Michael Thorbjornsen,-0.51,-9.177,-0.146,-9.032,18
119,Steven Fisk,-0.576,-6.909,-5.907,-1.003,12
120,Davis Riley,-0.583,-6.413,-17.643,11.23,11
121,Kristoffer Reitan,-0.593,-7.71,-5.559,-2.15,13
122,John VanDerLaan,-0.631,-7.57,-7.239,-0.33,12
123,Kensei Hirata,-0.643,-8.996,-5.186,-3.81,14
124,Jimmy Stanger,-0.655,-3.275,-5.293,2.019,5
125,Eric Cole,-0.659,-8.563,-9.491,0.929,13
126,Austin Eckroat,-0.668,-8.019,-2.501,-5.517,12
127,Gary Woodland,-0.679,-7.466,-9.727,2.262,11
128,Vince Whaley,-0.687,-6.869,-16.637,9.769,10
129,Adam Svensson,-0.695,-5.562,1.033,-6.594,8
130,Matt Wallace,-0.713,-4.275,-4.74,0.465,6
131,J.J. Spaun,-0.743,-9.663,3.589,-13.254,13
132,Marco Penge,-0.744,-8.184,-2.263,-5.922,11
133,Chris Kirk,-0.793,-11.901,-4.559,-7.343,15
134,Patrick Fishburn,-0.862,-5.173,-9.169,3.997,6
135,J.T. Poston,-0.876,-12.258,-11.403,-0.857,14
136,Hank Lebioda,-0.897,-10.764,-6.124,-4.64,12
137,Andrew Putnam,-0.901,-8.11,0.393,-8.503,9
138,Lucas Glover,-0.926,-9.264,-3.706,-5.56,10
139,Webb Simpson,-0.934,-7.475,-10.204,2.729,8
140,Aldrich Potgieter,-0.955,-13.375,-8.34,-5.036,14
141,Danny Walker,-0.962,-11.539,-7.577,-3.961,12
142,Emiliano Grillo,-0.965,-15.434,-6.685,-8.75,16
143,Matti Schmid,-0.991,-19.82,-21.603,1.782,20
144,William Mouw,-1.004,-12.043,-12.046,0.004,12
145,Luke Clanton,-1.044,-5.222,0.777,-5.999,5
146,Isaiah Salinda,-1.093,-8.744,-6.97,-1.773,8
147,Mark Hubbard,-1.14,-15.965,-12.315,-3.65,14
148,Rico Hoey,-1.178,-23.561,-7.075,-16.486,20
149,S.T. Lee,-1.337,-10.695,-12.156,1.462,8
150,Emilio Gonzalez,-1.355,-12.199,-14.97,2.77,9
151,Keita Nakajima,-1.367,-15.042,-7.259,-7.782,11
152,Brian Harman,-1.383,-26.284,-17.711,-8.575,19
153,Blades Brown,-1.437,-5.749,-7.755,2.007,4
154,Peter Malnati,-1.456,-11.649,-16.496,4.847,8
154,Erik van Rooyen,-1.456,-11.649,-14.642,2.993,8
156,Kevin Yu,-1.482,-14.82,-6.439,-8.381,10
157,Davis Chatfield,-1.496,-13.467,-4.275,-9.192,9
158,Justin Lower,-1.594,-9.561,-10.253,0.692,6
159,Gordon Sargent,-1.651,-9.908,-7.601,-2.306,6
160,Joe Highsmith,-1.657,-29.817,-21.597,-8.22,18
161,Pontus Nyholm,-1.681,-16.805,-19.15,2.346,10
162,Nick Dunlap,-1.708,-11.956,-12.635,0.68,7
163,Rafael Campos,-1.719,-15.467,-13.655,-1.811,9
164,Adam Schenk,-1.72,-27.52,-15.52,-12.001,16
165,Jhonattan Vegas,-1.734,-24.278,-16.758,-7.522,14
166,Garrick Higgo,-1.81,-23.531,-13.265,-10.267,13
167,Brandt Snedeker,-1.858,-7.433,-4.794,-2.638,4
168,Charley Hoffman,-1.877,-11.26,-2.824,-8.435,6
169,Chandler Blanchet,-1.956,-15.649,-2.483,-13.166,8
170,Neal Shipley,-1.984,-19.836,-6.72,-13.116,10
171,Christo Lamprecht,-2.021,-20.214,-13.177,-7.036,10
172,Brian Campbell,-2.051,-30.761,-34.4,3.638,15
173,Jackson Suber,-2.103,-16.821,-9.939,-6.881,8
174,Jeffrey Kang,-2.18,-17.443,-12.343,-5.099,8
175,Cam Davis,-2.565,-30.776,-21.195,-9.581,12
176,Marcelo Rozo,-2.809,-28.091,-6.834,-21.256,10
177,Frankie Capan III,-3.431,-13.725,-12.124,-1.6,4
178,Alejandro Tosti,-4.43,-35.443,-23.612,-11.83,8
