RK,Player,AGE,EARNINGS,CUP,EVNTS,RNDS,CUTS,TOP10,WINS,SCORE,DDIS,DACC,GIR,PUTTS,SAND,BIRDS
1,Si Woo Kim,30,2611938,724,10,40,10,4,0,69.4,298.4,71.3,69,1.728,46.1,4.4
2,Andrew Putnam,37,1272492,364,8,28,6,2,0,70.1,280.5,70.8,64.5,1.732,46.2,3.857
3,Matt Fitzpatrick,31,5577488,1294,8,32,8,3,1,69.3,305.4,70.3,72,1.761,48.3,4.625
4,Corey Conners,34,936253,234,8,30,7,0,0,70.8,300.1,70.2,67.4,1.788,36.4,3.5
5,Russell Henley,37,2788567,796,8,28,6,3,0,69.2,293.8,70.2,67.3,1.699,48.6,4.607
6,Lucas Glover,46,193500,43,7,17,2,0,0,72.4,281.4,69.7,57.2,1.789,53.8,2.882
7,Aaron Rai,31,331779,93,7,24,5,0,0,71.1,287.3,69.5,69.4,1.8,46.2,3.167
8,Collin Morikawa,29,5791097,1419,7,22,5,4,1,68.9,302.6,69.2,71.2,1.709,56.4,4.818
9,Tommy Fleetwood,35,2627100,797,6,24,6,4,0,70,299.4,67.6,66.9,1.723,44.7,4
10,Kensei Hirata,25,137774,49,9,27,4,0,0,71.1,294.2,66.9,64.2,1.811,60,3.074
11,Joel Dahmen,38,612174,177,8,24,4,2,0,70.5,293.9,66.9,68.8,1.791,51.2,3.167
12,Cameron Young,28,7551920,1636,7,28,7,4,1,69.3,310.2,65.6,70.8,1.731,53.1,4.607
13,Emiliano Grillo,33,396748,114,10,31,5,1,0,71.2,294.1,65,64.7,1.765,51.9,3.613
14,Chandler Blanchet,31,544290,207,9,23,2,1,0,70.9,293.3,64.9,65.9,1.773,51.7,3.391
15,Max McGreevy,30,492991,158,11,36,7,0,0,70,296.6,64.9,69,1.763,47.1,3.694
16,David Lipsky,37,1168727,365,6,20,4,1,0,69.7,290.6,64.2,64.4,1.69,53.1,4.7
17,Rickie Fowler,37,1281077,353,8,28,6,1,0,69.5,303.8,64.1,67.5,1.712,51.3,4.214
18,Viktor Hovland,28,1457378,333,7,26,6,1,0,70.3,300,64.1,64.7,1.752,50,3.769
19,Lee Hodges,30,504508,152,8,27,5,1,0,70.3,300.3,64.1,66.3,1.786,46.8,3.63
20,Alex Noren,43,1031725,258,8,29,6,0,0,70.4,290.4,64,64.6,1.718,50,4.345
21,Davis Chatfield,--,69323,24,9,24,3,0,0,71,286,63.9,63.2,1.777,51.4,3.208
22,Ryan Gerard,26,2352429,685,10,36,8,2,0,69.5,302.2,63.7,70.4,1.706,39.3,4.472
