Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Rounds,Scrambling
gary woodland,2.63,-0.44,2.25,1.18,2.99,5.62,1,0.5
gary woodland,3.11,0.28,3.38,-0.93,2.74,5.84,2,0.5
gary woodland,1.06,0.73,1.55,1.01,3.29,4.35,3,0.6
gary woodland,1.53,1.08,-1.59,1.21,0.71,2.24,4,0.8
nicolai hojgaard,-0.89,1.57,0.2,0.74,2.51,1.62,1,0.5714
nicolai hojgaard,1.73,1.86,2.56,0.7,5.11,6.84,2,0.75
nicolai hojgaard,2.72,0.18,2.48,0.97,3.63,6.35,3,0.5
nicolai hojgaard,-2.02,-2.46,1.46,1.26,0.26,-1.76,4,0.5
min woo lee,1.25,-0.32,-0.64,1.33,0.37,1.62,1,0.4286
min woo lee,1.1,1.91,2.23,0.6,4.74,5.84,2,1.0
min woo lee,-1.52,0.47,2.24,1.16,3.87,2.35,3,0.6667
min woo lee,2.2,-1.37,1.14,0.27,0.04,2.24,4,0.8571
john keefer,-0.96,2.6,-0.2,1.19,3.58,2.62,1,0.75
john keefer,-3.27,-0.31,3.82,0.6,4.11,0.84,2,1.0
john keefer,1.11,0.36,1.03,0.84,2.24,3.35,3,1.0
john keefer,2.86,-0.28,1.64,1.03,2.38,5.24,4,0.6667
sam stevens,0.23,-1.14,3.67,-0.15,2.39,2.62,1,0.6667
sam stevens,0.21,1.84,0.01,1.78,3.63,3.84,2,0.6667
sam stevens,1.81,-0.79,0.76,0.57,0.54,2.35,3,0.625
sam stevens,0.9,0.76,-0.38,0.96,1.34,2.24,4,0.875
jason day,1.09,-0.23,0.7,0.06,0.53,1.62,1,0.6
jason day,3.27,0.38,2.09,0.11,2.58,5.84,2,1.0
jason day,0.42,0.65,-1.28,1.56,0.92,1.35,3,0.6
jason day,1.16,0.6,-1.18,0.66,0.08,1.24,4,0.6
chris gotterup,0.93,-0.2,-0.22,1.12,0.7,1.62,1,0.8571
chris gotterup,0.06,0.43,-1.19,0.54,-0.21,-0.16,2,0.5
chris gotterup,0.58,1.14,1.18,1.45,3.76,4.35,3,0.75
chris gotterup,1.59,0.64,0.72,1.29,2.65,4.24,4,0.6667
jake knapp,0.84,-0.49,0.99,-0.71,-0.22,0.62,1,0.4
jake knapp,1.74,0.31,-0.27,2.06,2.1,3.84,2,0.8571
jake knapp,-0.37,-0.49,2.91,-3.71,-1.29,-1.65,3,0.4
jake knapp,2.8,1.19,1.54,1.71,4.44,7.24,4,1.0
sudarshan yellamaraju,-0.02,-0.26,0.21,0.69,0.64,0.62,1,0.3333
sudarshan yellamaraju,1.28,0.55,0.84,0.17,1.56,2.84,2,1.0
sudarshan yellamaraju,-0.02,1.2,1.77,1.4,4.37,4.35,3,0.7143
sudarshan yellamaraju,0.99,0.81,-0.06,0.51,1.25,2.24,4,1.0
sahith theegala,0.78,0.23,1.29,0.33,1.84,2.62,1,0.75
sahith theegala,0.27,2.47,-0.09,-0.8,1.58,1.84,2,0.8333
sahith theegala,1.19,0.36,0.04,1.75,2.15,3.35,3,0.8
sahith theegala,1.82,0.79,-1.66,0.28,-0.58,1.24,4,0.8
bronson burgoon,1.89,-0.29,1.31,-1.28,-0.27,1.62,1,0.7143
bronson burgoon,0.47,-0.17,-0.46,0.99,0.37,0.84,2,0.8333
bronson burgoon,2.35,-0.96,0.52,1.44,1.0,3.35,3,1.0
bronson burgoon,2.68,0.61,-1.62,1.57,0.56,3.24,4,0.75
