Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Rounds,Scrambling
wyndham clark,3.98,1.05,2.78,1.51,5.33,9.28,1,0
wyndham clark,0.69,0.52,1.97,0.07,2.56,3.25,2,0
wyndham clark,1.52,1.68,-0.16,0.58,2.1,3.63,3,0
wyndham clark,-0.08,-0.44,-1.46,0.37,-1.53,-1.61,4,0
sam burns,1.29,-0.37,-0.15,1.55,1.02,2.28,1,0
sam burns,0.56,1.09,3.59,-0.99,3.69,4.25,2,0
sam burns,0.64,-0.33,1.07,1.24,1.98,2.63,3,0
sam burns,1.97,1.1,1.7,-0.37,2.42,4.39,4,0
tom kim,1.52,0.58,0.94,0.27,1.79,3.28,1,0
tom kim,1.45,1.8,0.35,1.64,3.8,5.25,2,0
tom kim,1.16,0.66,0.01,-0.2,0.47,1.63,3,0
tom kim,-0.04,-0.74,2.32,-0.15,1.43,1.39,4,0
scottie scheffler,0.99,1.03,-1.01,0.3,0.32,1.28,1,0
scottie scheffler,0.67,0.54,1.53,1.51,3.58,4.25,2,0
scottie scheffler,-0.18,0.51,3.03,1.26,4.81,4.63,3,0
scottie scheffler,0.49,-0.74,-0.02,0.66,-0.1,0.39,4,0
j.t. poston,1.66,1.93,-2.8,1.52,0.65,2.28,1,0
j.t. poston,3.46,-0.88,-1.92,0.6,-2.21,1.25,2,0
j.t. poston,-0.15,-0.07,1.84,1.01,2.78,2.63,3,0
j.t. poston,1.27,2.72,0.63,-0.24,3.12,4.39,4,0
keith mitchell,1.13,0,1.1,1.08,2.18,3.28,1,0
keith mitchell,4.37,-1.64,0,-0.48,-2.12,2.25,2,0
keith mitchell,1.34,0.68,-0.14,1.74,2.29,3.63,3,0
keith mitchell,0.17,0.12,0.53,0.56,1.22,1.39,4,0
gary woodland,4.45,-0.2,1.47,0.6,1.86,6.28,1,0
gary woodland,-1,-1.27,2.01,-0.49,0.25,-0.75,2,0
gary woodland,-0.03,0.81,-0.38,0.22,0.65,0.63,3,0
gary woodland,1.45,0.18,0.9,0.87,1.94,3.39,4,0
sam stevens,2.74,0.69,0.51,1.38,2.57,5.28,1,0
sam stevens,0.02,0.65,2.31,0.28,3.23,3.25,2,0
sam stevens,-0.03,-0.21,2.7,-0.83,1.66,1.63,3,0
sam stevens,-0.34,0,0.35,-0.62,-0.27,-0.61,4,0
joaquin niemann,-1.36,1.14,0.15,-4.62,-3.33,-4.72,1,0
joaquin niemann,2.48,-0.32,4.74,0.36,4.78,7.25,2,0
joaquin niemann,1.16,-0.33,-0.42,1.21,0.47,1.63,3,0
joaquin niemann,3.49,0.82,0.73,0.34,1.9,5.39,4,0
tyrrell hatton,-0.32,-0.65,0.26,0.01,-0.37,-0.72,1,0
tyrrell hatton,2.17,0.16,2.63,-0.7,2.08,4.25,2,0
tyrrell hatton,1.38,-0.27,0.29,0.23,0.24,1.63,3,0
tyrrell hatton,1.52,3.88,-0.03,-0.99,2.86,4.39,4,0
tommy fleetwood,1.96,0.26,0.86,0.23,1.35,3.28,1,0
tommy fleetwood,0.39,0.76,0.09,0,0.86,1.25,2,0
tommy fleetwood,1.47,1.28,0.06,0.82,2.16,3.63,3,0
tommy fleetwood,-1.11,0.15,0.04,1.31,1.5,0.39,4,0
justin rose,0.81,-0.09,1.01,0.58,1.5,2.28,1,0
justin rose,0.79,0.29,-0.14,1.31,1.46,2.25,2,0
justin rose,-0.09,-0.92,2.54,-0.92,0.71,0.63,3,0
justin rose,0.74,1.3,0.95,0.4,2.65,3.39,4,0
aaron rai,-1.68,0.02,0.9,0.07,0.99,-0.72,1,0
aaron rai,0.96,1.14,2.49,0.66,4.29,5.25,2,0
aaron rai,1.43,1.5,-1.43,0.13,0.2,1.63,3,0
aaron rai,1.56,1.94,-1.63,0.52,0.83,2.39,4,0
xander schauffele,2.4,1.16,-1.8,0.55,-0.1,2.28,1,0
xander schauffele,2.63,-0.28,2.9,1,3.62,6.25,2,0
xander schauffele,0.35,-0.41,0.62,0.07,0.28,0.63,3,0
xander schauffele,-1.51,0.68,0.2,0.02,0.9,-0.61,4,0
sahith theegala,-3.8,1.95,3.38,-0.21,5.11,1.28,1,0
sahith theegala,1.25,1.52,0.91,1.58,4,5.25,2,0
sahith theegala,0.92,0.05,1.49,1.17,2.71,3.63,3,0
sahith theegala,-0.51,-0.3,0.16,-0.96,-1.1,-1.61,4,0
john parry,-0.13,0.49,1.01,0.94,2.44,2.28,1,0
john parry,0.18,0.38,2.84,-2.15,1.07,1.25,2,0
john parry,1.85,1.42,-0.53,-0.11,0.77,2.63,3,0
john parry,0.75,1.26,0.9,-0.52,1.64,2.39,4,0
justin thomas,0.58,-0.11,1.76,0.07,1.73,2.28,1,0
justin thomas,1.85,1.46,0.42,0.51,2.4,4.25,2,0
justin thomas,0.4,-0.19,-0.55,-1.04,-1.77,-1.38,3,0
justin thomas,1.72,0.28,0.56,-0.18,0.67,2.39,4,0
akshay bhatia,0.58,0.07,2.34,0.32,2.73,3.28,1,0
akshay bhatia,-1.48,0.31,2.93,0.49,3.73,2.25,2,0
akshay bhatia,0.83,-0.58,-0.45,0.83,-0.2,0.63,3,0
akshay bhatia,2.19,-1.34,0.44,0.1,-0.81,1.39,4,0
ludvig aberg,2.71,0.81,0.58,0.21,1.6,4.28,1,0
ludvig aberg,-0.84,1.63,-1.07,0.54,1.1,0.25,2,0
ludvig aberg,-2.18,-1.42,0.06,1.17,-0.19,-2.38,3,0
ludvig aberg,1.93,0.88,1.76,0.81,3.46,5.39,4,0
ben griffin,-0.89,0.34,1.35,0.5,2.2,1.28,1,0
ben griffin,-0.65,1.36,0.89,0.65,2.9,2.25,2,0
ben griffin,-0.43,0.78,-0.13,1.4,2.05,1.63,3,0
ben griffin,1.56,1.66,-0.08,-0.76,0.83,2.39,4,0
