Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Rounds,Scrambling
viktor hovland,0.36,-0.17,2.21,0.57,2.6,2.96,1,0
viktor hovland,3.6,0.03,1.17,1.31,2.51,6.11,2,0
viktor hovland,1.82,0.12,0.44,1.1,1.66,3.49,3,0
viktor hovland,-1.45,2.04,-3.05,0.98,-0.03,-1.47,4,0
scottie scheffler,0.92,0.81,1.02,1.21,3.04,3.96,1,0
scottie scheffler,4.84,-0.09,1.76,0.6,2.27,7.11,2,0
scottie scheffler,-1.29,-0.06,1.88,-0.04,1.78,0.49,3,0
scottie scheffler,-0.33,-0.89,0.58,0.17,-0.14,-0.47,4,0
collin morikawa,-1.06,-2.24,1.56,0.7,0.02,-1.04,1,0
collin morikawa,0.75,-1.11,0.84,0.64,0.36,1.11,2,0
collin morikawa,-0.61,0.2,2.4,1.49,4.09,3.49,3,0
collin morikawa,3.8,-0.14,2.12,0.76,2.73,6.53,4,0
matt fitzpatrick,0.94,0.53,1.41,1.08,3.01,3.96,1,0
matt fitzpatrick,-1.83,1.72,0.62,0.61,2.94,1.11,2,0
matt fitzpatrick,0.3,0.5,-0.14,-0.17,0.19,0.49,3,0
matt fitzpatrick,0.28,1.37,0.67,1.2,3.25,3.53,4,0
akshay bhatia,3.3,-0.76,0.19,-0.77,-1.35,1.96,1,0
akshay bhatia,2.52,1.12,0.6,0.87,2.59,5.11,2,0
akshay bhatia,-0.61,-0.01,0.52,0.59,1.1,0.49,3,0
akshay bhatia,-0.1,1.03,-0.65,0.25,0.63,0.53,4,0
wyndham clark,-0.41,1.97,-0.83,-0.77,0.37,-0.04,1,0
wyndham clark,2.49,0.89,0.46,-0.73,0.62,3.11,2,0
wyndham clark,2.85,0.62,-0.85,-0.14,-0.37,2.49,3,0
wyndham clark,3.78,0.41,-1.74,0.08,-1.25,2.53,4,0
j.j. spaun,0.92,0.76,0.75,-0.46,1.04,1.96,1,0
