Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Scrambling,Rounds
kristoffer reitan,2.7,0.19,1.55,0.09,1.83,4.53,0.6667,1
kristoffer reitan,0.16,-0.36,0.88,0.06,0.59,0.75,0.75,2
kristoffer reitan,3.12,0.65,-0.12,2.06,2.59,5.71,1,3
kristoffer reitan,-0.83,-0.35,1.52,1.15,2.32,1.49,0.6,4
rickie fowler,-1.11,-0.49,0.15,-2.02,-2.36,-3.47,0.5714,1
rickie fowler,3.52,0.32,2.97,0.94,4.23,7.75,0.8,2
rickie fowler,0.61,-0.23,-0.81,1.14,0.1,0.71,0.7143,3
rickie fowler,2.08,2.24,0.5,0.67,3.4,5.49,0.6667,4
nicolai hojgaard,0.62,0.29,2.11,1.51,3.91,4.53,0.25,1
nicolai hojgaard,0.06,1.81,-1.64,0.52,0.69,0.75,0.8889,2
nicolai hojgaard,-0.79,0.16,2.26,1.08,3.5,2.71,0.4,3
nicolai hojgaard,1.43,0.27,1.15,-0.37,1.05,2.49,0.6,4
alex fitzpatrick,0.71,1.56,1.74,-0.48,2.81,3.53,0.6667,1
alex fitzpatrick,-1.19,0.92,2.9,0.12,3.94,2.75,1,2
alex fitzpatrick,2.62,-0.17,2.93,0.33,3.09,5.71,0.6667,3
alex fitzpatrick,-2.21,-1.97,1.4,0.27,-0.31,-2.51,0.5714,4
tommy fleetwood,2.63,-0.15,0.87,0.17,0.9,3.53,0.7143,1
tommy fleetwood,1.57,1.56,0.56,0.07,2.18,3.75,0.8571,2
tommy fleetwood,-1.08,-0.53,1.38,-0.06,0.79,-0.29,0.5,3
tommy fleetwood,-1.14,0.29,1.37,0.96,2.62,1.49,0.7143,4
sungjae im,3.73,0.07,1.37,1.36,2.8,6.53,1,1
sungjae im,-1.62,2.04,0.23,1.11,3.37,1.75,0.8333,2
sungjae im,-0.27,-0.32,-0.39,0.68,-0.02,-0.29,0.8,3
sungjae im,1.11,1.74,-2.14,-0.22,-0.63,0.49,0.5714,4
j.j. spaun,1.13,-0.24,1.27,-0.64,0.4,1.53,0.8,1
j.j. spaun,0.92,0.18,-1.4,1.06,-0.17,0.75,0.8571,2
j.j. spaun,3.28,-0.61,1.7,0.34,1.43,4.71,0.8333,3
j.j. spaun,-3.4,2.07,1.54,1.28,4.89,1.49,0.8333,4
ludvig aberg,-2.19,0.79,1.12,1.81,3.72,1.53,0.75,1
ludvig aberg,0.35,-0.25,1.8,-0.16,1.4,1.75,0.8,2
ludvig aberg,-1.67,0.86,0.35,0.17,1.38,-0.29,0.7143,3
ludvig aberg,1.44,0.19,2.24,0.62,3.04,4.49,0.5714,4
harry hall,1.55,1.22,1.24,0.52,2.98,4.53,0.875,1
harry hall,-1.76,0.09,-0.19,0.6,0.51,-1.25,0.4,2
harry hall,-1.05,1.31,0.18,0.27,1.76,0.71,0.8333,3
harry hall,2.5,-2.22,2.51,0.7,0.99,3.49,0.6,4
patrick cantlay,-0.15,-0.55,-0.73,-0.03,-1.32,-1.47,0.5,1
patrick cantlay,2.88,-0.38,-0.61,0.86,-0.13,2.75,0.625,2
patrick cantlay,0.84,0.6,1.7,0.57,2.87,3.71,0.5,3
patrick cantlay,0.3,0.18,1.5,-0.5,1.19,1.49,0.4,4
cameron young,0.56,0.82,-0.21,1.36,1.97,2.53,0.8,1
cameron young,0.08,1.89,-1.09,-0.13,0.67,0.75,0.8889,2
cameron young,2.59,2.48,2.02,-0.38,4.12,6.71,0.8333,3
cameron young,-5.45,0.57,-0.06,1.42,1.94,-3.51,0.8,4
matthew mccarty,4.12,0.87,2.97,-0.43,3.41,7.53,0.75,1
matthew mccarty,0.67,-2.33,-0.67,-0.92,-3.92,-3.25,0.4286,2
matthew mccarty,0.2,0.49,0.24,0.79,1.51,1.71,1,3
matthew mccarty,-0.21,-0.11,0.77,0.03,0.7,0.49,0.3333,4
justin thomas,0.9,0.42,1.12,1.1,2.63,3.53,0.5,1
justin thomas,1.86,1.45,-0.65,0.1,0.89,2.75,0.875,2
justin thomas,0.12,0.37,0.87,-0.65,0.59,0.71,0.6667,3
justin thomas,0.7,-1.06,-0.91,-0.24,-2.21,-1.51,0.625,4
min woo lee,-2.11,0.3,-0.53,0.87,0.64,-1.47,0.625,1
min woo lee,-0.81,0.9,0.19,1.47,2.56,1.75,0.75,2
min woo lee,-0.88,0.07,-0.94,-0.55,-1.42,-2.29,0.625,3
min woo lee,2.92,0.28,1.35,1.93,3.57,6.49,0.75,4
nick taylor,2.64,-0.2,1.68,0.41,1.89,4.53,0,1
nick taylor,1.67,-1.16,-1.3,-1.46,-3.92,-2.25,0.6364,2
nick taylor,-0.07,1.87,-0.99,0.9,1.78,1.71,0.8,3
nick taylor,0.78,-0.41,-0.1,0.22,-0.29,0.49,0.6667,4
chris gotterup,1.07,-1.36,-1.36,0.17,-2.54,-1.47,0.5,1
chris gotterup,-0.91,0.77,-0.84,0.73,0.66,-0.25,0.5,2
chris gotterup,3.36,-0.45,2.39,-0.6,1.35,4.71,0.8,3
chris gotterup,0.97,-0.29,1.62,-0.81,0.52,1.49,0.5,4
gary woodland,-2.65,1.15,2.38,-1.35,2.17,-0.47,0.4,1
gary woodland,-1.76,-0.36,1.09,1.78,2.52,0.75,0.8333,2
gary woodland,2.94,-2.13,0.65,0.26,-1.23,1.71,0.5,3
gary woodland,-1.27,-0.5,0.89,2.36,2.75,1.49,0.8,4
alex smalley,-1.1,0.4,-3.58,-0.19,-3.37,-4.47,0.7778,1
alex smalley,1.08,0.64,-0.62,0.64,0.67,1.75,0.8,2
alex smalley,0.83,0.26,0.07,0.55,0.88,1.71,0.8,3
