Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Rounds,Scrambling
j.j. spaun,2.44,-0.23,0.28,-0.71,-0.66,1.78,1,0.75
j.j. spaun,0.14,-0.44,1.25,1.38,2.19,2.32,2,0.25
j.j. spaun,0.4,1.24,2.97,-0.07,4.14,4.54,3,1.0
j.j. spaun,0.9,0.03,2.24,1.36,3.63,4.53,4,0.75
robert macintyre,1.18,1.21,1.25,1.14,3.6,4.78,1,1.0
robert macintyre,1.56,-0.83,5.67,0.92,5.77,7.32,2,0.75
robert macintyre,-0.53,-0.57,0.45,-0.8,-0.93,-1.46,3,0.6
robert macintyre,0.89,0.45,-1.75,1.94,0.64,1.53,4,0.7778
michael kim,-0.68,-0.28,0.16,-0.41,-0.54,-1.22,1,0.7143
michael kim,2.29,1.48,2.17,0.38,4.04,6.32,2,0.5
michael kim,2.32,1.21,-0.15,1.16,2.22,4.54,3,1.0
michael kim,0.13,1.35,1.66,-0.61,2.4,2.53,4,0.7143
matt wallace,0.38,-2.1,-0.05,1.55,-0.6,-0.22,1,0.625
matt wallace,0.59,1.88,0.93,-1.08,1.73,2.32,2,0.875
matt wallace,1.91,-0.07,3.77,0.94,4.64,6.54,3,1.0
matt wallace,1.05,1.17,1.37,-0.05,2.48,3.53,4,0.8889
ludvig aberg,0.23,1.59,0.51,1.45,3.55,3.78,1,0.8333
ludvig aberg,0.2,0.95,2.24,0.94,4.13,4.32,2,1.0
ludvig aberg,1.25,0.52,-1.05,0.83,0.29,1.54,3,0.75
ludvig aberg,1.49,2.65,-2,-0.61,0.04,1.53,4,0.75
andrew putnam,2.76,-0.24,1.66,0.61,2.02,4.78,1,0.8333
andrew putnam,-1.39,0.59,2.55,-0.43,2.71,1.32,2,0.5
andrew putnam,3.32,0.44,-0.74,0.52,0.22,3.54,3,0.875
andrew putnam,0.74,-0.53,1.82,-0.5,0.79,1.53,4,0.8571
kevin yu,1.08,-0.15,-0.85,1.71,0.7,1.78,1,0.2
kevin yu,-0.48,-0.15,1.86,0.09,1.8,1.32,2,1.0
kevin yu,3.01,0.57,-0.53,1.5,1.54,4.54,3,0.8571
kevin yu,0.49,0.16,2.34,-0.46,2.04,2.53,4,0.25
chandler phillips,2.19,-0.26,-3.31,0.16,-3.41,-1.22,1,0.8182
chandler phillips,2.02,0.55,3.24,-0.48,3.31,5.32,2,0.6667
chandler phillips,2.43,0.59,0.48,1.03,2.11,4.54,3,1.0
chandler phillips,1.94,-0.92,-1.48,1,-1.41,0.53,4,0.7273
ryo hisatsune,0.95,-1.37,1.82,1.38,1.83,2.78,1,0.6
ryo hisatsune,0.99,0.68,1.5,0.15,2.33,3.32,2,0.6667
ryo hisatsune,2.23,-1.1,2.22,0.19,1.31,3.54,3,0.3333
ryo hisatsune,-0.1,-0.34,1.41,-1.45,-0.37,-0.47,4,0.4286
tommy fleetwood,2.11,-0.33,1.33,0.67,1.67,3.78,1,1.0
tommy fleetwood,-0.62,-1.37,2.48,0.83,1.94,1.32,2,0.6667
tommy fleetwood,-1.42,-0.2,0.95,0.21,0.96,-0.46,3,0.8333
