Player,SG Putting,SG Around Green,SG Approach,SG Tee To Green,SG Total,Rounds,Scrambling
matt fitzpatrick,-0.64,0.01,0.78,4.4,3.76,1,1.0
matt fitzpatrick,0.1,1.84,-0.21,2.6,2.69,2,0.5714
matt fitzpatrick,1.07,-0.48,1.61,1.99,3.05,3,1.0
matt fitzpatrick,0.07,0.99,1.14,2.63,2.7,4,1.0
david lipsky,2.95,2.17,0.11,-0.19,2.76,1,0.9
david lipsky,2.96,0.9,1.02,3.73,6.69,2,1.0
david lipsky,0.36,0.81,-0.95,0.69,1.05,3,0.5
david lipsky,-1.4,1.18,-0.75,2.1,0.7,4,0.875
jordan smith,-0.8,0.51,0.38,3.56,2.76,1,0.8
jordan smith,0.52,1.15,1.52,3.18,3.69,2,0.3333
jordan smith,-0.72,-0.02,0.39,-0.23,-0.95,3,0.625
jordan smith,1.26,0.77,1.56,3.44,4.7,4,0.6667
sungjae im,4.61,-0.9,0.2,3.15,7.76,1,0.5
sungjae im,0.36,1.99,-0.44,2.33,2.69,2,0.625
sungjae im,2.23,-0.07,-0.04,-0.17,2.05,3,0.6667
sungjae im,-1.9,1.42,-0.9,-1.4,-3.3,4,0.5833
xander schauffele,-0.79,0.42,0.32,4.55,3.76,1,1.0
xander schauffele,-0.02,0.27,-0.84,-0.28,-0.31,2,0.4286
xander schauffele,1.4,-0.85,0.36,-1.34,0.05,3,0.9091
xander schauffele,2.15,-0.11,1.75,3.56,5.7,4,1.0
marco penge,0.96,1.17,0.51,1.8,2.76,1,0.8333
marco penge,3.45,-1.6,0.46,0.24,3.69,2,0.5
marco penge,1.01,-0.28,0.89,2.05,3.05,3,0.5
marco penge,-1.63,0.41,2.12,1.33,-0.3,4,0.5556
patrick cantlay,2.06,-1.41,-0.07,-0.3,1.76,1,0.5
patrick cantlay,1.62,0.51,0.73,1.08,2.69,2,0.8571
patrick cantlay,-1.85,0.34,0.73,1.91,0.05,3,0.6667
patrick cantlay,1.82,1.49,0.08,1.88,3.7,4,0.8571
stephan jaeger,0.45,2.13,-0.17,0.31,0.76,1,0.5455
stephan jaeger,0.16,-0.23,-0.59,-0.47,-0.31,2,0.8
stephan jaeger,-0.43,0.52,0.04,3.49,3.05,3,1.0
stephan jaeger,1.59,1.14,1.43,3.11,4.7,4,1.0
emiliano grillo,0.36,0.36,0.55,0.4,0.76,1,0.7
emiliano grillo,-1.19,2.26,0.14,2.88,1.69,2,0.8889
emiliano grillo,-0.53,-0.89,1.2,0.58,0.05,3,0.5
emiliano grillo,2.48,-0.2,0.82,3.22,5.7,4,0.6667
s.h. kim,1.47,-0.77,-0.32,-1.71,-0.24,1,0.6667
s.h. kim,-0.26,2.3,-0.13,3.96,3.69,2,0.8571
s.h. kim,3.6,-0.83,0.6,0.46,4.05,3,0.6667
s.h. kim,-0.97,1.08,-0.44,1.67,0.7,4,0.5714
jordan spieth,-0.33,1.25,-0.02,3.09,2.76,1,0.6667
jordan spieth,4.51,-1.01,-0.14,-2.81,1.69,2,0.6
jordan spieth,-1.74,0.47,1.14,1.79,0.05,3,0.6667
jordan spieth,-0.93,-1.01,0.61,3.63,2.7,4,0.75
matthieu pavon,0.35,0.6,1.6,1.41,1.76,1,0.75
matthieu pavon,2.51,-0.09,-0.15,-0.81,1.69,2,0.7778
matthieu pavon,-0.49,0.43,0.85,1.54,1.05,3,0.7778
matthieu pavon,4.27,0.06,-0.67,-1.57,2.7,4,0.875
a.j. ewart,0.83,0.76,0.02,-0.07,0.76,1,0.625
a.j. ewart,-0.29,-0.86,-0.42,-0.01,-0.31,2,0.7143
a.j. ewart,2.19,0.51,-2.63,0.86,3.05,3,1.0
a.j. ewart,1.31,1.33,0.3,2.4,3.7,4,0.8333
gary woodland,-1.38,1.85,1.15,3.14,1.76,1,0.7778
gary woodland,-0.51,-0.24,1.46,4.21,3.69,2,0.75
gary woodland,-0.25,-0.68,0.01,0.31,0.05,3,0.7143
gary woodland,2.6,-1.23,-0.49,-1.9,0.7,4,0.5
jacob bridgeman,1.45,0.82,0.77,2.31,3.76,1,1.0
jacob bridgeman,0.38,-1.84,-0.19,1.32,1.69,2,0.4
jacob bridgeman,0.39,-1.71,1.14,-1.34,-0.95,3,0.2
jacob bridgeman,1.33,0.13,0.71,0.37,1.7,4,0.9091
corey conners,0.37,2.49,-1.22,2.4,2.76,1,0.6667
corey conners,0.86,0.68,0.08,1.83,2.69,2,0.8889
corey conners,-1.05,-0.01,1.41,2.1,1.05,3,0.6667
corey conners,-0.35,-1.31,-0.95,0.05,-0.3,4,0.5
hank lebioda,0.08,-0.49,0.06,0.69,0.76,1,0.5714
hank lebioda,-0.8,0.9,1.07,4.49,3.69,2,0.75
hank lebioda,-0.9,-0.7,0.16,-1.04,-1.95,3,0.1667
hank lebioda,-0.72,0.48,0.33,4.42,3.7,4,0.8
brooks koepka,1.82,-2.06,-0.17,-1.06,0.76,1,0.6667
brooks koepka,-0.04,-0.24,0.56,4.73,4.69,2,0.25
brooks koepka,0.66,2.33,-2.03,-0.6,0.05,3,0.75
brooks koepka,-0.44,-1.86,1.15,0.14,-0.3,4,0.4
