Player,SG Putting,SG Around Green,SG Approach,SG Tee To Green,SG Total,Rounds,Scrambling
chris gotterup,2.79,1.01,0.61,5.1,7.89,1,1.0
chris gotterup,-3.1,3.11,0.76,2.39,-0.71,2,0.62
chris gotterup,-0.87,-0.11,0.19,0.71,-0.16,3,0.8
chris gotterup,0.57,0.44,2.49,5.12,5.68,4,0.75
hideki matsuyama,1.16,1.96,-1.08,1.72,2.89,1,1.0
hideki matsuyama,2.33,0.71,0.84,3.95,6.29,2,0.6667
hideki matsuyama,0.8,0.98,-1.56,1.04,1.84,3,0.6667
hideki matsuyama,1.77,1.16,-3.01,-0.09,1.69,4,0.6667
scottie scheffler,0.33,-1.9,-0.02,-2.44,-2.11,1,0.1667
scottie scheffler,1.57,0.87,0.92,3.71,5.29,2,1.0
scottie scheffler,0.15,1.63,0.73,2.69,2.84,3,1.0
scottie scheffler,1.16,1.5,1.7,4.52,5.68,4,1.0
akshay bhatia,0.95,-1,1.42,1.93,2.89,1,1.0
akshay bhatia,1,-0.01,0.23,2.29,3.29,2,1.0
akshay bhatia,3.23,-1.23,0.44,-0.39,2.84,3,0.4
akshay bhatia,0.41,1.4,0.22,2.27,2.69,4,0.8
si woo kim,-1.42,1.33,1.53,-0.69,-2.11,1,0.5
si woo kim,2.14,-0.64,1.79,6.15,8.29,2,0.0
si woo kim,-0.56,0.97,0.6,4.39,3.84,3,0.8333
si woo kim,-1.83,2.54,0.47,3.52,1.69,4,1.0
nicolai hojgaard,-0.22,0.22,1.92,5.11,4.89,1,1.0
nicolai hojgaard,0.81,-1.07,0.52,-0.52,0.29,2,0.7143
nicolai hojgaard,-0.9,0.64,1.31,5.74,4.84,3,1.0
nicolai hojgaard,2.9,1.01,0.84,-1.21,1.69,4,0.875
michael thorbjornsen,1.67,1.02,1.38,3.22,4.89,1,1.0
michael thorbjornsen,-2.88,1.71,2.5,2.17,-0.71,2,1.0
michael thorbjornsen,1.87,0.04,0.88,2.96,4.84,3,0.5
michael thorbjornsen,0.78,0.41,0.2,1.91,2.69,4,0.6667
jake knapp,-0.79,2.21,1.69,4.68,3.89,1,0.6
jake knapp,0.79,-1.25,0.44,0.5,1.29,2,0.4
jake knapp,-0.33,1.81,0.72,4.16,3.84,3,1.0
jake knapp,0.07,0.02,1.21,1.62,1.69,4,0.0
matt fitzpatrick,0.47,2.81,0.78,5.41,5.89,1,0.6
matt fitzpatrick,-0.84,-0.06,0.59,1.13,0.29,2,0.4
matt fitzpatrick,0.83,-0.26,1.46,2.01,2.84,3,0.5
matt fitzpatrick,-2,0.55,1.11,2.68,0.69,4,0.6
viktor hovland,1.13,-0.04,0.4,0.75,1.89,1,0.7143
viktor hovland,-0.65,1.05,-2.88,0.94,0.29,2,0.5714
viktor hovland,3.91,0.61,-0.03,0.92,4.84,3,0.6667
viktor hovland,-0.72,1.13,0.06,2.41,1.69,4,0.6667
ryo hisatsune,0.25,0.63,0.62,2.63,2.89,1,0.3333
ryo hisatsune,2.5,1.82,-0.1,4.79,7.29,2,1.0
ryo hisatsune,-1.32,0.47,0.19,1.15,-0.16,3,0.6
ryo hisatsune,0.78,-1.64,1.06,-2.09,-1.31,4,0.5
pierceson coody,2.11,0.43,1.19,2.77,4.89,1,0.6667
pierceson coody,2.34,-0.76,0.91,-0.05,2.29,2,0.0
pierceson coody,-2.97,0.38,0.9,2.81,-0.16,3,1.0
pierceson coody,-1.96,0.64,1.66,3.65,1.69,4,0.5
maverick mcnealy,1.25,-0.25,0.77,2.63,3.89,1,0.5
maverick mcnealy,0.4,0,0.31,0.89,1.29,2,0.75
maverick mcnealy,2.63,0.31,1.07,2.2,4.84,3,0.75
maverick mcnealy,-2.05,0.17,0.29,-0.26,-2.31,4,0.2857
zecheng dou,-2.48,0.94,-0.85,1.36,-1.11,1,0.5714
zecheng dou,2.77,-0.22,1.37,1.51,4.29,2,0.5
zecheng dou,0.08,-0.81,-2.34,-2.24,-2.16,3,0.5714
zecheng dou,3.7,1.17,0.56,2.99,6.68,4,1.0
kevin roy,2.47,1.38,0.8,1.41,3.89,1,0.6667
kevin roy,0.83,-0.51,0.9,0.46,1.29,2,0.6667
kevin roy,-0.55,1.95,-0.4,1.39,0.84,3,0.75
kevin roy,0.57,0.48,-0.96,1.11,1.69,4,0.8333
daniel berger,1.65,-0.06,0.53,2.24,3.89,1,0.75
daniel berger,-1.9,-0.93,0.76,1.19,-0.71,2,0.6
daniel berger,0.98,-1.35,-0.2,-2.14,-1.16,3,0.7143
daniel berger,-0.67,-0.04,0.7,5.35,4.68,4,1.0
jordan smith,-0.51,-0.96,0.83,1.4,0.89,1,0.5
jordan smith,-0.54,0.06,1.63,0.82,0.29,2,0.4
jordan smith,2.2,-0.58,0.57,-0.37,1.84,3,0.5
jordan smith,3.27,-0.69,-0.33,0.41,3.69,4,0.5
